ダウンロードした時刻：2017/07/24 15:44:04

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/1/1,1.7,5.0,0.3
2008/1/2,1.6,3.6,0.2
2008/1/3,4.0,6.9,1.2
2008/1/4,4.4,8.1,2.0
2008/1/5,3.9,7.8,0.4
2008/1/6,5.9,10.4,1.1
2008/1/7,6.0,8.2,4.3
2008/1/8,8.4,11.9,4.9
2008/1/9,8.4,12.4,5.0
2008/1/10,6.2,10.0,2.5
2008/1/11,5.9,9.2,1.5
2008/1/12,7.4,9.8,4.7
2008/1/13,3.3,5.7,1.9
2008/1/14,3.4,6.4,1.8
2008/1/15,2.7,7.7,-2.0
2008/1/16,4.6,7.3,2.4
2008/1/17,2.3,4.3,-0.1
2008/1/18,3.4,7.8,-0.5
2008/1/19,2.8,7.0,-0.9
2008/1/20,1.8,5.5,-0.5
2008/1/21,4.4,6.8,1.3
2008/1/22,4.1,7.2,0.1
2008/1/23,4.5,6.3,2.4
2008/1/24,2.4,7.1,-0.3
2008/1/25,0.8,2.2,-0.7
2008/1/26,1.7,4.1,0.2
2008/1/27,1.5,5.2,-1.6
2008/1/28,0.9,3.8,-2.8
2008/1/29,3.2,4.8,0.6
2008/1/30,6.0,8.6,4.1
2008/1/31,4.1,6.2,2.5
2008/2/1,3.0,5.0,-0.3
2008/2/2,2.7,5.0,-0.4
2008/2/3,3.1,5.7,0.5
2008/2/4,3.4,7.8,0.4
2008/2/5,3.1,5.9,1.3
2008/2/6,3.4,6.5,-0.4
2008/2/7,3.5,6.4,0.4
2008/2/8,2.1,5.8,0.0
2008/2/9,0.3,1.8,-0.9
2008/2/10,4.9,9.0,0.4
2008/2/11,4.6,9.7,-0.5
2008/2/12,4.1,6.0,0.9
2008/2/13,-0.2,2.9,-1.9
2008/2/14,0.9,5.0,-1.5
2008/2/15,2.0,6.2,0.3
2008/2/16,0.8,2.4,-0.2
2008/2/17,0.1,1.3,-0.9
2008/2/18,1.7,3.2,0.0
2008/2/19,2.2,5.7,0.2
2008/2/20,3.8,9.0,-1.3
2008/2/21,5.0,9.1,0.9
2008/2/22,4.4,10.5,-0.7
2008/2/23,3.0,7.2,-1.2
2008/2/24,0.5,3.4,-1.9
2008/2/25,2.3,5.8,-1.7
2008/2/26,2.6,5.2,0.3
2008/2/27,1.8,5.2,0.5
2008/2/28,3.6,7.9,0.6
2008/2/29,4.4,10.2,-1.1
2008/3/1,5.1,6.7,3.5
2008/3/2,6.1,9.9,2.3
2008/3/3,5.6,8.3,3.4
2008/3/4,5.5,8.4,3.7
2008/3/5,2.9,6.1,0.6
2008/3/6,3.2,7.3,-0.3
2008/3/7,5.1,8.7,1.5
2008/3/8,4.5,9.9,0.6
2008/3/9,6.2,14.1,-0.7
2008/3/10,8.3,11.1,4.6
2008/3/11,7.6,14.2,1.8
2008/3/12,9.6,15.2,4.2
2008/3/13,10.6,15.2,5.0
2008/3/14,11.1,13.7,8.7
2008/3/15,8.4,12.5,4.8
2008/3/16,7.9,15.9,2.1
2008/3/17,9.0,14.4,4.4
2008/3/18,9.5,15.8,2.4
2008/3/19,11.4,14.6,8.8
2008/3/20,9.5,10.6,8.3
2008/3/21,10.1,12.9,8.1
2008/3/22,9.8,15.7,3.8
2008/3/23,11.0,17.5,6.0
2008/3/24,10.2,14.1,6.0
2008/3/25,10.0,17.6,3.6
2008/3/26,9.5,14.0,5.5
2008/3/27,8.5,13.2,3.6
2008/3/28,8.8,11.7,7.4
2008/3/29,8.1,11.5,5.9
2008/3/30,7.0,9.6,5.4
2008/3/31,7.4,11.1,4.5
2008/4/1,8.1,11.3,4.1
2008/4/2,9.4,14.0,2.7
2008/4/3,9.8,14.3,5.6
2008/4/4,9.1,15.3,4.1
2008/4/5,10.0,17.1,3.5
2008/4/6,11.3,18.8,4.7
2008/4/7,11.3,16.7,8.2
2008/4/8,11.7,14.5,9.9
2008/4/9,13.1,19.6,7.6
2008/4/10,12.5,15.8,11.5
2008/4/11,11.3,12.5,10.5
2008/4/12,11.4,14.6,8.7
2008/4/13,11.2,15.8,6.0
2008/4/14,12.0,14.8,10.0
2008/4/15,13.7,19.9,7.3
2008/4/16,15.1,19.3,10.8
2008/4/17,14.5,16.6,12.7
2008/4/18,12.5,13.7,11.5
2008/4/19,12.8,16.5,11.0
2008/4/20,13.0,16.4,10.5
2008/4/21,13.6,18.9,9.0
2008/4/22,15.4,23.1,9.4
2008/4/23,18.0,24.2,13.0
2008/4/24,13.5,18.2,10.6
2008/4/25,11.6,15.5,8.4
2008/4/26,13.3,20.5,6.4
2008/4/27,14.1,18.3,11.8
2008/4/28,13.9,18.3,10.2
2008/4/29,15.3,22.4,8.0
2008/4/30,18.7,26.4,12.3
2008/5/1,18.6,23.6,14.7
