ダウンロードした時刻：2017/07/24 15:47:05

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,7.4,9.1,6.1
1982/1/2,6.5,10.1,2.3
1982/1/3,10.8,15.5,1.9
1982/1/4,14.6,16.9,11.9
1982/1/5,10.0,12.6,7.0
1982/1/6,8.6,11.1,5.9
1982/1/7,6.5,9.3,3.3
1982/1/8,7.6,12.4,4.9
1982/1/9,9.7,14.0,3.6
1982/1/10,6.5,12.9,1.2
1982/1/11,13.3,18.6,1.8
1982/1/12,8.7,17.3,4.7
1982/1/13,5.7,7.8,4.1
1982/1/14,4.4,6.6,2.9
1982/1/15,4.4,7.8,-1.0
1982/1/16,2.7,5.7,0.5
1982/1/17,2.6,5.6,0.3
1982/1/18,4.2,8.3,0.2
1982/1/19,3.2,4.5,0.4
1982/1/20,5.6,7.9,3.7
1982/1/21,7.3,11.4,3.7
1982/1/22,8.8,13.2,1.7
1982/1/23,8.0,11.9,3.9
1982/1/24,8.3,10.7,2.0
1982/1/25,8.9,11.6,7.3
1982/1/26,7.8,12.1,1.9
1982/1/27,5.6,7.6,2.9
1982/1/28,1.3,3.1,0.0
1982/1/29,1.1,3.2,-1.0
1982/1/30,3.3,4.4,2.1
1982/1/31,5.4,8.4,2.9
1982/2/1,5.5,8.0,4.0
1982/2/2,3.6,6.9,-0.8
1982/2/3,7.4,12.1,-1.1
1982/2/4,9.7,15.7,7.5
1982/2/5,6.6,8.2,4.9
1982/2/6,4.0,5.6,2.4
1982/2/7,2.9,5.0,1.9
1982/2/8,4.5,7.5,1.8
1982/2/9,5.1,7.4,-1.0
1982/2/10,5.5,7.4,2.3
1982/2/11,6.4,10.6,0.0
1982/2/12,8.8,12.2,6.0
1982/2/13,8.8,13.1,5.3
1982/2/14,7.9,11.3,5.5
1982/2/15,6.8,12.4,1.0
1982/2/16,8.8,12.6,3.2
1982/2/17,9.9,13.5,7.7
1982/2/18,11.0,14.8,3.3
1982/2/19,15.5,19.3,13.6
1982/2/20,11.8,14.0,9.1
1982/2/21,10.4,12.0,8.9
1982/2/22,9.4,14.3,3.1
1982/2/23,10.1,13.3,6.9
1982/2/24,8.5,11.4,7.1
1982/2/25,7.4,11.1,3.5
1982/2/26,7.7,11.8,3.0
1982/2/27,8.8,14.3,2.1
1982/2/28,9.4,11.4,7.0
1982/3/1,7.9,11.2,6.2
1982/3/2,6.5,10.0,1.8
1982/3/3,7.8,13.0,-0.7
1982/3/4,15.2,17.6,7.5
1982/3/5,13.1,17.9,9.8
1982/3/6,9.3,11.6,7.5
1982/3/7,5.8,7.6,4.5
1982/3/8,7.1,9.5,4.1
1982/3/9,8.6,14.2,3.1
1982/3/10,8.5,15.0,1.4
1982/3/11,10.4,15.9,1.7
1982/3/12,12.7,15.1,11.1
1982/3/13,13.1,17.1,10.3
1982/3/14,13.8,16.9,7.0
1982/3/15,15.0,17.5,12.7
1982/3/16,12.6,16.2,9.0
1982/3/17,11.3,14.4,6.1
1982/3/18,12.2,15.7,10.5
1982/3/19,11.9,12.6,9.7
1982/3/20,13.0,14.8,12.0
1982/3/21,11.6,15.4,7.3
1982/3/22,12.2,18.1,4.4
1982/3/23,17.0,18.8,14.3
1982/3/24,12.1,15.0,9.6
1982/3/25,9.3,12.9,5.1
1982/3/26,9.5,13.5,4.3
1982/3/27,10.1,14.3,6.0
1982/3/28,11.1,16.4,3.9
1982/3/29,11.6,18.5,4.3
1982/3/30,15.6,18.4,9.1
1982/3/31,12.4,16.1,8.9
1982/4/1,12.5,17.5,7.6
1982/4/2,17.0,20.8,9.0
1982/4/3,12.8,19.7,10.1
1982/4/4,11.0,13.8,9.2
1982/4/5,12.8,16.3,10.6
1982/4/6,12.7,14.1,10.6
1982/4/7,14.5,16.6,13.0
1982/4/8,15.5,21.0,9.8
1982/4/9,9.0,12.3,3.9
1982/4/10,9.4,14.5,4.6
1982/4/11,10.2,16.5,3.1
1982/4/12,12.8,17.8,5.1
1982/4/13,15.1,18.9,9.4
1982/4/14,14.3,16.7,11.3
1982/4/15,15.7,20.2,10.7
1982/4/16,14.2,17.8,6.8
1982/4/17,12.9,15.0,10.3
1982/4/18,11.7,15.7,5.0
1982/4/19,12.4,20.0,5.1
1982/4/20,13.5,19.1,3.8
1982/4/21,14.2,17.4,12.8
1982/4/22,14.5,19.9,9.3
1982/4/23,16.0,21.0,8.9
1982/4/24,17.3,22.1,12.5
1982/4/25,17.1,23.5,10.9
1982/4/26,17.3,18.8,15.3
1982/4/27,16.6,17.6,16.0
1982/4/28,18.1,23.3,14.8
1982/4/29,16.9,21.3,13.3
1982/4/30,15.9,18.6,11.5
1982/5/1,16.9,19.2,15.1
