ダウンロードした時刻：2017/07/24 15:37:19

,盛岡,盛岡,盛岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/1/1,-2.8,1.7,-6.7
1999/1/2,-2.4,-0.2,-6.4
1999/1/3,-2.5,1.4,-6.7
1999/1/4,-4.0,1.2,-7.6
1999/1/5,-2.9,3.0,-9.2
1999/1/6,2.0,5.6,-1.3
1999/1/7,-1.3,1.9,-3.3
1999/1/8,-5.8,-3.1,-8.5
1999/1/9,-6.0,-3.1,-9.2
1999/1/10,-3.5,-1.5,-5.5
1999/1/11,-2.0,0.8,-6.5
1999/1/12,0.7,3.3,-1.4
1999/1/13,0.0,2.8,-1.2
1999/1/14,-1.5,1.4,-3.6
1999/1/15,-1.8,0.3,-4.6
1999/1/16,-0.7,3.6,-4.3
1999/1/17,-1.7,1.6,-5.4
1999/1/18,-1.4,4.5,-5.7
1999/1/19,1.0,5.1,-2.6
1999/1/20,1.7,5.4,-2.2
1999/1/21,-2.2,0.6,-5.1
1999/1/22,-0.4,4.4,-5.6
1999/1/23,1.6,6.4,-3.3
1999/1/24,-2.3,3.5,-7.0
1999/1/25,-0.1,3.6,-4.6
1999/1/26,1.7,5.7,-0.5
1999/1/27,0.7,3.4,-1.8
1999/1/28,1.0,4.8,-3.5
1999/1/29,-4.0,-0.9,-5.8
1999/1/30,-5.0,-0.3,-9.9
1999/1/31,-4.2,1.0,-8.9
1999/2/1,-2.3,1.9,-7.4
1999/2/2,-4.0,-0.7,-6.9
1999/2/3,-5.6,-0.8,-8.4
1999/2/4,-4.7,1.6,-12.3
1999/2/5,-2.6,2.0,-8.2
1999/2/6,-2.4,0.4,-5.1
1999/2/7,-0.3,2.8,-2.9
1999/2/8,-1.2,3.0,-6.8
1999/2/9,-2.0,2.9,-8.9
1999/2/10,-1.8,0.3,-5.3
1999/2/11,-2.4,0.9,-5.5
1999/2/12,-3.1,-0.5,-7.1
1999/2/13,-3.5,0.9,-5.7
1999/2/14,-4.3,-0.1,-8.0
1999/2/15,-4.2,1.6,-10.2
1999/2/16,0.6,7.5,-5.0
1999/2/17,4.2,8.7,0.3
1999/2/18,4.6,8.4,-0.4
1999/2/19,-1.4,2.7,-4.7
1999/2/20,-3.2,0.6,-7.1
1999/2/21,-2.8,0.8,-5.4
1999/2/22,-0.8,3.7,-4.7
1999/2/23,-0.2,4.5,-4.1
1999/2/24,-0.6,4.2,-6.2
1999/2/25,1.8,4.5,-0.2
1999/2/26,2.8,6.3,-0.4
1999/2/27,0.7,6.5,-5.1
1999/2/28,-2.6,0.2,-5.8
1999/3/1,1.1,3.2,-1.8
1999/3/2,3.3,8.2,0.0
1999/3/3,2.7,7.5,-2.9
1999/3/4,5.1,10.9,0.1
1999/3/5,2.9,8.1,-2.2
1999/3/6,-0.7,2.9,-4.5
1999/3/7,-1.6,1.2,-5.2
1999/3/8,1.5,5.9,-1.4
1999/3/9,0.1,3.3,-2.6
1999/3/10,1.8,7.8,-3.5
1999/3/11,0.5,3.5,-2.3
1999/3/12,-2.0,2.1,-5.2
1999/3/13,0.2,7.2,-7.9
1999/3/14,6.2,14.6,-2.8
1999/3/15,3.4,6.3,0.9
1999/3/16,3.2,7.5,0.5
1999/3/17,6.6,13.1,0.9
1999/3/18,9.6,19.2,-0.2
1999/3/19,6.3,11.6,0.1
1999/3/20,-0.2,1.9,-3.5
1999/3/21,-1.0,3.9,-6.3
1999/3/22,0.0,2.8,-2.7
1999/3/23,-0.5,2.5,-4.1
1999/3/24,2.4,9.3,-2.7
1999/3/25,4.4,14.0,-2.2
1999/3/26,8.9,17.3,-0.2
1999/3/27,5.6,9.2,-0.3
1999/3/28,1.2,5.4,-2.3
1999/3/29,-1.8,2.2,-4.4
1999/3/30,0.0,5.8,-4.4
1999/3/31,-0.2,3.9,-5.0
1999/4/1,6.7,13.8,-1.3
1999/4/2,8.1,11.8,0.9
1999/4/3,1.4,5.7,-2.4
1999/4/4,6.0,11.1,0.7
1999/4/5,5.8,12.6,-0.3
1999/4/6,2.0,6.7,-1.9
1999/4/7,1.7,5.7,-1.0
1999/4/8,1.8,6.2,-1.8
1999/4/9,4.2,11.4,-2.3
1999/4/10,8.1,16.9,-1.4
1999/4/11,12.0,18.2,7.1
1999/4/12,12.2,19.0,5.8
1999/4/13,10.5,11.8,9.1
1999/4/14,7.6,10.7,4.5
1999/4/15,6.1,10.4,0.0
1999/4/16,8.8,17.0,-0.7
1999/4/17,10.8,17.1,4.1
1999/4/18,10.5,18.0,0.0
1999/4/19,13.7,16.7,9.7
1999/4/20,15.5,23.1,10.6
1999/4/21,11.3,18.5,4.6
1999/4/22,11.7,23.4,0.2
1999/4/23,15.3,26.1,3.7
1999/4/24,15.1,18.4,12.8
1999/4/25,14.8,19.0,11.6
1999/4/26,15.7,22.9,11.5
1999/4/27,15.5,19.8,12.0
1999/4/28,10.6,16.2,6.0
1999/4/29,8.0,14.2,3.1
1999/4/30,9.1,16.9,1.0
1999/5/1,12.9,22.1,3.6
