ダウンロードした時刻：2017/07/24 15:40:44

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,3.6,9.6,-1.2
1983/1/2,4.2,11.0,-2.9
1983/1/3,5.4,10.1,0.1
1983/1/4,4.4,10.7,-0.8
1983/1/5,5.1,6.9,0.4
1983/1/6,9.4,14.4,6.7
1983/1/7,8.3,10.2,5.8
1983/1/8,8.3,11.3,5.6
1983/1/9,4.9,8.7,2.1
1983/1/10,0.9,3.2,-1.0
1983/1/11,1.6,6.1,-1.4
1983/1/12,3.6,8.6,-0.5
1983/1/13,4.0,9.1,0.6
1983/1/14,3.6,7.8,-0.2
1983/1/15,4.0,9.0,1.0
1983/1/16,4.6,10.4,-1.7
1983/1/17,6.0,10.2,1.6
1983/1/18,5.4,7.9,3.7
1983/1/19,5.4,8.4,2.4
1983/1/20,2.7,7.2,-0.2
1983/1/21,2.6,7.0,-0.8
1983/1/22,0.0,3.8,-2.5
1983/1/23,1.3,6.2,-5.3
1983/1/24,3.7,8.9,0.7
1983/1/25,3.9,10.7,-2.4
1983/1/26,6.1,13.0,-0.3
1983/1/27,6.2,13.3,0.1
1983/1/28,7.0,14.1,0.3
1983/1/29,7.6,14.7,0.2
1983/1/30,7.3,11.8,3.6
1983/1/31,5.0,9.8,0.3
1983/2/1,6.3,12.4,-2.1
1983/2/2,7.3,9.4,6.0
1983/2/3,6.2,10.1,2.6
1983/2/4,4.4,10.5,0.0
1983/2/5,4.4,11.4,-2.3
1983/2/6,5.8,13.0,-0.1
1983/2/7,4.8,8.5,2.0
1983/2/8,3.7,8.7,0.4
1983/2/9,2.3,7.6,-0.9
1983/2/10,1.0,3.6,-0.7
1983/2/11,1.6,6.7,-1.9
1983/2/12,2.2,7.0,-1.3
1983/2/13,0.4,4.4,-1.9
1983/2/14,1.6,6.8,-3.5
1983/2/15,3.9,9.7,-0.3
1983/2/16,5.5,11.7,-0.9
1983/2/17,6.4,9.1,4.2
1983/2/18,5.5,10.5,0.7
1983/2/19,1.9,7.2,-1.6
1983/2/20,2.9,8.7,-0.3
1983/2/21,1.4,6.5,-2.4
1983/2/22,3.2,9.2,-3.1
1983/2/23,5.6,11.3,-1.1
1983/2/24,5.8,11.1,1.2
1983/2/25,5.5,11.1,1.2
1983/2/26,3.8,8.0,1.4
1983/2/27,5.1,9.1,1.0
1983/2/28,6.9,13.6,0.9
1983/3/1,7.2,14.4,-1.2
1983/3/2,8.0,9.3,6.1
1983/3/3,10.6,14.3,6.6
1983/3/4,6.7,11.5,3.8
1983/3/5,4.7,8.6,1.1
1983/3/6,4.0,10.2,0.0
1983/3/7,3.4,8.1,-1.4
1983/3/8,3.6,8.5,-1.1
1983/3/9,5.6,11.7,-2.0
1983/3/10,5.9,7.3,4.2
1983/3/11,9.6,15.0,4.6
1983/3/12,9.6,13.2,3.7
1983/3/13,9.6,11.8,6.6
1983/3/14,4.7,7.9,1.2
1983/3/15,5.9,12.3,-0.2
1983/3/16,7.7,11.7,3.1
1983/3/17,7.4,13.2,4.3
1983/3/18,4.3,6.9,2.3
1983/3/19,7.1,14.3,0.2
1983/3/20,9.2,16.5,0.8
1983/3/21,10.4,13.9,6.9
1983/3/22,12.7,18.9,6.2
1983/3/23,11.6,13.0,10.4
1983/3/24,12.2,17.0,8.0
1983/3/25,9.3,15.5,5.5
1983/3/26,9.5,15.0,2.4
1983/3/27,9.5,12.4,7.5
1983/3/28,11.0,18.3,6.5
1983/3/29,9.8,13.0,7.1
1983/3/30,10.5,13.6,8.2
1983/3/31,12.8,16.9,9.2
1983/4/1,12.0,15.6,10.5
1983/4/2,12.8,17.4,8.9
1983/4/3,12.6,18.1,8.2
1983/4/4,11.6,17.9,7.8
1983/4/5,13.2,21.6,5.8
1983/4/6,14.4,22.2,6.5
1983/4/7,14.9,19.8,10.8
1983/4/8,16.8,23.6,12.5
1983/4/9,15.0,20.2,9.6
1983/4/10,13.0,14.4,12.2
1983/4/11,16.7,20.3,13.1
1983/4/12,16.6,23.0,12.4
1983/4/13,16.3,23.0,9.8
1983/4/14,15.9,20.7,11.4
1983/4/15,14.9,17.3,12.1
1983/4/16,14.9,18.4,12.0
1983/4/17,13.0,15.8,11.5
1983/4/18,16.2,22.3,11.5
1983/4/19,14.2,15.1,13.7
1983/4/20,16.3,22.8,10.6
1983/4/21,13.9,19.4,6.5
1983/4/22,14.1,16.7,12.1
1983/4/23,15.8,23.2,9.9
1983/4/24,18.1,26.6,9.7
1983/4/25,20.2,28.9,11.5
1983/4/26,19.5,25.9,12.3
1983/4/27,20.1,24.4,17.7
1983/4/28,18.6,20.7,16.3
1983/4/29,20.5,26.6,15.6
1983/4/30,14.7,19.3,9.7
1983/5/1,13.6,18.4,9.4
