ダウンロードした時刻：2017/07/24 15:44:47

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/1/1,4.3,7.0,2.4
2008/1/2,5.4,9.5,0.9
2008/1/3,6.9,10.6,2.3
2008/1/4,6.9,12.1,3.1
2008/1/5,7.2,11.8,2.7
2008/1/6,7.4,12.7,2.7
2008/1/7,6.8,8.5,4.9
2008/1/8,9.8,13.9,5.6
2008/1/9,9.7,14.2,6.1
2008/1/10,8.9,14.2,4.3
2008/1/11,9.2,13.0,5.6
2008/1/12,9.5,11.8,6.2
2008/1/13,5.1,8.4,3.5
2008/1/14,4.3,6.3,3.0
2008/1/15,5.3,9.7,0.9
2008/1/16,6.9,11.0,4.4
2008/1/17,4.5,7.4,2.1
2008/1/18,4.4,9.4,1.4
2008/1/19,4.7,8.4,1.9
2008/1/20,3.5,6.3,1.5
2008/1/21,4.6,7.9,1.4
2008/1/22,4.5,7.1,1.9
2008/1/23,5.7,7.9,3.7
2008/1/24,4.7,7.7,1.9
2008/1/25,3.0,6.2,1.6
2008/1/26,3.6,7.6,1.6
2008/1/27,3.3,6.8,0.4
2008/1/28,2.7,6.5,0.4
2008/1/29,4.9,7.1,2.3
2008/1/30,7.5,9.3,5.5
2008/1/31,5.8,9.4,3.7
2008/2/1,4.5,9.0,2.2
2008/2/2,3.8,7.3,2.1
2008/2/3,3.8,6.5,1.2
2008/2/4,5.6,8.9,2.9
2008/2/5,5.9,9.3,3.6
2008/2/6,5.0,8.9,2.3
2008/2/7,4.9,8.7,3.2
2008/2/8,4.3,8.3,1.4
2008/2/9,2.0,3.8,0.4
2008/2/10,5.6,10.5,1.3
2008/2/11,7.1,12.5,1.7
2008/2/12,5.7,7.9,2.1
2008/2/13,2.0,5.2,-0.3
2008/2/14,4.8,8.8,0.7
2008/2/15,5.3,8.7,1.2
2008/2/16,4.5,8.4,2.4
2008/2/17,3.0,6.5,1.1
2008/2/18,4.1,8.0,1.2
2008/2/19,6.0,9.9,2.1
2008/2/20,7.0,10.6,1.8
2008/2/21,8.3,12.6,5.6
2008/2/22,9.0,14.2,3.7
2008/2/23,7.1,12.6,0.5
2008/2/24,2.0,5.7,-0.7
2008/2/25,3.5,8.3,0.4
2008/2/26,5.4,7.4,3.5
2008/2/27,4.0,7.6,2.3
2008/2/28,6.0,10.2,3.1
2008/2/29,7.6,13.2,1.3
2008/3/1,8.2,11.6,5.8
2008/3/2,8.0,12.3,2.8
2008/3/3,7.3,10.9,5.1
2008/3/4,6.6,11.0,3.9
2008/3/5,5.4,9.9,3.2
2008/3/6,6.3,10.3,1.3
2008/3/7,7.7,12.0,4.8
2008/3/8,7.3,13.0,2.7
2008/3/9,10.0,16.5,3.1
2008/3/10,11.2,14.7,8.4
2008/3/11,12.0,17.6,5.7
2008/3/12,13.5,20.7,8.2
2008/3/13,14.2,19.3,9.7
2008/3/14,13.4,15.9,10.6
2008/3/15,11.7,16.5,7.4
2008/3/16,12.1,17.6,6.4
2008/3/17,12.8,19.2,8.1
2008/3/18,13.8,21.4,7.3
2008/3/19,12.7,14.6,10.7
2008/3/20,11.1,12.2,10.1
2008/3/21,12.6,18.0,9.9
2008/3/22,12.9,19.8,7.4
2008/3/23,14.5,19.7,10.0
2008/3/24,13.7,16.9,11.3
2008/3/25,13.5,19.2,8.4
2008/3/26,11.8,15.6,7.4
2008/3/27,10.9,15.3,6.7
2008/3/28,11.3,15.8,8.1
2008/3/29,9.9,15.4,7.5
2008/3/30,8.3,9.6,7.4
2008/3/31,9.1,12.6,6.8
2008/4/1,10.1,14.5,6.7
2008/4/2,11.5,15.8,5.5
2008/4/3,13.6,17.4,10.3
2008/4/4,12.9,18.2,7.2
2008/4/5,14.2,19.8,7.6
2008/4/6,15.2,22.0,8.8
2008/4/7,13.2,15.8,11.2
2008/4/8,14.5,18.1,12.5
2008/4/9,15.5,21.1,10.0
2008/4/10,14.3,16.7,13.3
2008/4/11,14.4,18.0,12.2
2008/4/12,14.3,19.6,11.2
2008/4/13,14.7,20.5,9.8
2008/4/14,15.3,20.3,11.6
2008/4/15,15.5,21.8,8.8
2008/4/16,16.9,20.9,13.1
2008/4/17,15.4,17.5,14.2
2008/4/18,15.1,16.9,14.0
2008/4/19,15.1,18.0,13.5
2008/4/20,16.1,21.9,13.1
2008/4/21,17.3,23.9,11.6
2008/4/22,18.6,24.6,12.6
2008/4/23,20.2,25.0,15.0
2008/4/24,15.1,19.2,11.3
2008/4/25,14.3,20.1,10.2
2008/4/26,16.7,22.9,9.2
2008/4/27,16.6,20.1,13.5
2008/4/28,16.4,20.7,12.6
2008/4/29,18.7,24.6,12.0
2008/4/30,20.8,26.5,15.8
2008/5/1,20.2,23.8,17.6
