ダウンロードした時刻：2017/07/24 15:37:05

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/1/1,1.0,3.2,-0.6
1986/1/2,-2.2,2.7,-3.5
1986/1/3,-1.7,-0.4,-3.2
1986/1/4,3.9,5.6,-1.7
1986/1/5,-1.7,2.7,-4.0
1986/1/6,-2.1,1.2,-4.1
1986/1/7,0.3,2.5,-1.7
1986/1/8,1.2,4.3,-0.8
1986/1/9,0.8,4.3,-1.7
1986/1/10,-1.2,0.3,-2.2
1986/1/11,-3.1,-0.9,-5.8
1986/1/12,-2.2,-0.1,-3.3
1986/1/13,-0.8,1.9,-3.4
1986/1/14,-2.8,-1.4,-4.4
1986/1/15,-0.6,0.8,-2.8
1986/1/16,-1.0,3.3,-5.4
1986/1/17,-0.2,5.0,-5.3
1986/1/18,1.3,3.1,-0.6
1986/1/19,0.3,2.3,-1.1
1986/1/20,-0.5,2.3,-2.0
1986/1/21,-4.1,-2.0,-5.4
1986/1/22,-6.0,-2.3,-8.9
1986/1/23,-4.8,-3.4,-7.1
1986/1/24,-3.2,-0.6,-6.2
1986/1/25,-3.3,-1.6,-5.6
1986/1/26,-4.4,-2.3,-6.1
1986/1/27,-4.2,-2.8,-6.3
1986/1/28,-3.2,-0.6,-4.4
1986/1/29,-1.7,-0.4,-4.3
1986/1/30,-1.5,0.7,-5.4
1986/1/31,-0.8,1.1,-3.6
1986/2/1,-3.9,-1.2,-5.5
1986/2/2,-4.7,-1.6,-7.8
1986/2/3,-4.1,-0.5,-7.3
1986/2/4,-3.2,-2.1,-5.3
1986/2/5,-4.7,-2.9,-8.1
1986/2/6,-3.2,-1.8,-8.1
1986/2/7,-4.4,-0.7,-6.9
1986/2/8,-2.9,0.9,-8.3
1986/2/9,-2.4,-0.2,-5.1
1986/2/10,-3.3,-1.5,-4.7
1986/2/11,-2.6,-0.3,-4.0
1986/2/12,-1.0,1.5,-4.1
1986/2/13,1.2,3.3,0.2
1986/2/14,1.0,4.4,-2.2
1986/2/15,-0.2,2.5,-3.5
1986/2/16,-1.9,-0.5,-2.9
1986/2/17,-1.1,0.2,-3.8
1986/2/18,-1.4,1.1,-5.8
1986/2/19,-0.8,0.4,-1.9
1986/2/20,-0.9,1.9,-4.5
1986/2/21,-1.6,0.6,-3.5
1986/2/22,-0.7,3.1,-5.5
1986/2/23,0.9,3.5,-1.5
1986/2/24,-0.6,1.7,-3.0
1986/2/25,-1.7,0.8,-3.6
1986/2/26,0.7,2.3,-2.1
1986/2/27,2.1,5.5,-1.1
1986/2/28,0.0,3.6,-4.3
1986/3/1,-0.1,2.9,-4.8
1986/3/2,1.8,3.6,-0.1
1986/3/3,-1.4,2.2,-5.2
1986/3/4,-3.1,1.0,-9.9
1986/3/5,0.6,3.4,-1.8
1986/3/6,0.7,4.6,-3.3
1986/3/7,0.8,4.9,-4.9
1986/3/8,0.9,4.3,-2.9
1986/3/9,3.1,8.7,-2.5
1986/3/10,5.1,7.8,3.2
1986/3/11,2.3,3.7,0.2
1986/3/12,1.7,3.5,-0.1
1986/3/13,2.1,5.0,-0.8
1986/3/14,2.9,7.2,-1.3
1986/3/15,5.1,7.5,1.2
1986/3/16,4.0,7.3,2.3
1986/3/17,1.6,2.9,-0.6
1986/3/18,2.2,5.1,-1.0
1986/3/19,3.7,6.5,-2.0
1986/3/20,3.7,5.3,2.2
1986/3/21,2.6,4.4,1.3
1986/3/22,3.5,7.0,0.4
1986/3/23,3.4,6.3,1.1
1986/3/24,4.1,7.3,0.5
1986/3/25,3.4,7.2,-0.7
1986/3/26,3.8,8.6,-2.2
1986/3/27,5.0,9.4,0.1
1986/3/28,5.5,11.4,1.0
1986/3/29,6.5,12.4,2.4
1986/3/30,7.5,13.7,2.8
1986/3/31,4.4,6.3,2.3
1986/4/1,5.6,9.4,1.5
1986/4/2,5.0,8.4,1.2
1986/4/3,6.0,11.6,-0.5
1986/4/4,9.8,14.6,4.9
1986/4/5,7.6,10.1,6.4
1986/4/6,6.3,9.9,1.2
1986/4/7,3.8,7.0,0.7
1986/4/8,7.5,10.2,4.2
1986/4/9,11.3,14.4,5.8
1986/4/10,9.4,12.2,6.7
1986/4/11,6.0,8.2,3.5
1986/4/12,7.1,9.1,4.7
1986/4/13,8.5,12.3,5.0
1986/4/14,7.7,12.7,0.5
1986/4/15,10.3,16.4,5.2
1986/4/16,4.9,9.8,3.1
1986/4/17,8.1,13.2,0.9
1986/4/18,13.0,17.8,6.8
1986/4/19,15.7,21.7,7.6
1986/4/20,16.2,20.3,13.0
1986/4/21,11.5,14.7,9.2
1986/4/22,15.4,20.2,9.8
1986/4/23,10.5,12.3,8.8
1986/4/24,10.7,14.6,5.8
1986/4/25,11.1,15.4,9.4
1986/4/26,9.7,11.4,9.0
1986/4/27,13.8,21.5,9.1
1986/4/28,8.2,9.6,7.2
1986/4/29,9.9,13.7,6.8
1986/4/30,11.1,16.8,5.2
1986/5/1,14.3,22.7,5.6
