ダウンロードした時刻：2017/07/24 15:47:18

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,6.8,10.6,2.2
1989/1/2,5.3,11.3,-2.0
1989/1/3,7.4,11.9,3.2
1989/1/4,6.3,13.2,0.0
1989/1/5,6.9,14.8,1.5
1989/1/6,9.0,14.5,1.9
1989/1/7,13.4,19.2,9.5
1989/1/8,15.5,18.4,12.1
1989/1/9,12.2,16.6,9.0
1989/1/10,11.2,17.5,5.9
1989/1/11,11.8,15.1,8.9
1989/1/12,10.7,14.0,6.3
1989/1/13,7.7,10.3,5.1
1989/1/14,6.7,8.8,4.4
1989/1/15,5.0,9.7,0.6
1989/1/16,7.0,12.8,0.9
1989/1/17,8.8,15.6,3.9
1989/1/18,12.8,18.3,6.2
1989/1/19,15.0,17.8,11.9
1989/1/20,12.5,16.3,9.6
1989/1/21,9.7,14.6,6.0
1989/1/22,8.8,9.9,7.6
1989/1/23,9.8,12.5,8.5
1989/1/24,7.3,11.5,2.7
1989/1/25,6.3,11.9,0.5
1989/1/26,8.3,11.6,5.1
1989/1/27,3.7,8.8,0.0
1989/1/28,1.6,6.4,-1.5
1989/1/29,3.3,9.7,-2.0
1989/1/30,5.1,11.8,-2.3
1989/1/31,8.2,13.8,2.9
1989/2/1,5.7,9.9,3.0
1989/2/2,2.2,6.9,-1.4
1989/2/3,2.1,8.1,-4.0
1989/2/4,5.5,12.6,-0.6
1989/2/5,6.8,14.5,-0.6
1989/2/6,8.8,14.9,5.6
1989/2/7,10.2,16.2,3.7
1989/2/8,10.4,11.9,8.2
1989/2/9,8.7,11.7,7.2
1989/2/10,4.9,8.0,2.8
1989/2/11,5.4,10.2,0.2
1989/2/12,6.4,12.2,0.9
1989/2/13,5.8,11.1,2.1
1989/2/14,6.7,14.5,-0.8
1989/2/15,8.8,12.2,3.0
1989/2/16,13.5,16.4,9.8
1989/2/17,13.6,16.1,11.4
1989/2/18,10.1,12.4,7.0
1989/2/19,8.2,13.6,3.5
1989/2/20,10.4,16.0,3.3
1989/2/21,9.3,11.5,7.6
1989/2/22,9.6,14.4,5.0
1989/2/23,10.3,12.8,8.7
1989/2/24,11.2,12.8,9.7
1989/2/25,11.5,15.2,8.7
1989/2/26,8.4,13.4,4.0
1989/2/27,8.6,16.4,0.1
1989/2/28,14.9,21.9,5.7
1989/3/1,14.2,19.3,9.9
1989/3/2,12.5,18.7,6.7
1989/3/3,17.8,25.1,10.4
1989/3/4,12.9,19.1,9.0
1989/3/5,8.2,12.0,6.0
1989/3/6,6.1,8.3,4.8
1989/3/7,4.2,6.4,1.8
1989/3/8,3.5,8.2,-0.2
1989/3/9,5.2,11.5,-0.8
1989/3/10,6.1,13.0,-1.1
1989/3/11,8.2,14.8,0.3
1989/3/12,11.0,17.4,2.8
1989/3/13,12.9,14.3,11.2
1989/3/14,12.5,18.1,6.9
1989/3/15,10.0,17.2,3.5
1989/3/16,10.4,16.1,2.0
1989/3/17,9.3,14.5,4.5
1989/3/18,9.6,16.7,0.7
1989/3/19,10.9,14.9,8.6
1989/3/20,12.1,19.1,7.3
1989/3/21,9.9,17.8,3.1
1989/3/22,10.2,16.7,3.8
1989/3/23,11.3,16.7,4.3
1989/3/24,12.7,14.8,10.8
1989/3/25,11.0,14.6,7.3
1989/3/26,10.3,13.9,6.6
1989/3/27,11.0,16.2,8.5
1989/3/28,8.2,13.4,5.5
1989/3/29,9.4,16.1,2.6
1989/3/30,12.2,18.6,3.2
1989/3/31,14.0,19.1,10.5
1989/4/1,14.5,20.8,7.4
1989/4/2,17.0,22.5,12.1
1989/4/3,15.7,21.2,12.4
1989/4/4,16.0,21.7,10.8
1989/4/5,16.4,23.9,8.4
1989/4/6,16.7,23.4,11.0
1989/4/7,17.3,25.0,9.7
1989/4/8,16.5,22.9,13.4
1989/4/9,16.5,23.1,9.3
1989/4/10,15.5,22.2,10.7
1989/4/11,12.5,17.8,7.4
1989/4/12,12.6,20.0,5.4
1989/4/13,15.7,22.4,9.4
1989/4/14,14.6,18.3,12.9
1989/4/15,16.8,20.2,14.9
1989/4/16,16.1,19.9,12.2
1989/4/17,15.6,21.8,8.1
1989/4/18,17.8,25.6,10.3
1989/4/19,18.6,28.4,10.4
1989/4/20,19.5,27.8,11.5
1989/4/21,22.5,27.7,17.9
1989/4/22,20.4,23.3,18.9
1989/4/23,20.2,24.5,17.1
1989/4/24,14.7,17.9,9.8
1989/4/25,14.7,22.5,5.6
1989/4/26,17.0,24.2,9.1
1989/4/27,18.1,24.5,10.8
1989/4/28,16.2,21.4,11.5
1989/4/29,15.7,20.2,12.5
1989/4/30,15.5,18.4,12.2
1989/5/1,17.1,18.9,15.1
