ダウンロードした時刻：2017/07/24 15:36:59

,八戸,八戸,八戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,4.4,7.9,1.0
1991/1/2,3.8,5.8,0.6
1991/1/3,-1.0,1.2,-3.0
1991/1/4,-2.2,1.1,-3.8
1991/1/5,-2.0,1.9,-4.7
1991/1/6,-1.7,1.9,-4.1
1991/1/7,-0.7,2.5,-3.1
1991/1/8,-0.8,2.8,-4.5
1991/1/9,1.3,5.0,-0.4
1991/1/10,1.4,3.9,-0.6
1991/1/11,0.9,3.0,-0.4
1991/1/12,0.4,2.7,-2.7
1991/1/13,-0.7,2.4,-4.4
1991/1/14,1.0,4.4,-1.2
1991/1/15,0.0,4.1,-3.1
1991/1/16,-0.7,2.6,-3.2
1991/1/17,1.6,5.6,-3.4
1991/1/18,0.1,1.7,-2.0
1991/1/19,0.9,6.1,-3.3
1991/1/20,4.4,7.1,0.5
1991/1/21,3.5,6.1,0.5
1991/1/22,-0.4,1.4,-2.5
1991/1/23,-2.8,0.4,-5.7
1991/1/24,-0.1,2.9,-4.1
1991/1/25,2.9,7.4,-0.1
1991/1/26,2.7,4.0,0.5
1991/1/27,0.4,4.0,-1.3
1991/1/28,-0.4,2.3,-2.5
1991/1/29,-0.8,3.3,-5.0
1991/1/30,-1.7,1.7,-3.2
1991/1/31,0.5,4.8,-2.3
1991/2/1,-0.1,4.0,-1.9
1991/2/2,-1.1,2.9,-4.0
1991/2/3,-1.1,3.3,-3.8
1991/2/4,-1.7,2.4,-5.8
1991/2/5,-2.4,1.1,-6.1
1991/2/6,-0.6,3.8,-3.8
1991/2/7,-2.0,2.5,-5.9
1991/2/8,-2.3,2.1,-7.8
1991/2/9,-0.3,3.9,-3.7
1991/2/10,1.6,5.8,-3.2
1991/2/11,1.9,6.3,-1.5
1991/2/12,0.1,4.1,-2.1
1991/2/13,0.2,3.4,-3.1
1991/2/14,1.4,5.2,-2.1
1991/2/15,2.8,5.6,-2.6
1991/2/16,2.1,6.2,-1.0
1991/2/17,-1.3,0.7,-4.3
1991/2/18,-3.5,0.3,-7.7
1991/2/19,-4.0,-1.5,-6.3
1991/2/20,-4.4,-0.5,-11.1
1991/2/21,-1.4,3.1,-5.8
1991/2/22,-1.2,1.4,-2.4
1991/2/23,-3.2,0.3,-6.9
1991/2/24,-4.8,-1.3,-7.8
1991/2/25,-2.8,2.6,-8.1
1991/2/26,0.3,3.6,-2.4
1991/2/27,3.5,7.9,-2.1
1991/2/28,4.6,9.5,0.1
1991/3/1,-1.3,1.2,-2.8
1991/3/2,-0.2,5.5,-3.2
1991/3/3,0.7,3.6,-1.8
1991/3/4,5.2,9.6,0.0
1991/3/5,7.5,12.1,1.8
1991/3/6,6.2,13.7,0.0
1991/3/7,-1.2,1.5,-2.5
1991/3/8,0.7,4.2,-2.6
1991/3/9,0.9,1.8,-0.1
1991/3/10,1.3,3.6,0.3
1991/3/11,1.7,4.6,-1.9
1991/3/12,1.9,6.6,-2.0
1991/3/13,-0.2,3.3,-3.0
1991/3/14,-1.8,1.2,-4.0
1991/3/15,-1.3,1.9,-4.3
1991/3/16,1.0,5.1,-1.1
1991/3/17,1.1,6.0,-1.9
1991/3/18,3.4,8.3,-0.5
1991/3/19,6.8,14.0,-2.1
1991/3/20,9.0,15.7,1.3
1991/3/21,0.4,2.9,-2.5
1991/3/22,1.4,6.6,-4.7
1991/3/23,7.1,13.5,0.2
1991/3/24,7.9,13.8,1.8
1991/3/25,5.2,10.2,-1.0
1991/3/26,6.0,11.8,0.9
1991/3/27,1.4,3.9,-1.3
1991/3/28,3.1,3.9,2.6
1991/3/29,3.8,6.6,0.9
1991/3/30,6.2,13.7,-0.8
1991/3/31,5.1,9.0,1.2
1991/4/1,2.5,7.9,-1.5
1991/4/2,3.2,9.5,-2.7
1991/4/3,5.4,11.6,-1.6
1991/4/4,9.8,16.5,4.5
1991/4/5,8.0,16.6,1.4
1991/4/6,7.2,12.4,1.3
1991/4/7,7.4,10.8,3.3
1991/4/8,6.5,7.1,5.8
1991/4/9,7.1,11.5,4.4
1991/4/10,8.6,15.2,1.2
1991/4/11,10.9,14.3,5.6
1991/4/12,7.5,12.2,2.0
1991/4/13,13.9,22.3,4.0
1991/4/14,10.8,15.0,7.0
1991/4/15,12.3,17.7,6.8
1991/4/16,12.5,17.6,7.3
1991/4/17,13.0,22.8,5.2
1991/4/18,8.3,13.7,3.1
1991/4/19,9.4,15.7,2.8
1991/4/20,6.4,9.6,3.5
1991/4/21,6.5,10.8,1.5
1991/4/22,7.5,12.5,2.0
1991/4/23,9.5,17.1,-0.1
1991/4/24,12.9,20.9,5.3
1991/4/25,9.0,11.0,7.4
1991/4/26,13.4,23.1,8.0
1991/4/27,10.3,15.7,6.1
1991/4/28,15.1,23.6,4.8
1991/4/29,16.6,22.9,9.6
1991/4/30,10.2,14.7,6.7
1991/5/1,10.4,15.7,6.4
