ダウンロードした時刻：2017/07/24 15:41:46

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/1/1,7.5,11.5,3.6
1992/1/2,7.9,13.8,2.6
1992/1/3,7.7,11.9,3.5
1992/1/4,7.2,11.9,4.3
1992/1/5,7.7,11.9,3.3
1992/1/6,7.2,10.1,4.3
1992/1/7,9.8,12.6,8.1
1992/1/8,10.7,15.1,8.0
1992/1/9,9.3,11.5,7.4
1992/1/10,8.0,12.7,4.0
1992/1/11,7.2,12.4,2.9
1992/1/12,8.9,13.7,5.9
1992/1/13,9.3,14.3,5.1
1992/1/14,7.4,11.9,3.1
1992/1/15,4.9,9.2,2.7
1992/1/16,5.9,10.4,1.7
1992/1/17,7.1,11.6,3.9
1992/1/18,4.7,7.2,2.8
1992/1/19,3.8,7.2,1.7
1992/1/20,4.4,9.6,0.6
1992/1/21,5.3,10.2,0.3
1992/1/22,6.9,10.5,3.7
1992/1/23,5.4,8.8,3.0
1992/1/24,4.0,7.9,1.3
1992/1/25,5.5,9.7,0.9
1992/1/26,6.9,11.6,3.4
1992/1/27,7.8,13.2,2.2
1992/1/28,8.7,13.4,5.7
1992/1/29,10.3,14.4,5.4
1992/1/30,10.3,14.4,8.0
1992/1/31,7.7,9.8,4.7
1992/2/1,3.7,8.1,0.6
1992/2/2,4.2,9.5,0.3
1992/2/3,6.7,10.8,1.6
1992/2/4,10.0,15.0,4.6
1992/2/5,6.0,10.8,2.7
1992/2/6,6.1,11.4,0.8
1992/2/7,6.4,10.5,3.5
1992/2/8,5.2,9.3,2.5
1992/2/9,4.6,9.6,0.3
1992/2/10,5.5,10.3,0.2
1992/2/11,6.5,11.6,2.7
1992/2/12,8.1,12.6,3.3
1992/2/13,8.5,12.4,5.1
1992/2/14,6.7,10.2,4.0
1992/2/15,6.0,10.2,1.0
1992/2/16,6.5,11.1,3.3
1992/2/17,5.2,10.0,1.6
1992/2/18,7.1,12.4,1.0
1992/2/19,6.7,10.8,3.9
1992/2/20,5.2,9.5,2.7
1992/2/21,4.2,9.0,0.9
1992/2/22,3.3,7.4,0.1
1992/2/23,5.2,10.2,0.5
1992/2/24,5.7,11.2,2.6
1992/2/25,4.2,8.7,1.7
1992/2/26,5.7,10.6,1.7
1992/2/27,9.4,14.7,2.4
1992/2/28,11.6,16.2,5.8
1992/2/29,12.9,17.1,11.0
1992/3/1,14.6,18.9,12.0
1992/3/2,11.0,13.6,8.3
1992/3/3,8.5,13.6,5.1
1992/3/4,8.7,13.4,3.4
1992/3/5,10.7,13.2,8.4
1992/3/6,10.0,13.9,5.3
1992/3/7,7.8,13.5,3.8
1992/3/8,7.7,13.5,1.1
1992/3/9,9.2,14.0,3.8
1992/3/10,13.0,19.1,8.7
1992/3/11,11.7,17.2,8.0
1992/3/12,12.0,18.2,6.8
1992/3/13,13.0,18.6,7.6
1992/3/14,13.7,18.3,7.6
1992/3/15,14.7,19.7,11.1
1992/3/16,12.2,14.2,9.5
1992/3/17,6.6,9.5,5.5
1992/3/18,9.7,14.1,5.8
1992/3/19,10.5,13.9,7.1
1992/3/20,11.4,15.8,7.7
1992/3/21,9.5,12.3,5.6
1992/3/22,8.0,13.7,4.2
1992/3/23,9.1,12.0,5.6
1992/3/24,12.9,17.1,9.3
1992/3/25,13.3,18.1,11.1
1992/3/26,11.2,13.2,9.2
1992/3/27,10.3,12.1,8.6
1992/3/28,11.7,16.5,7.7
1992/3/29,12.6,14.6,11.3
1992/3/30,14.5,19.9,11.3
1992/3/31,13.7,19.5,8.7
1992/4/1,13.1,15.0,11.2
1992/4/2,16.6,21.1,13.0
1992/4/3,15.9,20.7,11.7
1992/4/4,14.4,18.0,10.7
1992/4/5,13.9,20.5,10.4
1992/4/6,15.1,21.2,9.1
1992/4/7,15.9,21.9,11.7
1992/4/8,14.3,17.9,10.1
1992/4/9,17.3,22.2,14.0
1992/4/10,14.4,16.3,13.4
1992/4/11,14.3,18.1,9.2
1992/4/12,10.3,17.2,5.9
1992/4/13,9.9,15.3,5.9
1992/4/14,11.5,17.0,7.0
1992/4/15,12.7,17.8,6.0
1992/4/16,13.2,18.3,9.5
1992/4/17,12.9,18.3,8.1
1992/4/18,15.3,19.8,7.8
1992/4/19,15.1,18.2,10.3
1992/4/20,15.6,21.9,9.1
1992/4/21,16.0,21.8,10.2
1992/4/22,15.3,19.2,12.7
1992/4/23,16.3,22.9,10.8
1992/4/24,16.4,21.6,10.8
1992/4/25,17.2,22.3,12.1
1992/4/26,15.2,20.0,10.4
1992/4/27,16.7,23.5,9.0
1992/4/28,18.3,22.9,14.9
1992/4/29,19.4,23.7,15.3
1992/4/30,14.9,17.2,11.6
1992/5/1,14.5,19.7,9.9
