ダウンロードした時刻：2017/07/24 15:44:40

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,5.4,9.8,1.6
1985/1/2,5.5,9.8,0.5
1985/1/3,5.1,7.3,3.2
1985/1/4,4.5,7.2,2.0
1985/1/5,3.7,6.6,0.1
1985/1/6,4.4,8.3,0.4
1985/1/7,3.7,8.0,0.5
1985/1/8,3.8,8.0,-0.5
1985/1/9,4.7,9.6,-0.9
1985/1/10,5.9,10.3,2.5
1985/1/11,5.4,9.3,1.0
1985/1/12,6.1,9.5,0.4
1985/1/13,4.0,6.1,1.3
1985/1/14,0.5,4.3,-1.6
1985/1/15,1.6,5.3,-2.6
1985/1/16,5.3,9.9,1.4
1985/1/17,3.2,7.6,1.0
1985/1/18,2.7,5.5,-0.7
1985/1/19,5.0,10.7,-1.1
1985/1/20,6.7,11.0,4.3
1985/1/21,4.1,7.0,2.4
1985/1/22,5.1,9.7,-0.6
1985/1/23,6.9,12.4,3.1
1985/1/24,4.7,8.3,0.4
1985/1/25,3.3,6.3,0.5
1985/1/26,4.3,8.3,1.6
1985/1/27,4.6,9.5,-0.9
1985/1/28,6.2,10.4,3.7
1985/1/29,2.9,7.3,0.8
1985/1/30,0.6,3.8,-1.2
1985/1/31,3.1,6.5,-2.7
1985/2/1,7.5,9.5,2.6
1985/2/2,8.5,12.0,4.3
1985/2/3,7.6,12.8,2.2
1985/2/4,8.0,12.6,3.1
1985/2/5,7.2,8.7,6.6
1985/2/6,8.2,9.6,6.3
1985/2/7,9.2,14.7,4.9
1985/2/8,8.4,11.2,4.8
1985/2/9,12.4,16.5,9.5
1985/2/10,8.8,12.7,5.2
1985/2/11,6.9,10.4,4.1
1985/2/12,7.1,11.7,1.7
1985/2/13,7.9,11.9,4.3
1985/2/14,3.5,6.3,1.4
1985/2/15,5.1,7.4,1.2
1985/2/16,5.4,6.3,3.7
1985/2/17,5.7,9.1,4.3
1985/2/18,7.2,10.5,4.1
1985/2/19,6.2,8.7,5.1
1985/2/20,8.0,9.5,6.4
1985/2/21,4.1,7.5,0.4
1985/2/22,2.3,5.1,0.2
1985/2/23,3.6,6.8,1.3
1985/2/24,3.0,7.2,-0.1
1985/2/25,4.4,8.1,1.6
1985/2/26,4.9,8.4,1.7
1985/2/27,6.3,10.1,3.0
1985/2/28,7.9,10.7,4.4
1985/3/1,9.4,13.3,7.3
1985/3/2,7.8,10.3,5.4
1985/3/3,7.0,10.0,4.0
1985/3/4,6.1,11.3,1.4
1985/3/5,7.3,10.2,4.4
1985/3/6,8.0,11.8,3.2
1985/3/7,9.7,14.4,4.7
1985/3/8,12.5,18.1,8.7
1985/3/9,9.8,14.7,7.2
1985/3/10,6.9,10.5,4.5
1985/3/11,6.0,8.0,4.7
1985/3/12,6.9,10.7,4.2
1985/3/13,7.4,12.2,2.7
1985/3/14,8.0,10.9,6.0
1985/3/15,7.1,10.6,4.6
1985/3/16,9.9,16.7,3.0
1985/3/17,10.2,12.6,8.1
1985/3/18,11.8,15.6,9.5
1985/3/19,8.2,9.6,7.0
1985/3/20,10.7,14.9,6.6
1985/3/21,9.0,12.2,6.5
1985/3/22,8.7,14.4,4.4
1985/3/23,9.0,15.5,4.4
1985/3/24,11.3,18.3,4.4
1985/3/25,13.3,19.0,8.5
1985/3/26,12.8,15.7,9.3
1985/3/27,11.7,15.8,8.7
1985/3/28,13.3,18.7,10.0
1985/3/29,13.1,19.3,9.6
1985/3/30,9.0,12.1,6.8
1985/3/31,7.3,11.1,5.3
1985/4/1,8.8,13.4,5.3
1985/4/2,11.0,16.6,4.0
1985/4/3,14.5,18.6,10.3
1985/4/4,15.2,17.9,12.5
1985/4/5,12.4,16.3,9.6
1985/4/6,13.0,18.6,6.8
1985/4/7,12.9,16.0,11.5
1985/4/8,16.8,21.9,12.1
1985/4/9,17.7,24.1,10.6
1985/4/10,17.4,22.9,12.4
1985/4/11,14.8,18.4,12.9
1985/4/12,13.6,17.2,11.0
1985/4/13,15.7,21.6,12.6
1985/4/14,16.4,21.1,11.9
1985/4/15,13.8,16.9,11.4
1985/4/16,12.7,18.7,8.9
1985/4/17,14.3,20.6,6.5
1985/4/18,14.9,20.1,11.4
1985/4/19,17.1,23.0,8.2
1985/4/20,16.4,21.7,12.9
1985/4/21,17.5,24.4,10.4
1985/4/22,18.3,25.1,14.2
1985/4/23,19.0,23.7,15.2
1985/4/24,16.6,20.2,11.8
1985/4/25,16.9,22.8,9.4
1985/4/26,18.9,25.5,12.4
1985/4/27,15.5,20.2,10.9
1985/4/28,15.5,20.6,9.6
1985/4/29,16.9,23.1,10.1
1985/4/30,19.1,26.1,12.2
1985/5/1,20.0,26.9,13.1
