ダウンロードした時刻：2017/07/24 15:37:00

,八戸,八戸,八戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/1/1,-1.2,0.6,-2.6
1994/1/2,2.5,5.8,-2.3
1994/1/3,3.7,7.5,1.2
1994/1/4,0.4,3.1,-2.2
1994/1/5,-4.2,-1.7,-5.8
1994/1/6,-2.5,-0.7,-4.0
1994/1/7,-4.0,-1.3,-6.3
1994/1/8,-1.4,2.7,-6.6
1994/1/9,2.7,7.2,-0.5
1994/1/10,1.1,4.4,-2.8
1994/1/11,-0.6,4.7,-5.4
1994/1/12,-0.6,3.2,-3.3
1994/1/13,-3.2,0.9,-6.8
1994/1/14,-2.4,0.1,-6.1
1994/1/15,-3.2,-0.6,-5.9
1994/1/16,0.3,2.9,-4.0
1994/1/17,2.7,5.0,-0.1
1994/1/18,-2.1,0.2,-5.9
1994/1/19,-4.8,-2.7,-6.8
1994/1/20,-2.8,0.5,-5.1
1994/1/21,-2.6,1.7,-5.6
1994/1/22,-1.4,3.6,-6.4
1994/1/23,-1.5,3.9,-5.6
1994/1/24,-3.6,-1.3,-6.3
1994/1/25,-0.8,3.8,-5.2
1994/1/26,-0.2,3.1,-3.1
1994/1/27,-2.9,0.8,-7.9
1994/1/28,-4.7,-2.0,-7.0
1994/1/29,-4.4,-1.3,-7.8
1994/1/30,-5.1,-1.2,-8.2
1994/1/31,-3.7,1.5,-9.9
1994/2/1,0.0,4.3,-4.5
1994/2/2,-3.1,0.5,-6.1
1994/2/3,-4.0,-1.0,-5.9
1994/2/4,-4.6,-1.9,-6.4
1994/2/5,-0.9,4.1,-9.3
1994/2/6,2.2,5.4,-3.1
1994/2/7,0.7,7.1,-5.6
1994/2/8,0.6,4.7,-2.1
1994/2/9,2.2,3.6,0.6
1994/2/10,-0.5,1.0,-2.2
1994/2/11,-2.7,-1.4,-3.8
1994/2/12,-2.7,-0.5,-4.1
1994/2/13,-3.5,0.6,-5.1
1994/2/14,-2.1,0.6,-4.6
1994/2/15,0.2,3.5,-2.2
1994/2/16,0.9,3.2,-1.4
1994/2/17,0.4,4.2,-2.3
1994/2/18,3.1,6.2,-0.6
1994/2/19,3.6,8.5,-1.9
1994/2/20,4.3,11.9,-2.6
1994/2/21,4.6,11.3,-2.4
1994/2/22,0.9,5.5,-2.1
1994/2/23,-1.5,0.3,-3.6
1994/2/24,2.1,5.2,-1.0
1994/2/25,1.9,4.6,-0.2
1994/2/26,1.5,3.5,0.2
1994/2/27,0.8,2.3,-1.2
1994/2/28,1.6,4.5,0.0
1994/3/1,2.3,5.5,-1.2
1994/3/2,0.9,4.9,-2.4
1994/3/3,0.7,4.9,-3.2
1994/3/4,-1.2,2.4,-3.8
1994/3/5,-1.5,3.3,-4.9
1994/3/6,-1.4,2.4,-3.9
1994/3/7,-0.2,3.9,-3.5
1994/3/8,1.4,5.8,-4.4
1994/3/9,5.3,9.4,1.6
1994/3/10,0.1,3.1,-2.9
1994/3/11,-0.3,4.2,-3.0
1994/3/12,1.1,5.4,-2.8
1994/3/13,-0.4,3.5,-2.7
1994/3/14,-1.0,3.2,-3.7
1994/3/15,-0.2,4.5,-3.8
1994/3/16,1.9,5.8,-3.4
1994/3/17,1.8,6.8,-1.1
1994/3/18,1.8,6.5,-1.5
1994/3/19,2.9,6.9,-0.7
1994/3/20,3.6,8.0,-0.8
1994/3/21,1.4,5.3,-1.6
1994/3/22,1.5,5.1,-1.8
1994/3/23,4.0,6.0,1.3
1994/3/24,4.8,9.1,2.7
1994/3/25,4.0,8.4,0.5
1994/3/26,1.5,5.2,-0.3
1994/3/27,2.3,6.5,-2.3
1994/3/28,8.4,13.3,3.1
1994/3/29,4.0,7.2,0.5
1994/3/30,2.8,6.5,-0.6
1994/3/31,4.5,8.7,1.4
1994/4/1,9.8,18.0,1.4
1994/4/2,10.2,14.8,6.6
1994/4/3,4.3,7.1,1.8
1994/4/4,6.5,10.9,2.3
1994/4/5,9.3,18.4,4.0
1994/4/6,7.7,13.0,2.4
1994/4/7,8.3,16.7,3.1
1994/4/8,5.3,8.4,2.9
1994/4/9,2.0,6.3,-0.4
1994/4/10,3.9,8.3,-1.1
1994/4/11,7.9,15.5,2.8
1994/4/12,11.5,19.1,0.9
1994/4/13,10.5,15.4,5.5
1994/4/14,8.4,14.1,3.7
1994/4/15,12.5,17.6,6.9
1994/4/16,15.3,21.0,8.9
1994/4/17,11.8,18.6,5.1
1994/4/18,8.7,14.6,3.8
1994/4/19,7.0,10.6,3.9
1994/4/20,8.4,13.8,2.5
1994/4/21,9.9,16.5,1.5
1994/4/22,9.3,12.1,4.2
1994/4/23,12.4,21.8,2.0
1994/4/24,12.4,18.6,5.8
1994/4/25,9.6,16.8,3.7
1994/4/26,11.0,16.7,6.1
1994/4/27,11.1,18.3,4.4
1994/4/28,10.4,20.5,7.2
1994/4/29,6.5,7.8,5.6
1994/4/30,8.4,13.4,4.3
1994/5/1,6.4,8.9,3.2
