ダウンロードした時刻：2017/07/24 15:46:41

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/1/1,3.0,5.2,0.4
2009/1/2,4.7,10.0,0.0
2009/1/3,5.7,12.3,1.1
2009/1/4,6.1,11.7,2.3
2009/1/5,8.4,12.2,5.4
2009/1/6,8.2,12.2,5.8
2009/1/7,7.7,10.6,4.8
2009/1/8,8.3,12.9,3.9
2009/1/9,8.0,9.9,5.8
2009/1/10,3.2,5.9,0.5
2009/1/11,5.7,8.6,3.4
2009/1/12,4.2,7.5,0.9
2009/1/13,3.6,4.8,1.3
2009/1/14,5.2,7.4,3.6
2009/1/15,3.6,6.4,1.6
2009/1/16,5.8,10.4,2.9
2009/1/17,7.8,13.8,3.4
2009/1/18,11.5,15.5,6.5
2009/1/19,9.1,13.5,5.8
2009/1/20,7.6,12.6,3.1
2009/1/21,7.9,10.3,6.3
2009/1/22,8.3,10.3,6.7
2009/1/23,5.9,10.1,1.3
2009/1/24,1.0,5.0,-1.2
2009/1/25,3.4,8.4,0.9
2009/1/26,5.3,8.1,3.7
2009/1/27,5.0,8.7,1.5
2009/1/28,7.0,15.1,1.1
2009/1/29,10.0,14.0,6.9
2009/1/30,12.1,14.4,10.5
2009/1/31,10.9,13.3,7.8
2009/2/1,8.6,12.9,5.2
2009/2/2,9.2,16.0,3.6
2009/2/3,8.9,10.7,7.0
2009/2/4,9.5,15.5,5.1
2009/2/5,10.6,15.2,7.6
2009/2/6,9.5,14.7,4.7
2009/2/7,9.7,15.3,5.0
2009/2/8,9.6,15.3,5.0
2009/2/9,8.0,11.6,4.5
2009/2/10,8.6,12.3,4.6
2009/2/11,11.5,15.3,6.3
2009/2/12,12.2,17.9,6.0
2009/2/13,18.1,20.2,14.4
2009/2/14,14.7,18.0,11.5
2009/2/15,12.2,17.6,7.8
2009/2/16,7.5,10.8,4.7
2009/2/17,5.6,8.8,3.3
2009/2/18,6.9,12.0,3.2
2009/2/19,6.7,9.1,4.2
2009/2/20,8.8,10.8,5.7
2009/2/21,6.1,11.4,1.3
2009/2/22,10.9,17.3,4.2
2009/2/23,13.1,16.2,11.3
2009/2/24,13.6,18.2,10.3
2009/2/25,13.9,17.9,10.1
2009/2/26,11.8,16.8,8.2
2009/2/27,11.3,13.3,10.2
2009/2/28,12.0,15.6,9.2
2009/3/1,11.3,15.0,7.4
2009/3/2,10.1,15.8,4.9
2009/3/3,9.2,11.3,7.7
2009/3/4,10.2,14.4,7.4
2009/3/5,11.7,14.5,7.2
2009/3/6,11.9,15.4,8.8
2009/3/7,9.4,12.4,6.9
2009/3/8,10.3,15.1,8.2
2009/3/9,9.4,11.9,6.7
2009/3/10,10.6,17.2,4.9
2009/3/11,11.5,16.4,8.1
2009/3/12,12.8,17.6,7.3
2009/3/13,13.3,17.5,9.0
2009/3/14,6.2,9.0,4.6
2009/3/15,8.8,13.3,3.2
2009/3/16,14.1,17.5,11.4
2009/3/17,15.4,20.2,11.5
2009/3/18,17.9,22.3,13.7
2009/3/19,18.2,20.4,16.2
2009/3/20,15.3,18.4,10.9
2009/3/21,16.0,23.5,10.7
2009/3/22,16.3,19.7,13.7
2009/3/23,14.1,18.6,10.8
2009/3/24,12.9,18.1,9.0
2009/3/25,9.2,12.1,5.6
2009/3/26,9.3,13.7,3.7
2009/3/27,11.2,13.8,9.0
2009/3/28,10.2,12.5,8.4
2009/3/29,10.5,13.8,8.0
2009/3/30,10.6,15.5,5.9
2009/3/31,12.8,18.1,9.4
2009/4/1,9.7,12.3,6.6
2009/4/2,9.9,15.9,4.7
2009/4/3,11.7,16.5,6.7
2009/4/4,12.8,14.9,10.6
2009/4/5,13.0,17.8,10.0
2009/4/6,13.3,19.5,8.1
2009/4/7,14.4,19.8,8.9
2009/4/8,16.3,21.8,12.3
2009/4/9,17.1,23.9,11.6
2009/4/10,17.3,23.0,12.3
2009/4/11,17.9,24.1,12.8
2009/4/12,18.6,24.1,13.7
2009/4/13,18.7,24.3,15.2
2009/4/14,16.6,20.0,13.4
2009/4/15,16.2,20.4,13.0
2009/4/16,17.5,21.6,14.1
2009/4/17,17.6,22.9,14.4
2009/4/18,17.3,22.9,12.5
2009/4/19,19.4,25.7,13.6
2009/4/20,18.8,21.4,17.0
2009/4/21,16.8,19.4,15.0
2009/4/22,16.6,20.2,12.0
2009/4/23,16.5,22.5,11.0
2009/4/24,17.4,22.0,12.9
2009/4/25,15.1,18.9,12.3
2009/4/26,12.6,14.9,10.8
2009/4/27,12.5,16.1,9.7
2009/4/28,13.9,19.0,8.3
2009/4/29,15.3,21.7,9.0
2009/4/30,16.4,22.5,10.1
2009/5/1,17.4,23.9,11.6
