ダウンロードした時刻：2017/07/24 15:40:46

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,7.9,12.4,4.8
1991/1/2,9.3,15.5,6.2
1991/1/3,7.1,10.5,4.2
1991/1/4,4.9,9.1,2.0
1991/1/5,4.0,8.8,1.1
1991/1/6,0.4,1.9,-0.7
1991/1/7,1.9,4.6,-0.2
1991/1/8,3.4,7.5,0.3
1991/1/9,3.0,7.8,-1.3
1991/1/10,4.6,8.8,0.7
1991/1/11,5.8,10.0,2.7
1991/1/12,5.5,11.1,0.2
1991/1/13,3.9,8.4,1.5
1991/1/14,2.9,6.6,-0.5
1991/1/15,3.4,8.4,1.0
1991/1/16,4.1,9.0,0.4
1991/1/17,2.8,4.2,0.6
1991/1/18,1.7,4.6,-0.3
1991/1/19,4.0,11.3,-1.9
1991/1/20,5.7,12.7,-0.4
1991/1/21,5.0,6.7,2.8
1991/1/22,6.7,11.9,3.1
1991/1/23,3.4,6.3,-0.3
1991/1/24,3.2,7.7,-2.3
1991/1/25,6.0,10.2,3.1
1991/1/26,4.6,8.3,1.0
1991/1/27,4.3,9.7,0.3
1991/1/28,2.9,6.6,0.0
1991/1/29,3.1,8.9,-2.1
1991/1/30,4.2,8.4,0.9
1991/1/31,3.9,9.0,-0.1
1991/2/1,3.3,8.7,-1.4
1991/2/2,3.2,7.5,0.0
1991/2/3,3.5,9.3,-0.9
1991/2/4,3.3,9.0,0.7
1991/2/5,3.1,7.2,0.7
1991/2/6,3.7,9.4,-1.1
1991/2/7,5.5,11.4,0.4
1991/2/8,2.5,7.6,-0.5
1991/2/9,3.7,10.4,-1.6
1991/2/10,3.5,5.8,0.8
1991/2/11,9.3,14.9,5.1
1991/2/12,6.2,10.3,2.8
1991/2/13,6.3,10.3,2.4
1991/2/14,7.7,13.2,0.6
1991/2/15,9.0,10.7,6.8
1991/2/16,6.7,9.4,3.3
1991/2/17,3.1,6.9,1.3
1991/2/18,2.9,6.6,0.4
1991/2/19,1.3,4.0,-0.5
1991/2/20,1.4,6.3,-2.1
1991/2/21,2.4,8.0,-1.7
1991/2/22,0.8,4.7,-2.3
1991/2/23,0.2,3.9,-2.3
1991/2/24,-0.9,1.5,-3.1
1991/2/25,-0.5,3.9,-4.5
1991/2/26,2.1,8.6,-4.3
1991/2/27,5.0,11.6,-2.3
1991/2/28,5.6,7.6,3.2
1991/3/1,5.5,10.3,1.6
1991/3/2,4.7,11.3,-1.3
1991/3/3,6.3,11.7,1.0
1991/3/4,6.9,12.3,-0.7
1991/3/5,12.2,19.1,6.9
1991/3/6,13.6,20.8,8.7
1991/3/7,9.8,14.2,5.7
1991/3/8,5.9,7.0,4.9
1991/3/9,10.4,16.0,6.8
1991/3/10,9.7,15.6,4.0
1991/3/11,8.0,9.3,6.5
1991/3/12,9.9,14.6,5.7
1991/3/13,10.5,16.5,5.3
1991/3/14,6.9,12.3,1.5
1991/3/15,5.0,10.9,0.8
1991/3/16,3.6,4.8,2.2
1991/3/17,6.3,11.6,1.7
1991/3/18,8.3,15.2,1.4
1991/3/19,10.8,18.2,2.8
1991/3/20,12.2,13.9,10.4
1991/3/21,10.7,15.6,7.9
1991/3/22,8.7,9.3,7.3
1991/3/23,12.4,18.5,9.1
1991/3/24,12.8,18.9,8.3
1991/3/25,14.0,18.2,9.8
1991/3/26,14.1,21.9,8.7
1991/3/27,13.2,14.1,11.7
1991/3/28,12.3,16.1,9.2
1991/3/29,11.8,16.5,5.4
1991/3/30,11.4,14.2,9.7
1991/3/31,10.1,13.0,8.2
1991/4/1,8.0,11.7,4.2
1991/4/2,7.2,14.2,0.8
1991/4/3,9.1,16.7,1.8
1991/4/4,11.2,18.5,3.4
1991/4/5,14.2,20.2,8.8
1991/4/6,14.6,17.8,13.0
1991/4/7,14.8,18.2,12.4
1991/4/8,15.7,18.0,13.8
1991/4/9,15.5,20.6,10.6
1991/4/10,15.6,20.8,9.2
1991/4/11,17.1,20.2,14.5
1991/4/12,19.1,24.9,14.2
1991/4/13,16.0,17.3,15.2
1991/4/14,14.9,20.2,10.0
1991/4/15,15.7,23.5,6.8
1991/4/16,18.5,25.9,11.8
1991/4/17,17.4,24.6,9.6
1991/4/18,16.1,20.2,12.1
1991/4/19,14.6,21.4,8.4
1991/4/20,12.8,19.8,7.2
1991/4/21,13.6,22.7,4.9
1991/4/22,15.4,22.5,6.9
1991/4/23,14.6,20.7,9.6
1991/4/24,13.8,17.8,11.7
1991/4/25,17.0,23.3,11.1
1991/4/26,18.4,22.8,14.7
1991/4/27,17.5,22.8,11.8
1991/4/28,18.1,22.5,14.5
1991/4/29,17.7,24.2,13.5
1991/4/30,15.6,22.2,11.3
1991/5/1,14.1,18.3,9.5
