ダウンロードした時刻：2017/07/24 15:44:28

,神戸,神戸,神戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,7.3,11.1,3.1
1989/1/2,6.0,10.4,2.3
1989/1/3,7.4,12.1,3.6
1989/1/4,4.7,8.7,1.8
1989/1/5,4.4,9.8,-0.2
1989/1/6,5.5,8.4,1.2
1989/1/7,10.3,13.8,5.9
1989/1/8,12.7,14.4,10.7
1989/1/9,12.0,14.0,10.4
1989/1/10,11.1,14.2,8.8
1989/1/11,10.0,12.8,5.9
1989/1/12,8.9,11.6,4.3
1989/1/13,5.4,9.1,3.9
1989/1/14,6.0,7.8,4.4
1989/1/15,3.8,8.1,0.5
1989/1/16,4.5,9.8,-0.1
1989/1/17,6.9,11.5,2.9
1989/1/18,8.4,11.8,3.3
1989/1/19,13.6,16.0,11.6
1989/1/20,13.6,16.5,10.0
1989/1/21,8.4,12.0,4.4
1989/1/22,6.8,10.4,3.3
1989/1/23,8.5,12.7,6.3
1989/1/24,6.3,10.3,2.1
1989/1/25,6.2,9.4,2.2
1989/1/26,6.0,7.9,4.1
1989/1/27,4.1,7.7,-0.1
1989/1/28,1.2,6.2,-1.2
1989/1/29,2.2,7.5,-1.3
1989/1/30,5.1,9.8,0.6
1989/1/31,7.9,13.5,2.4
1989/2/1,6.5,9.5,2.2
1989/2/2,3.4,6.3,1.4
1989/2/3,2.9,7.1,-0.6
1989/2/4,3.5,7.8,0.7
1989/2/5,5.0,9.3,0.5
1989/2/6,6.9,12.6,2.5
1989/2/7,7.1,11.4,2.1
1989/2/8,8.9,10.7,5.2
1989/2/9,9.4,13.2,6.4
1989/2/10,4.4,7.9,0.9
1989/2/11,3.9,7.7,0.0
1989/2/12,5.5,9.0,2.9
1989/2/13,4.2,9.2,1.4
1989/2/14,5.2,10.3,1.1
1989/2/15,8.9,14.6,1.1
1989/2/16,12.8,14.9,10.3
1989/2/17,11.2,15.7,9.3
1989/2/18,8.1,11.2,5.8
1989/2/19,6.3,11.4,3.0
1989/2/20,7.3,12.0,2.3
1989/2/21,7.9,9.3,6.9
1989/2/22,6.7,9.7,4.3
1989/2/23,5.6,8.1,2.2
1989/2/24,7.4,8.5,5.7
1989/2/25,10.9,15.5,7.9
1989/2/26,6.0,9.6,1.5
1989/2/27,6.7,12.5,0.8
1989/2/28,12.8,17.9,7.7
1989/3/1,9.6,14.3,2.9
1989/3/2,9.2,15.6,1.5
1989/3/3,13.3,16.9,10.2
1989/3/4,13.2,17.7,7.5
1989/3/5,7.1,11.3,3.1
1989/3/6,7.0,12.4,1.7
1989/3/7,5.8,8.8,3.0
1989/3/8,3.9,8.6,1.3
1989/3/9,4.4,9.9,-0.2
1989/3/10,6.1,11.1,1.3
1989/3/11,8.3,11.9,3.5
1989/3/12,10.4,15.2,5.0
1989/3/13,10.5,12.5,8.8
1989/3/14,12.3,16.3,8.0
1989/3/15,9.4,15.8,5.8
1989/3/16,7.7,11.7,2.8
1989/3/17,6.1,10.6,2.9
1989/3/18,6.0,11.8,0.9
1989/3/19,7.2,14.0,1.9
1989/3/20,7.2,12.5,2.3
1989/3/21,7.5,12.4,3.7
1989/3/22,7.3,11.7,3.9
1989/3/23,8.0,12.6,2.8
1989/3/24,10.2,12.4,7.8
1989/3/25,9.6,12.7,6.0
1989/3/26,7.7,11.9,2.9
1989/3/27,8.3,12.9,6.1
1989/3/28,8.1,13.4,6.2
1989/3/29,8.8,13.8,2.7
1989/3/30,11.5,16.0,5.6
1989/3/31,12.7,15.0,11.1
1989/4/1,13.4,18.8,9.0
1989/4/2,13.7,19.0,6.4
1989/4/3,16.0,19.3,13.2
1989/4/4,12.5,18.4,8.7
1989/4/5,12.9,19.8,5.6
1989/4/6,14.2,19.9,8.4
1989/4/7,16.8,22.1,11.3
1989/4/8,13.6,15.3,12.0
1989/4/9,13.5,17.8,9.1
1989/4/10,14.3,16.5,11.2
1989/4/11,11.7,16.1,5.9
1989/4/12,10.7,15.3,6.4
1989/4/13,13.6,20.6,8.4
1989/4/14,15.4,20.6,8.9
1989/4/15,16.3,18.3,13.0
1989/4/16,16.0,20.1,11.8
1989/4/17,14.2,18.8,10.4
1989/4/18,16.8,22.6,11.4
1989/4/19,18.6,25.2,13.2
1989/4/20,18.5,23.7,14.7
1989/4/21,19.2,25.9,13.7
1989/4/22,16.7,18.3,15.4
1989/4/23,15.3,16.1,14.5
1989/4/24,13.5,15.6,11.5
1989/4/25,12.9,18.8,7.8
1989/4/26,14.9,21.0,8.0
1989/4/27,16.8,21.5,12.5
1989/4/28,11.6,16.2,6.7
1989/4/29,12.0,18.1,5.1
1989/4/30,15.3,19.6,10.2
1989/5/1,14.5,16.2,13.0
