ダウンロードした時刻：2017/07/24 15:42:30

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,9.4,12.5,7.6
1991/1/2,9.7,15.2,4.6
1991/1/3,9.7,14.3,6.1
1991/1/4,7.9,10.9,4.3
1991/1/5,7.4,10.1,2.9
1991/1/6,7.4,9.7,4.5
1991/1/7,6.7,10.6,2.0
1991/1/8,9.4,13.7,5.4
1991/1/9,4.1,10.0,-1.0
1991/1/10,6.2,11.3,-1.8
1991/1/11,6.9,12.5,0.2
1991/1/12,4.7,8.3,2.3
1991/1/13,4.6,10.6,-0.2
1991/1/14,6.5,11.3,0.1
1991/1/15,4.9,10.7,0.2
1991/1/16,4.0,11.5,-2.7
1991/1/17,6.5,13.4,-0.9
1991/1/18,4.0,9.6,-0.9
1991/1/19,4.7,12.4,-2.2
1991/1/20,8.5,14.0,0.9
1991/1/21,6.3,10.3,3.0
1991/1/22,7.4,9.8,5.6
1991/1/23,4.5,7.9,-1.7
1991/1/24,3.5,10.7,-4.2
1991/1/25,11.4,14.3,6.4
1991/1/26,7.3,11.8,3.6
1991/1/27,5.5,9.9,1.0
1991/1/28,4.9,9.5,-0.6
1991/1/29,3.2,8.6,-1.8
1991/1/30,4.6,10.1,-0.4
1991/1/31,3.3,9.9,-1.9
1991/2/1,3.6,10.9,-1.8
1991/2/2,5.2,10.1,-0.7
1991/2/3,4.2,10.1,-2.1
1991/2/4,5.8,10.7,1.9
1991/2/5,4.9,10.7,-1.2
1991/2/6,4.0,9.6,-2.1
1991/2/7,5.7,11.6,-0.7
1991/2/8,5.4,12.9,-1.1
1991/2/9,5.6,10.1,0.0
1991/2/10,6.5,14.3,0.0
1991/2/11,8.3,14.2,3.3
1991/2/12,6.7,11.8,1.1
1991/2/13,6.0,11.7,0.1
1991/2/14,7.7,13.6,1.5
1991/2/15,11.5,16.7,7.8
1991/2/16,13.9,17.1,8.9
1991/2/17,8.3,10.8,5.2
1991/2/18,5.5,8.3,2.3
1991/2/19,7.6,10.8,2.2
1991/2/20,5.2,7.8,-1.1
1991/2/21,6.9,9.5,5.0
1991/2/22,6.3,8.9,3.9
1991/2/23,5.8,7.8,4.1
1991/2/24,4.5,8.0,2.7
1991/2/25,4.1,9.0,-1.2
1991/2/26,3.3,11.3,-3.7
1991/2/27,6.9,13.4,-2.2
1991/2/28,14.1,15.9,11.6
1991/3/1,6.0,13.7,2.6
1991/3/2,6.4,10.5,3.7
1991/3/3,6.4,12.2,-0.6
1991/3/4,8.0,13.9,-2.1
1991/3/5,11.9,16.0,5.5
1991/3/6,11.0,15.6,5.3
1991/3/7,11.1,17.4,4.0
1991/3/8,7.4,9.4,6.0
1991/3/9,9.2,16.0,5.0
1991/3/10,10.6,15.2,6.1
1991/3/11,7.9,12.5,5.6
1991/3/12,8.2,11.6,5.6
1991/3/13,9.4,14.5,5.9
1991/3/14,5.6,8.4,2.6
1991/3/15,5.7,9.7,-2.0
1991/3/16,8.2,11.7,4.7
1991/3/17,7.5,13.6,3.0
1991/3/18,9.2,13.6,5.6
1991/3/19,12.1,17.3,4.5
1991/3/20,17.7,20.6,15.1
1991/3/21,11.0,17.3,8.5
1991/3/22,8.7,12.4,6.4
1991/3/23,11.1,14.1,8.4
1991/3/24,13.0,17.5,6.6
1991/3/25,14.3,19.3,11.1
1991/3/26,14.2,19.5,11.0
1991/3/27,10.3,13.1,8.1
1991/3/28,10.1,11.8,8.7
1991/3/29,9.5,13.2,5.5
1991/3/30,12.5,17.9,5.4
1991/3/31,11.7,13.5,10.7
1991/4/1,8.2,12.6,6.6
1991/4/2,7.4,10.4,4.1
1991/4/3,7.6,14.1,0.7
1991/4/4,10.5,16.4,3.4
1991/4/5,13.3,17.3,5.2
1991/4/6,15.4,19.9,10.3
1991/4/7,15.4,16.6,14.6
1991/4/8,13.6,16.2,12.2
1991/4/9,15.8,20.2,12.9
1991/4/10,16.8,20.2,12.8
1991/4/11,16.4,19.2,13.7
1991/4/12,16.8,23.0,11.3
1991/4/13,15.9,19.4,13.1
1991/4/14,17.2,20.6,14.4
1991/4/15,16.8,21.6,12.3
1991/4/16,16.3,21.2,12.2
1991/4/17,17.2,22.6,10.3
1991/4/18,19.1,21.1,15.6
1991/4/19,13.8,17.4,9.2
1991/4/20,13.6,19.4,8.5
1991/4/21,14.5,20.5,9.8
1991/4/22,14.8,19.7,10.5
1991/4/23,15.3,20.3,8.6
1991/4/24,16.3,20.3,13.0
1991/4/25,15.4,16.6,14.3
1991/4/26,17.5,22.6,14.1
1991/4/27,16.9,21.4,14.0
1991/4/28,16.2,21.4,10.7
1991/4/29,16.0,20.9,12.1
1991/4/30,17.8,22.8,13.6
1991/5/1,17.1,19.5,15.0
