ダウンロードした時刻：2017/07/24 15:43:24

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,1.6,4.8,0.3
1985/1/2,1.9,5.8,0.3
1985/1/3,2.3,4.7,0.5
1985/1/4,0.8,1.7,0.3
1985/1/5,1.0,3.5,0.2
1985/1/6,0.5,1.7,0.1
1985/1/7,0.5,1.2,0.1
1985/1/8,0.6,3.5,-0.8
1985/1/9,1.4,8.1,-2.5
1985/1/10,2.6,8.2,-1.4
1985/1/11,2.4,5.8,0.7
1985/1/12,2.5,9.8,-0.4
1985/1/13,0.6,3.5,-2.6
1985/1/14,-3.1,-0.4,-3.9
1985/1/15,0.0,3.5,-3.7
1985/1/16,2.1,5.1,0.0
1985/1/17,0.6,3.2,-0.9
1985/1/18,0.2,3.5,-1.7
1985/1/19,1.9,6.4,-1.6
1985/1/20,3.5,6.3,0.6
1985/1/21,2.5,4.0,-0.5
1985/1/22,1.9,7.8,-2.5
1985/1/23,2.4,4.1,0.7
1985/1/24,1.2,2.9,0.4
1985/1/25,0.5,1.3,-0.4
1985/1/26,0.6,2.1,-0.5
1985/1/27,2.1,7.1,-1.1
1985/1/28,2.0,5.2,-0.7
1985/1/29,-1.6,2.9,-5.1
1985/1/30,-1.8,0.5,-4.8
1985/1/31,-0.4,4.3,-6.8
1985/2/1,3.3,7.6,-2.4
1985/2/2,2.4,5.8,-1.4
1985/2/3,3.2,9.6,-1.5
1985/2/4,3.2,9.1,0.3
1985/2/5,2.8,6.5,0.2
1985/2/6,2.0,5.7,-0.5
1985/2/7,4.1,11.3,0.4
1985/2/8,3.7,8.2,0.7
1985/2/9,7.5,14.0,2.5
1985/2/10,4.9,9.2,3.0
1985/2/11,4.3,8.7,1.5
1985/2/12,5.1,12.0,0.4
1985/2/13,3.2,7.1,0.7
1985/2/14,0.9,2.5,-1.0
1985/2/15,1.5,4.8,-1.2
1985/2/16,3.0,6.4,0.6
1985/2/17,4.1,5.5,2.9
1985/2/18,4.1,7.6,1.6
1985/2/19,4.2,6.3,2.3
1985/2/20,6.0,11.3,2.9
1985/2/21,0.4,5.2,-3.0
1985/2/22,-1.2,2.1,-2.9
1985/2/23,0.2,5.0,-2.3
1985/2/24,0.7,4.3,-2.3
1985/2/25,1.4,5.2,-0.9
1985/2/26,1.2,4.5,-1.1
1985/2/27,2.6,5.6,0.0
1985/2/28,1.7,2.8,0.5
1985/3/1,4.1,7.5,1.9
1985/3/2,3.7,5.6,2.1
1985/3/3,4.6,7.3,2.3
1985/3/4,4.5,11.5,-0.5
1985/3/5,4.8,11.0,1.1
1985/3/6,5.1,10.4,1.4
1985/3/7,4.6,10.2,-0.1
1985/3/8,10.9,17.5,3.2
1985/3/9,7.4,12.5,5.6
1985/3/10,4.8,6.7,3.0
1985/3/11,2.4,4.5,0.7
1985/3/12,3.7,8.1,0.7
1985/3/13,3.4,9.1,-0.8
1985/3/14,6.2,10.5,2.6
1985/3/15,5.1,6.8,3.3
1985/3/16,8.2,15.7,-0.9
1985/3/17,9.1,10.5,7.7
1985/3/18,9.0,10.9,7.1
1985/3/19,6.6,7.9,5.7
1985/3/20,7.8,12.2,5.1
1985/3/21,7.9,12.6,4.9
1985/3/22,6.1,11.5,1.7
1985/3/23,4.5,11.1,-0.5
1985/3/24,5.9,14.0,-0.5
1985/3/25,12.4,18.2,2.2
1985/3/26,10.4,16.3,6.8
1985/3/27,8.5,11.0,6.4
1985/3/28,10.0,15.0,6.1
1985/3/29,7.8,14.6,4.1
1985/3/30,5.6,9.8,2.9
1985/3/31,3.8,9.3,0.5
1985/4/1,5.8,12.5,1.5
1985/4/2,8.9,17.9,-0.4
1985/4/3,13.4,17.1,6.0
1985/4/4,12.9,15.2,10.4
1985/4/5,10.0,15.2,5.7
1985/4/6,8.9,17.4,1.2
1985/4/7,12.4,17.4,8.2
1985/4/8,13.5,21.1,7.2
1985/4/9,12.4,23.2,5.2
1985/4/10,15.8,27.1,3.9
1985/4/11,12.7,16.7,10.1
1985/4/12,10.9,12.0,9.8
1985/4/13,11.7,13.4,10.2
1985/4/14,13.2,20.1,9.2
1985/4/15,11.1,13.5,6.3
1985/4/16,8.8,14.9,4.8
1985/4/17,10.5,18.6,3.5
1985/4/18,11.3,16.5,5.9
1985/4/19,14.3,24.0,3.0
1985/4/20,13.7,19.1,8.3
1985/4/21,11.9,20.8,5.8
1985/4/22,14.5,24.1,7.6
1985/4/23,15.2,22.1,11.8
1985/4/24,12.0,16.0,7.0
1985/4/25,14.1,25.3,4.2
1985/4/26,16.9,22.5,7.8
1985/4/27,13.6,19.8,8.0
1985/4/28,10.6,19.1,4.2
1985/4/29,12.9,22.7,4.3
1985/4/30,16.2,28.6,6.7
1985/5/1,17.7,27.0,9.4
