ダウンロードした時刻：2017/07/24 15:47:57

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,17.8,20.7,15.3
1991/1/2,13.8,17.9,10.6
1991/1/3,10.7,12.7,9.7
1991/1/4,10.9,13.0,9.8
1991/1/5,9.0,10.8,7.9
1991/1/6,9.1,11.1,7.6
1991/1/7,10.9,14.4,7.5
1991/1/8,10.2,15.2,8.3
1991/1/9,8.8,11.1,7.1
1991/1/10,11.8,14.5,8.7
1991/1/11,11.3,12.4,10.3
1991/1/12,11.1,13.4,9.0
1991/1/13,9.4,11.2,7.8
1991/1/14,8.8,10.3,7.6
1991/1/15,8.9,10.8,5.6
1991/1/16,10.4,15.2,4.9
1991/1/17,12.8,15.8,9.4
1991/1/18,9.2,13.3,4.4
1991/1/19,11.6,13.5,7.5
1991/1/20,14.5,16.7,13.0
1991/1/21,18.1,21.8,16.7
1991/1/22,15.8,18.2,13.0
1991/1/23,12.5,14.6,10.7
1991/1/24,14.2,16.5,10.9
1991/1/25,12.8,15.2,11.5
1991/1/26,10.4,12.0,9.3
1991/1/27,10.7,13.2,9.3
1991/1/28,10.4,12.9,6.8
1991/1/29,10.6,12.4,8.9
1991/1/30,11.6,14.4,9.1
1991/1/31,10.7,11.7,9.6
1991/2/1,11.3,13.8,10.0
1991/2/2,10.8,13.2,9.8
1991/2/3,11.5,14.6,9.1
1991/2/4,11.7,13.9,10.3
1991/2/5,10.1,12.5,8.2
1991/2/6,10.7,12.1,8.9
1991/2/7,12.9,16.9,10.3
1991/2/8,13.5,16.6,11.1
1991/2/9,14.8,19.1,8.3
1991/2/10,17.9,21.0,16.1
1991/2/11,15.0,17.6,12.1
1991/2/12,12.3,15.5,9.6
1991/2/13,12.4,14.4,9.4
1991/2/14,15.8,17.6,13.0
1991/2/15,16.1,18.7,13.1
1991/2/16,11.4,13.5,9.5
1991/2/17,9.5,12.7,6.7
1991/2/18,10.7,14.1,7.8
1991/2/19,9.7,11.8,6.7
1991/2/20,7.6,10.6,6.6
1991/2/21,7.8,11.2,6.0
1991/2/22,8.6,12.8,4.3
1991/2/23,5.6,8.7,3.1
1991/2/24,6.6,9.1,5.1
1991/2/25,6.7,9.9,4.0
1991/2/26,8.3,11.9,5.3
1991/2/27,12.2,17.1,5.6
1991/2/28,16.9,18.3,15.3
1991/3/1,12.7,15.4,10.8
1991/3/2,12.3,13.5,11.3
1991/3/3,12.4,15.5,9.2
1991/3/4,15.0,17.3,10.3
1991/3/5,17.0,19.6,15.2
1991/3/6,16.6,20.1,14.4
1991/3/7,16.3,20.0,11.9
1991/3/8,20.0,23.6,16.9
1991/3/9,15.4,17.5,13.4
1991/3/10,16.3,19.6,11.7
1991/3/11,19.0,22.6,15.9
1991/3/12,14.2,16.2,12.6
1991/3/13,14.8,17.2,12.9
1991/3/14,14.2,16.7,11.0
1991/3/15,12.7,15.2,9.9
1991/3/16,13.5,16.1,10.8
1991/3/17,12.8,16.0,10.5
1991/3/18,13.7,18.2,9.6
1991/3/19,15.7,20.8,10.3
1991/3/20,18.4,22.5,13.4
1991/3/21,18.1,21.1,16.4
1991/3/22,18.6,21.5,15.5
1991/3/23,17.2,19.5,15.9
1991/3/24,17.5,21.5,14.4
1991/3/25,16.7,20.0,12.6
1991/3/26,19.2,22.5,16.2
1991/3/27,19.5,22.4,17.2
1991/3/28,17.6,19.9,15.7
1991/3/29,17.1,19.1,15.7
1991/3/30,17.2,19.3,14.3
1991/3/31,14.3,15.7,12.9
1991/4/1,13.2,16.3,11.7
1991/4/2,12.4,13.4,10.4
1991/4/3,14.5,17.7,10.2
1991/4/4,15.9,18.6,11.5
1991/4/5,18.3,19.6,17.1
1991/4/6,21.1,25.2,18.9
1991/4/7,21.0,25.0,19.1
1991/4/8,19.6,22.2,17.8
1991/4/9,19.0,21.4,17.4
1991/4/10,19.6,21.0,17.3
1991/4/11,21.0,24.7,19.0
1991/4/12,20.8,21.9,19.4
1991/4/13,20.8,21.9,19.1
1991/4/14,18.9,20.7,17.7
1991/4/15,19.4,23.7,15.9
1991/4/16,17.3,18.8,15.9
1991/4/17,21.6,24.7,18.8
1991/4/18,21.6,24.6,18.1
1991/4/19,17.0,18.7,15.5
1991/4/20,19.0,22.2,16.2
1991/4/21,18.1,21.6,14.9
1991/4/22,19.1,22.5,13.5
1991/4/23,18.7,20.7,16.9
1991/4/24,18.9,19.7,17.6
1991/4/25,20.7,23.9,17.9
1991/4/26,18.8,21.7,16.4
1991/4/27,18.4,19.8,17.1
1991/4/28,20.1,20.9,18.8
1991/4/29,19.4,20.9,17.4
1991/4/30,18.3,22.4,14.1
1991/5/1,17.9,21.9,16.6
