ダウンロードした時刻：2017/07/24 15:46:06

,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,10.9,14.0,7.4
1991/1/2,10.8,14.5,7.5
1991/1/3,6.9,10.1,4.4
1991/1/4,5.2,7.9,2.2
1991/1/5,4.1,5.2,2.5
1991/1/6,4.3,7.8,1.6
1991/1/7,6.4,10.8,2.7
1991/1/8,6.2,8.9,3.5
1991/1/9,5.7,9.3,2.7
1991/1/10,7.7,12.2,2.7
1991/1/11,8.4,11.2,6.5
1991/1/12,6.8,11.7,3.8
1991/1/13,4.8,7.6,3.0
1991/1/14,4.7,7.7,2.6
1991/1/15,4.9,8.4,1.3
1991/1/16,6.4,11.4,1.1
1991/1/17,6.9,14.2,2.0
1991/1/18,5.1,8.2,2.8
1991/1/19,5.9,10.8,2.2
1991/1/20,6.7,11.1,0.9
1991/1/21,8.7,10.1,7.3
1991/1/22,9.2,12.1,6.4
1991/1/23,5.3,7.9,2.4
1991/1/24,5.8,10.0,0.4
1991/1/25,8.1,10.9,5.3
1991/1/26,6.1,9.6,3.6
1991/1/27,6.2,10.6,2.5
1991/1/28,4.6,7.3,2.3
1991/1/29,4.5,8.9,1.8
1991/1/30,4.7,8.5,2.6
1991/1/31,5.5,10.2,1.7
1991/2/1,5.7,11.1,-0.3
1991/2/2,5.8,9.0,3.3
1991/2/3,5.1,9.5,2.3
1991/2/4,6.7,11.1,3.6
1991/2/5,6.0,9.1,3.7
1991/2/6,5.9,10.1,0.4
1991/2/7,7.7,12.0,4.3
1991/2/8,6.1,11.0,1.1
1991/2/9,5.6,9.1,1.1
1991/2/10,10.6,16.0,5.2
1991/2/11,11.1,15.1,7.6
1991/2/12,9.1,11.9,6.3
1991/2/13,6.1,8.0,3.3
1991/2/14,9.0,12.3,5.7
1991/2/15,10.6,12.5,8.6
1991/2/16,7.7,11.7,4.6
1991/2/17,4.8,7.6,3.1
1991/2/18,4.4,6.8,2.1
1991/2/19,4.9,7.3,1.6
1991/2/20,3.4,8.5,1.1
1991/2/21,3.0,8.9,0.3
1991/2/22,2.9,9.1,-1.0
1991/2/23,-0.2,2.5,-1.9
1991/2/24,1.1,4.6,-1.3
1991/2/25,2.6,7.4,-1.2
1991/2/26,4.3,9.5,0.0
1991/2/27,6.4,11.8,-0.5
1991/2/28,12.8,18.3,8.7
1991/3/1,5.1,8.7,2.0
1991/3/2,6.2,10.5,2.1
1991/3/3,7.5,13.6,2.8
1991/3/4,7.1,10.8,1.0
1991/3/5,10.9,14.1,8.1
1991/3/6,14.1,19.9,10.6
1991/3/7,10.1,13.6,6.2
1991/3/8,9.1,15.6,4.9
1991/3/9,13.0,16.5,10.2
1991/3/10,10.7,13.6,7.5
1991/3/11,9.9,14.0,8.1
1991/3/12,10.8,14.0,8.1
1991/3/13,10.4,15.4,6.4
1991/3/14,6.6,10.5,4.1
1991/3/15,5.2,8.6,2.1
1991/3/16,5.6,8.8,2.5
1991/3/17,9.4,13.5,5.9
1991/3/18,8.0,12.2,3.1
1991/3/19,11.6,19.4,4.1
1991/3/20,13.7,20.5,8.9
1991/3/21,9.4,14.4,6.1
1991/3/22,8.5,10.6,5.7
1991/3/23,14.4,19.8,10.3
1991/3/24,12.8,17.2,8.6
1991/3/25,11.4,14.1,8.4
1991/3/26,14.2,17.9,10.8
1991/3/27,15.5,17.7,12.7
1991/3/28,10.7,16.2,9.3
1991/3/29,10.5,13.8,8.4
1991/3/30,12.0,14.0,9.5
1991/3/31,10.4,12.1,9.0
1991/4/1,8.5,11.1,6.2
1991/4/2,7.4,12.0,3.2
1991/4/3,8.6,14.8,3.2
1991/4/4,10.9,15.9,3.2
1991/4/5,14.6,18.4,10.2
1991/4/6,14.4,17.1,13.6
1991/4/7,14.6,16.3,13.3
1991/4/8,16.5,18.9,13.6
1991/4/9,16.4,21.6,12.5
1991/4/10,16.4,22.8,9.5
1991/4/11,18.8,24.2,14.7
1991/4/12,19.8,25.7,15.8
1991/4/13,18.8,20.6,17.2
1991/4/14,17.1,22.2,13.8
1991/4/15,16.2,20.4,12.3
1991/4/16,18.3,22.9,13.9
1991/4/17,18.0,24.2,11.4
1991/4/18,18.6,24.2,11.8
1991/4/19,13.7,17.9,10.1
1991/4/20,14.1,18.7,10.6
1991/4/21,15.6,21.9,8.9
1991/4/22,16.0,21.4,10.1
1991/4/23,15.9,20.8,10.7
1991/4/24,14.0,16.8,12.4
1991/4/25,17.3,22.9,13.4
1991/4/26,16.0,20.3,12.8
1991/4/27,15.7,19.9,13.5
1991/4/28,18.0,23.6,11.3
1991/4/29,17.6,23.3,14.0
1991/4/30,15.6,20.8,11.8
1991/5/1,15.8,20.3,10.8
