ダウンロードした時刻：2017/07/24 15:42:42

,大島,大島,大島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/1/1,5.6,8.7,0.1
2008/1/2,4.1,10.2,-0.1
2008/1/3,7.7,10.8,1.8
2008/1/4,7.3,12.2,3.1
2008/1/5,7.1,12.1,2.9
2008/1/6,9.0,14.5,1.0
2008/1/7,9.1,12.8,5.5
2008/1/8,9.4,13.9,5.6
2008/1/9,8.9,13.8,5.2
2008/1/10,10.5,13.0,3.7
2008/1/11,12.5,15.0,5.2
2008/1/12,9.7,16.2,5.5
2008/1/13,5.6,7.1,4.4
2008/1/14,5.1,6.9,3.9
2008/1/15,5.5,8.0,3.0
2008/1/16,7.7,11.5,4.0
2008/1/17,5.1,8.5,2.2
2008/1/18,4.2,6.9,2.2
2008/1/19,4.8,7.9,0.9
2008/1/20,5.0,8.2,0.5
2008/1/21,3.8,6.3,2.1
2008/1/22,4.5,7.0,2.1
2008/1/23,5.1,6.3,3.6
2008/1/24,7.6,11.6,2.0
2008/1/25,3.9,7.8,0.3
2008/1/26,5.1,7.8,3.6
2008/1/27,4.4,7.7,0.3
2008/1/28,5.7,8.7,2.3
2008/1/29,6.2,7.7,5.5
2008/1/30,8.6,13.3,3.0
2008/1/31,7.0,10.2,3.2
2008/2/1,5.2,9.8,1.0
2008/2/2,6.1,8.8,3.2
2008/2/3,3.5,5.7,2.1
2008/2/4,5.9,11.4,-0.4
2008/2/5,6.3,11.6,2.0
2008/2/6,5.3,7.0,4.2
2008/2/7,5.4,9.4,1.7
2008/2/8,5.7,10.4,0.4
2008/2/9,5.0,8.4,2.6
2008/2/10,7.8,11.7,3.7
2008/2/11,6.6,11.6,3.2
2008/2/12,7.2,10.0,3.4
2008/2/13,3.4,7.9,0.6
2008/2/14,4.3,9.3,-0.5
2008/2/15,6.5,11.1,1.2
2008/2/16,6.1,10.3,3.4
2008/2/17,3.0,6.5,-0.8
2008/2/18,4.0,9.5,-2.0
2008/2/19,4.1,9.1,-0.7
2008/2/20,7.1,11.9,-0.6
2008/2/21,7.3,13.3,1.8
2008/2/22,11.2,15.4,3.8
2008/2/23,10.2,14.0,3.7
2008/2/24,5.0,10.1,1.7
2008/2/25,4.7,8.2,1.0
2008/2/26,10.4,14.2,6.0
2008/2/27,6.8,11.5,1.7
2008/2/28,3.7,11.0,-1.6
2008/2/29,8.2,14.0,0.3
2008/3/1,10.3,13.9,6.6
2008/3/2,8.1,10.8,5.2
2008/3/3,10.4,15.4,5.5
2008/3/4,8.0,11.2,5.0
2008/3/5,5.6,9.8,1.0
2008/3/6,6.2,10.6,2.0
2008/3/7,8.7,13.4,5.3
2008/3/8,8.4,13.1,4.9
2008/3/9,11.5,15.3,4.6
2008/3/10,11.7,14.2,9.1
2008/3/11,13.1,17.4,8.1
2008/3/12,10.5,13.2,8.0
2008/3/13,10.9,14.0,7.0
2008/3/14,14.9,19.5,9.0
2008/3/15,13.5,17.6,7.6
2008/3/16,13.5,18.6,6.7
2008/3/17,13.5,16.6,11.6
2008/3/18,12.5,16.0,9.9
2008/3/19,12.0,13.4,11.2
2008/3/20,9.0,11.3,7.4
2008/3/21,11.1,14.4,8.6
2008/3/22,10.8,18.0,5.8
2008/3/23,13.1,18.8,5.6
2008/3/24,12.3,16.1,10.7
2008/3/25,12.6,17.9,7.1
2008/3/26,14.4,19.6,9.4
2008/3/27,11.8,16.0,8.7
2008/3/28,12.9,17.9,9.3
2008/3/29,11.0,16.3,5.0
2008/3/30,9.9,11.4,8.9
2008/3/31,7.3,9.2,4.2
2008/4/1,10.7,17.3,1.8
2008/4/2,12.2,17.6,4.8
2008/4/3,14.5,18.2,8.7
2008/4/4,14.2,18.2,11.3
2008/4/5,13.9,18.6,11.1
2008/4/6,13.7,18.5,8.3
2008/4/7,14.2,17.2,9.5
2008/4/8,12.1,14.4,10.8
2008/4/9,13.2,16.5,10.8
2008/4/10,10.3,11.2,9.6
2008/4/11,14.1,19.8,10.3
2008/4/12,14.8,18.1,12.5
2008/4/13,11.5,14.5,9.9
2008/4/14,11.4,16.9,7.9
2008/4/15,14.5,19.9,7.7
2008/4/16,16.8,20.6,12.1
2008/4/17,16.4,18.7,14.6
2008/4/18,14.4,15.6,13.1
2008/4/19,15.4,19.5,13.3
2008/4/20,15.9,19.7,13.2
2008/4/21,16.3,20.7,13.0
2008/4/22,16.6,21.8,12.7
2008/4/23,17.9,22.1,13.1
2008/4/24,18.0,19.8,15.5
2008/4/25,15.5,18.7,14.1
2008/4/26,14.2,17.9,11.7
2008/4/27,15.7,21.0,11.2
2008/4/28,15.6,20.2,11.7
2008/4/29,16.9,21.3,11.5
2008/4/30,19.2,24.1,16.0
2008/5/1,19.4,23.4,16.6
