ダウンロードした時刻：2019/10/10 16:06:51

,浜田,浜田,浜田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,4.9,7.3,0.6
1987/12/2,5.3,6.8,2.1
1987/12/3,7.1,9.5,4.7
1987/12/4,7.1,9.0,4.8
1987/12/5,5.5,7.3,4.7
1987/12/6,4.6,6.2,3.6
1987/12/7,5.9,11.7,2.6
1987/12/8,8.5,14.4,2.7
1987/12/9,9.4,13.8,6.6
1987/12/10,11.2,16.3,5.2
1987/12/11,10.0,13.4,6.0
1987/12/12,7.2,9.6,5.5
1987/12/13,6.4,8.9,4.5
1987/12/14,8.6,11.0,6.0
1987/12/15,8.8,11.6,4.7
1987/12/16,9.2,11.0,7.1
1987/12/17,8.5,11.0,4.8
1987/12/18,9.3,12.4,4.0
1987/12/19,8.9,13.4,4.4
1987/12/20,8.6,11.3,4.2
1987/12/21,8.3,10.2,6.0
1987/12/22,10.8,13.8,6.1
1987/12/23,9.1,13.3,3.5
1987/12/24,10.1,14.6,3.2
1987/12/25,14.2,19.1,3.7
1987/12/26,15.7,17.9,13.0
1987/12/27,15.3,17.5,13.3
1987/12/28,16.8,18.9,14.5
1987/12/29,17.3,19.7,15.7
1987/12/30,9.5,17.3,5.7
1987/12/31,6.4,11.4,1.9
1988/1/1,10.1,14.9,1.1
1988/1/2,10.3,13.5,7.8
1988/1/3,9.1,14.2,5.6
1988/1/4,9.0,11.1,5.3
1988/1/5,5.8,9.7,3.4
1988/1/6,6.6,11.3,2.9
1988/1/7,8.8,13.1,3.2
1988/1/8,10.7,11.9,8.6
1988/1/9,5.0,11.2,3.2
1988/1/10,3.1,4.1,2.0
1988/1/11,4.3,7.2,2.4
1988/1/12,5.9,9.3,0.8
1988/1/13,6.8,12.3,1.6
1988/1/14,8.4,14.7,0.6
1988/1/15,9.5,11.8,7.5
1988/1/16,8.8,11.9,5.3
1988/1/17,6.5,8.2,5.0
1988/1/18,6.1,7.6,4.9
1988/1/19,6.4,10.6,2.6
1988/1/20,8.7,13.7,3.2
1988/1/21,11.5,17.2,3.0
1988/1/22,12.7,14.2,10.9
1988/1/23,2.1,11.4,-0.5
1988/1/24,2.1,6.0,-0.2
1988/1/25,5.5,6.7,4.2
1988/1/26,5.4,7.2,4.6
1988/1/27,5.7,8.0,3.6
1988/1/28,7.8,11.4,3.5
1988/1/29,9.0,12.0,1.7
1988/1/30,6.6,8.6,5.2
1988/1/31,4.4,6.9,1.6
1988/2/1,6.6,9.5,2.0
1988/2/2,5.1,9.8,-1.1
1988/2/3,-0.7,2.5,-3.2
1988/2/4,7.0,11.2,0.9
1988/2/5,14.0,18.9,9.2
1988/2/6,5.8,9.5,0.7
1988/2/7,1.1,3.1,-0.7
1988/2/8,3.5,4.9,1.7
1988/2/9,3.8,5.1,3.0
1988/2/10,3.8,5.9,1.2
1988/2/11,4.9,9.3,2.5
1988/2/12,5.7,9.4,2.6
1988/2/13,5.2,10.2,1.2
1988/2/14,5.8,10.1,0.4
1988/2/15,3.7,6.5,1.7
1988/2/16,3.3,5.2,0.6
1988/2/17,2.2,5.6,0.3
1988/2/18,2.7,3.7,1.0
1988/2/19,5.0,7.9,2.0
1988/2/20,6.4,9.1,3.1
1988/2/21,5.1,10.0,1.4
1988/2/22,4.8,9.7,-1.7
1988/2/23,7.3,9.0,5.9
1988/2/24,5.8,10.5,2.0
1988/2/25,6.2,11.5,0.0
1988/2/26,7.1,10.6,3.8
1988/2/27,5.9,10.1,3.4
1988/2/28,6.4,10.4,1.4
1988/2/29,6.1,9.8,2.3
1988/3/1,7.9,10.7,6.1
1988/3/2,8.1,11.7,6.6
1988/3/3,3.1,6.8,-0.2
1988/3/4,3.5,6.5,-0.3
1988/3/5,4.7,7.9,2.2
1988/3/6,6.6,8.4,3.5
1988/3/7,3.1,7.1,0.6
1988/3/8,3.9,6.1,1.0
1988/3/9,6.2,9.8,3.8
1988/3/10,9.3,13.5,4.1
1988/3/11,11.6,17.8,1.7
1988/3/12,11.4,15.5,7.0
1988/3/13,12.0,16.4,6.8
1988/3/14,11.6,16.0,9.2
1988/3/15,7.2,11.6,4.2
1988/3/16,5.0,7.3,2.1
1988/3/17,4.6,6.1,2.1
1988/3/18,8.6,12.3,4.7
1988/3/19,9.9,12.8,7.3
1988/3/20,8.7,13.9,3.5
1988/3/21,10.2,12.7,8.0
1988/3/22,9.8,12.0,7.8
1988/3/23,8.8,12.9,3.5
1988/3/24,7.5,12.3,2.2
1988/3/25,8.1,9.6,6.7
1988/3/26,7.9,10.9,6.2
1988/3/27,6.7,10.6,3.2
1988/3/28,8.5,14.1,1.7
1988/3/29,9.4,13.8,7.2
1988/3/30,8.5,13.3,4.3
1988/3/31,7.4,13.0,2.1
