ダウンロードした時刻：2017/07/24 15:42:52

,八丈島,八丈島,八丈島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,11.1,14.4,8.3
1996/1/2,10.0,13.4,6.8
1996/1/3,12.9,16.4,9.8
1996/1/4,8.3,13.5,7.3
1996/1/5,10.0,11.7,8.0
1996/1/6,10.6,12.3,7.3
1996/1/7,11.2,15.6,6.6
1996/1/8,14.2,17.5,8.7
1996/1/9,6.1,9.0,4.7
1996/1/10,7.1,9.0,6.2
1996/1/11,8.0,10.9,4.8
1996/1/12,8.9,13.0,5.6
1996/1/13,9.1,12.9,4.3
1996/1/14,11.7,15.7,6.0
1996/1/15,17.3,18.6,15.2
1996/1/16,15.4,18.2,11.9
1996/1/17,10.6,14.1,5.9
1996/1/18,9.6,11.7,8.0
1996/1/19,11.1,13.4,8.7
1996/1/20,10.3,12.4,7.9
1996/1/21,10.6,13.6,7.5
1996/1/22,10.7,13.5,7.1
1996/1/23,10.2,11.5,9.2
1996/1/24,8.0,10.3,6.0
1996/1/25,8.1,10.6,5.5
1996/1/26,7.1,9.6,6.1
1996/1/27,6.8,9.8,5.1
1996/1/28,9.0,11.9,6.7
1996/1/29,10.1,12.6,8.6
1996/1/30,8.4,11.1,5.5
1996/1/31,6.1,8.1,4.3
1996/2/1,6.9,8.3,5.3
1996/2/2,4.2,5.4,1.4
1996/2/3,5.5,8.5,2.6
1996/2/4,7.7,10.7,4.9
1996/2/5,10.1,13.3,6.5
1996/2/6,5.3,9.8,4.1
1996/2/7,6.7,9.4,3.8
1996/2/8,9.8,13.3,6.1
1996/2/9,10.5,14.6,5.5
1996/2/10,5.5,8.2,1.7
1996/2/11,6.9,11.7,4.0
1996/2/12,12.5,14.6,10.9
1996/2/13,14.1,16.6,12.4
1996/2/14,16.0,18.3,12.6
1996/2/15,15.3,18.2,13.2
1996/2/16,12.9,16.5,9.9
1996/2/17,10.4,11.9,8.9
1996/2/18,9.2,12.9,7.4
1996/2/19,7.9,11.2,5.2
1996/2/20,7.6,10.9,4.8
1996/2/21,5.8,7.3,4.5
1996/2/22,5.4,6.5,3.7
1996/2/23,7.3,10.5,4.1
1996/2/24,8.6,11.8,6.7
1996/2/25,11.8,15.7,8.1
1996/2/26,11.7,17.1,6.8
1996/2/27,10.2,14.1,7.1
1996/2/28,9.1,12.9,6.8
1996/2/29,12.1,15.6,7.6
1996/3/1,13.4,15.8,9.3
1996/3/2,8.5,11.1,7.1
1996/3/3,8.1,11.4,6.0
1996/3/4,9.3,13.1,6.8
1996/3/5,7.0,9.5,4.9
1996/3/6,7.1,11.1,4.5
1996/3/7,10.8,14.1,6.7
1996/3/8,16.0,18.1,10.5
1996/3/9,9.7,11.8,8.6
1996/3/10,8.9,12.2,6.9
1996/3/11,9.7,14.4,6.6
1996/3/12,7.2,10.7,4.5
1996/3/13,9.7,14.2,4.6
1996/3/14,12.4,16.5,8.8
1996/3/15,15.4,19.6,10.2
1996/3/16,13.2,16.8,10.7
1996/3/17,17.4,19.8,14.5
1996/3/18,13.2,16.2,9.1
1996/3/19,10.0,13.4,7.5
1996/3/20,12.4,14.6,9.1
1996/3/21,15.6,18.2,13.5
1996/3/22,17.0,19.5,12.1
1996/3/23,13.3,18.4,11.1
1996/3/24,12.0,15.5,10.0
1996/3/25,15.3,17.6,11.4
1996/3/26,14.1,18.3,10.3
1996/3/27,14.1,14.9,13.0
1996/3/28,15.4,18.5,13.5
1996/3/29,13.6,14.9,12.6
1996/3/30,16.5,18.6,14.2
1996/3/31,17.3,19.6,15.5
1996/4/1,14.2,17.9,10.3
1996/4/2,11.3,15.4,9.0
1996/4/3,9.4,11.7,7.6
1996/4/4,10.7,13.7,8.6
1996/4/5,11.0,14.1,8.6
1996/4/6,13.7,17.0,9.7
1996/4/7,15.3,17.2,13.0
1996/4/8,14.1,17.3,11.8
1996/4/9,13.8,17.1,11.9
1996/4/10,12.9,14.5,11.6
1996/4/11,12.0,15.0,9.1
1996/4/12,8.7,11.4,5.6
1996/4/13,9.4,13.5,6.7
1996/4/14,12.4,16.4,6.0
1996/4/15,12.8,15.1,10.1
1996/4/16,16.5,18.2,14.3
1996/4/17,16.8,19.7,13.9
1996/4/18,17.9,20.9,14.2
1996/4/19,12.7,15.9,9.5
1996/4/20,12.4,14.6,10.6
1996/4/21,12.1,16.3,8.2
1996/4/22,12.1,14.8,9.1
1996/4/23,14.2,18.7,10.7
1996/4/24,15.1,18.4,9.9
1996/4/25,17.5,20.6,14.5
1996/4/26,18.0,21.3,14.2
1996/4/27,18.6,23.0,13.1
1996/4/28,18.6,22.3,13.7
1996/4/29,18.8,21.8,14.8
1996/4/30,18.7,21.2,16.2
1996/5/1,19.3,21.3,18.1
