ダウンロードした時刻：2017/07/24 15:42:57

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/1/1,7.5,15.0,-1.4
1988/1/2,9.5,10.5,8.2
1988/1/3,7.9,12.6,4.5
1988/1/4,6.8,9.3,3.1
1988/1/5,5.5,7.2,4.5
1988/1/6,4.6,8.7,-0.1
1988/1/7,4.9,8.6,-1.0
1988/1/8,8.4,12.0,5.9
1988/1/9,5.0,8.6,2.4
1988/1/10,2.4,5.4,0.7
1988/1/11,3.8,7.9,1.1
1988/1/12,3.8,10.5,-1.6
1988/1/13,5.6,12.2,0.2
1988/1/14,6.6,14.4,-1.1
1988/1/15,8.0,9.3,6.3
1988/1/16,8.4,11.8,5.9
1988/1/17,4.9,9.1,3.1
1988/1/18,4.9,6.7,2.8
1988/1/19,4.3,9.3,0.5
1988/1/20,6.2,13.9,0.5
1988/1/21,8.0,12.4,0.1
1988/1/22,10.2,11.3,8.8
1988/1/23,2.2,10.9,-1.1
1988/1/24,1.5,3.9,-1.7
1988/1/25,4.3,7.1,2.3
1988/1/26,4.3,7.3,2.5
1988/1/27,4.3,9.1,0.5
1988/1/28,6.6,11.5,0.8
1988/1/29,5.9,11.9,-1.2
1988/1/30,4.8,9.1,-0.6
1988/1/31,4.1,8.6,1.1
1988/2/1,4.5,9.1,-0.6
1988/2/2,3.8,9.4,-2.4
1988/2/3,-1.0,0.7,-3.2
1988/2/4,4.2,8.7,-0.4
1988/2/5,10.8,16.1,3.0
1988/2/6,4.8,8.1,1.4
1988/2/7,0.6,2.9,-2.1
1988/2/8,2.1,4.4,0.4
1988/2/9,2.6,5.0,0.5
1988/2/10,1.5,4.8,-0.1
1988/2/11,2.6,6.6,0.4
1988/2/12,4.5,10.4,-0.6
1988/2/13,4.7,10.8,0.6
1988/2/14,3.7,10.6,-1.2
1988/2/15,2.0,4.2,0.6
1988/2/16,1.3,4.3,0.1
1988/2/17,1.1,4.1,-0.1
1988/2/18,0.9,3.0,0.0
1988/2/19,2.0,7.3,-0.6
1988/2/20,4.0,8.4,-0.6
1988/2/21,2.6,4.9,1.5
1988/2/22,4.2,8.3,-0.5
1988/2/23,5.3,7.1,3.6
1988/2/24,5.1,9.2,1.6
1988/2/25,4.9,10.2,-1.0
1988/2/26,6.2,9.5,4.0
1988/2/27,5.3,7.0,4.1
1988/2/28,4.8,11.0,0.2
1988/2/29,4.8,9.0,0.8
1988/3/1,6.2,7.8,4.6
1988/3/2,6.8,10.3,4.6
1988/3/3,2.4,6.0,-0.7
1988/3/4,2.3,6.9,-1.3
1988/3/5,3.9,8.8,0.5
1988/3/6,4.3,9.7,0.7
1988/3/7,1.9,4.7,0.4
1988/3/8,2.3,7.1,-0.9
1988/3/9,4.4,8.2,0.7
1988/3/10,7.4,14.2,2.2
1988/3/11,10.3,17.4,0.3
1988/3/12,9.9,13.8,5.1
1988/3/13,9.8,18.2,2.9
1988/3/14,10.1,18.3,5.8
1988/3/15,5.8,10.2,2.7
1988/3/16,4.0,6.1,2.2
1988/3/17,4.6,5.1,2.8
1988/3/18,7.7,13.4,4.1
1988/3/19,8.4,13.1,3.0
1988/3/20,7.8,10.3,6.0
1988/3/21,8.7,10.7,6.0
1988/3/22,9.5,11.9,8.0
1988/3/23,8.8,14.0,3.3
1988/3/24,7.0,12.8,1.8
1988/3/25,7.2,8.7,4.5
1988/3/26,6.9,9.3,3.5
1988/3/27,6.1,12.4,1.4
1988/3/28,7.5,15.7,-1.4
1988/3/29,9.1,12.9,7.5
1988/3/30,8.6,12.5,5.6
1988/3/31,7.9,13.5,3.7
1988/4/1,7.5,13.3,1.9
1988/4/2,9.4,15.2,5.3
1988/4/3,10.3,17.0,4.7
1988/4/4,10.5,15.5,6.8
1988/4/5,12.1,19.2,3.8
1988/4/6,9.7,13.0,8.3
1988/4/7,6.9,8.8,5.2
1988/4/8,5.9,8.8,2.8
1988/4/9,7.0,14.8,1.4
1988/4/10,9.3,17.0,1.5
1988/4/11,11.5,20.6,3.1
1988/4/12,14.4,18.7,8.7
1988/4/13,13.9,18.8,9.1
1988/4/14,11.6,15.5,7.3
1988/4/15,11.8,17.6,6.3
1988/4/16,12.8,22.2,4.3
1988/4/17,16.2,26.6,8.0
1988/4/18,14.0,17.9,10.9
1988/4/19,16.5,23.6,6.3
1988/4/20,12.5,18.7,10.7
1988/4/21,13.1,14.4,11.7
1988/4/22,11.8,16.6,7.7
1988/4/23,10.5,16.9,4.1
1988/4/24,11.6,17.4,5.4
1988/4/25,14.8,19.1,9.0
1988/4/26,16.2,20.7,12.2
1988/4/27,15.9,22.3,10.9
1988/4/28,16.5,24.8,8.8
1988/4/29,15.2,17.1,13.9
1988/4/30,18.7,26.3,12.2
1988/5/1,20.8,27.5,14.7
