ダウンロードした時刻：2017/07/24 15:37:51

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,1.4,4.9,-1.5
1984/1/2,1.2,4.6,-1.9
1984/1/3,-0.3,0.4,-1.9
1984/1/4,1.0,3.1,-0.3
1984/1/5,0.9,3.5,-1.7
1984/1/6,0.5,3.4,-3.5
1984/1/7,-1.4,1.2,-3.8
1984/1/8,-1.1,3.2,-6.7
1984/1/9,1.2,6.5,-3.4
1984/1/10,2.9,6.6,-1.0
1984/1/11,-0.4,2.3,-2.5
1984/1/12,-0.6,2.5,-3.2
1984/1/13,-0.4,4.0,-4.5
1984/1/14,0.6,4.0,-2.7
1984/1/15,2.3,8.3,-2.0
1984/1/16,-3.8,-1.4,-4.8
1984/1/17,-3.9,-1.4,-5.0
1984/1/18,-2.4,0.1,-4.8
1984/1/19,-2.2,0.2,-5.1
1984/1/20,-1.5,1.5,-4.6
1984/1/21,-1.2,2.4,-6.2
1984/1/22,-0.2,0.9,-2.0
1984/1/23,1.1,4.9,-1.4
1984/1/24,-1.4,2.1,-3.8
1984/1/25,-1.5,2.2,-6.2
1984/1/26,-2.2,0.7,-6.0
1984/1/27,-0.5,3.9,-6.2
1984/1/28,-0.1,3.0,-4.3
1984/1/29,-0.1,3.3,-2.4
1984/1/30,-0.7,2.1,-3.8
1984/1/31,-1.2,1.5,-3.4
1984/2/1,1.3,4.3,-1.6
1984/2/2,0.9,5.9,-4.0
1984/2/3,-2.0,1.6,-5.3
1984/2/4,-4.0,-2.2,-7.2
1984/2/5,-2.9,-0.1,-5.5
1984/2/6,-5.2,-3.0,-7.2
1984/2/7,-5.0,-2.0,-7.7
1984/2/8,-4.0,-0.2,-8.1
1984/2/9,-3.2,-0.6,-6.2
1984/2/10,-0.9,1.8,-3.7
1984/2/11,-0.2,3.0,-3.7
1984/2/12,0.3,2.9,-4.9
1984/2/13,1.1,4.7,-1.0
1984/2/14,0.3,3.5,-2.3
1984/2/15,-2.0,1.2,-4.9
1984/2/16,-3.0,-0.1,-6.5
1984/2/17,-2.6,0.0,-5.2
1984/2/18,-3.1,0.8,-6.6
1984/2/19,-1.1,1.7,-5.0
1984/2/20,1.2,4.9,-3.2
1984/2/21,1.6,5.8,-2.5
1984/2/22,0.9,3.3,-1.9
1984/2/23,-0.3,0.4,-2.1
1984/2/24,1.9,4.9,0.1
1984/2/25,1.2,3.4,-1.5
1984/2/26,0.6,2.1,-0.4
1984/2/27,2.1,5.9,-0.9
1984/2/28,-1.2,0.8,-3.3
1984/2/29,-2.6,-0.2,-4.6
1984/3/1,-1.3,1.7,-4.4
1984/3/2,0.9,5.1,-4.5
1984/3/3,1.8,5.3,-0.5
1984/3/4,0.0,4.3,-4.3
1984/3/5,0.1,3.5,-3.8
1984/3/6,0.5,4.7,-3.3
1984/3/7,0.0,4.6,-3.6
1984/3/8,0.9,4.6,-3.4
1984/3/9,1.2,5.5,-2.7
1984/3/10,0.3,1.9,-1.9
1984/3/11,0.3,2.9,-1.5
1984/3/12,-0.5,2.5,-2.3
1984/3/13,-0.3,3.3,-4.6
1984/3/14,0.5,4.0,-2.6
1984/3/15,1.8,6.2,-3.6
1984/3/16,0.9,3.5,-1.1
1984/3/17,3.7,8.4,0.5
1984/3/18,3.2,6.9,0.7
1984/3/19,2.6,7.2,0.0
1984/3/20,1.3,2.4,-0.2
1984/3/21,1.9,5.8,-0.3
1984/3/22,0.9,4.4,-1.4
1984/3/23,1.1,5.6,-3.5
1984/3/24,1.7,4.7,-2.9
1984/3/25,5.2,8.7,1.1
1984/3/26,2.0,6.1,-0.9
1984/3/27,2.5,7.5,-2.3
1984/3/28,2.6,7.2,-0.2
1984/3/29,4.5,9.8,-1.8
1984/3/30,3.3,6.0,1.4
1984/3/31,3.8,9.7,1.2
1984/4/1,2.4,5.8,-0.1
1984/4/2,2.5,8.0,-2.0
1984/4/3,3.6,6.7,-0.7
1984/4/4,7.5,14.4,0.9
1984/4/5,7.0,7.9,6.4
1984/4/6,7.8,11.5,4.0
1984/4/7,4.5,8.3,1.2
1984/4/8,3.5,7.6,-0.3
1984/4/9,3.7,6.3,1.2
1984/4/10,6.9,11.9,2.5
1984/4/11,8.2,11.9,6.0
1984/4/12,7.9,13.3,3.2
1984/4/13,7.0,12.3,1.6
1984/4/14,6.3,13.6,1.7
1984/4/15,5.4,9.3,0.2
1984/4/16,8.1,13.4,4.7
1984/4/17,6.5,8.1,5.7
1984/4/18,12.0,19.9,5.5
1984/4/19,2.6,9.2,0.5
1984/4/20,4.8,6.3,1.3
1984/4/21,5.5,6.8,4.0
1984/4/22,5.9,7.6,3.7
1984/4/23,9.1,15.0,4.6
1984/4/24,10.1,17.9,3.4
1984/4/25,11.7,17.8,4.1
1984/4/26,10.1,16.8,6.5
1984/4/27,11.3,16.5,6.1
1984/4/28,9.9,18.3,5.3
1984/4/29,6.3,7.8,4.3
1984/4/30,8.5,10.7,6.1
1984/5/1,9.9,12.2,8.4
