ダウンロードした時刻：2017/07/24 15:41:59

,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/1/1,3.7,7.3,1.1
2010/1/2,6.1,12.8,-0.3
2010/1/3,8.1,12.2,3.2
2010/1/4,6.8,11.1,2.4
2010/1/5,7.9,11.3,4.6
2010/1/6,5.6,11.7,0.1
2010/1/7,6.2,12.5,0.9
2010/1/8,6.0,12.2,-0.1
2010/1/9,5.9,11.6,0.1
2010/1/10,7.6,13.4,1.4
2010/1/11,7.3,11.8,3.1
2010/1/12,6.4,8.0,4.1
2010/1/13,4.0,6.4,1.2
2010/1/14,3.3,7.8,-0.4
2010/1/15,3.9,10.3,-2.6
2010/1/16,4.4,9.0,-1.5
2010/1/17,4.5,10.2,-0.8
2010/1/18,5.2,10.5,0.7
2010/1/19,6.6,13.6,0.2
2010/1/20,11.2,20.3,1.6
2010/1/21,14.9,18.3,7.9
2010/1/22,8.5,11.8,4.4
2010/1/23,6.6,11.0,1.8
2010/1/24,5.9,12.3,-0.3
2010/1/25,8.1,16.0,0.1
2010/1/26,7.6,11.8,1.6
2010/1/27,8.1,14.3,2.1
2010/1/28,10.0,12.3,7.8
2010/1/29,9.2,14.0,3.6
2010/1/30,6.7,12.9,0.5
2010/1/31,8.8,15.6,2.8
2010/2/1,7.2,11.8,5.1
2010/2/2,7.7,12.4,4.7
2010/2/3,6.1,12.3,1.3
2010/2/4,3.9,8.3,-0.7
2010/2/5,4.9,10.0,-1.8
2010/2/6,4.6,8.9,1.6
2010/2/7,5.1,11.5,-1.9
2010/2/8,7.1,13.4,0.1
2010/2/9,16.7,22.2,12.4
2010/2/10,13.2,18.8,9.1
2010/2/11,7.3,9.1,5.7
2010/2/12,5.2,7.2,4.3
2010/2/13,5.0,8.0,3.1
2010/2/14,5.8,10.3,1.1
2010/2/15,7.7,9.4,4.5
2010/2/16,5.9,8.6,3.9
2010/2/17,4.4,6.3,2.2
2010/2/18,5.0,9.8,1.9
2010/2/19,6.3,12.4,0.9
2010/2/20,5.9,11.7,-0.1
2010/2/21,7.2,12.7,1.0
2010/2/22,9.1,14.5,3.5
2010/2/23,10.7,17.3,4.6
2010/2/24,12.0,17.7,5.6
2010/2/25,13.2,16.9,7.2
2010/2/26,15.2,18.3,13.0
2010/2/27,15.3,20.8,11.2
2010/2/28,10.6,13.4,8.3
2010/3/1,13.5,18.2,8.0
2010/3/2,10.3,16.5,6.6
2010/3/3,10.3,13.7,7.2
2010/3/4,9.6,11.4,8.2
2010/3/5,14.6,20.0,9.0
2010/3/6,13.7,15.7,11.1
2010/3/7,8.4,11.1,6.1
2010/3/8,7.8,9.8,6.1
2010/3/9,6.6,7.8,5.0
2010/3/10,9.6,14.8,6.9
2010/3/11,9.1,13.7,5.2
2010/3/12,10.3,15.7,3.2
2010/3/13,16.8,21.8,10.3
2010/3/14,12.9,16.4,8.9
2010/3/15,14.3,19.5,8.4
2010/3/16,17.5,24.5,9.9
2010/3/17,10.0,14.2,5.5
2010/3/18,9.9,17.9,4.3
2010/3/19,10.2,16.5,5.5
2010/3/20,14.7,20.8,5.9
2010/3/21,14.8,19.8,8.2
2010/3/22,9.5,12.8,3.4
2010/3/23,12.1,17.3,8.6
2010/3/24,9.3,11.3,6.4
2010/3/25,8.4,9.5,6.8
2010/3/26,10.8,16.3,7.2
2010/3/27,9.2,12.9,6.7
2010/3/28,8.3,12.9,5.7
2010/3/29,6.2,12.0,2.9
2010/3/30,5.7,10.1,0.2
2010/3/31,10.9,16.2,2.4
2010/4/1,14.0,18.2,9.7
2010/4/2,16.8,19.9,13.1
2010/4/3,13.9,20.0,11.0
2010/4/4,11.8,15.5,6.9
2010/4/5,12.8,14.9,10.8
2010/4/6,14.8,18.9,10.6
2010/4/7,14.5,19.9,8.8
2010/4/8,11.0,14.3,7.8
2010/4/9,12.4,15.6,8.9
2010/4/10,16.2,22.1,11.0
2010/4/11,17.1,22.6,12.1
2010/4/12,11.6,16.1,9.5
2010/4/13,15.7,20.3,10.2
2010/4/14,15.3,18.5,12.2
2010/4/15,10.7,14.1,8.9
2010/4/16,7.6,9.4,6.6
2010/4/17,10.9,14.6,6.6
2010/4/18,12.7,16.9,7.8
2010/4/19,14.9,18.9,9.3
2010/4/20,14.1,15.3,12.9
2010/4/21,17.9,21.8,13.9
2010/4/22,12.2,17.6,9.9
2010/4/23,11.3,12.1,10.7
2010/4/24,10.2,14.0,6.9
2010/4/25,11.9,17.3,4.8
2010/4/26,14.3,20.1,7.5
2010/4/27,12.7,14.1,11.7
2010/4/28,16.5,21.7,12.5
2010/4/29,17.0,22.6,11.1
2010/4/30,15.4,21.8,7.6
2010/5/1,16.8,24.4,7.8
