ダウンロードした時刻：2017/07/24 15:44:53

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,6.7,9.5,4.0
1996/1/2,5.2,8.2,2.7
1996/1/3,7.8,13.7,3.9
1996/1/4,3.4,5.8,1.1
1996/1/5,4.9,8.7,0.5
1996/1/6,7.6,10.8,4.0
1996/1/7,8.8,12.6,5.7
1996/1/8,7.4,14.2,1.3
1996/1/9,1.0,2.3,-0.4
1996/1/10,3.7,6.5,2.1
1996/1/11,5.4,8.4,2.0
1996/1/12,5.6,9.3,2.1
1996/1/13,5.8,8.8,3.0
1996/1/14,9.6,14.0,5.7
1996/1/15,11.6,15.9,9.3
1996/1/16,9.0,11.9,5.2
1996/1/17,5.8,8.8,3.7
1996/1/18,4.9,6.4,2.9
1996/1/19,4.5,5.9,3.1
1996/1/20,6.1,9.1,4.0
1996/1/21,5.8,9.2,2.4
1996/1/22,4.7,6.0,2.7
1996/1/23,5.1,8.3,2.7
1996/1/24,3.6,6.6,0.8
1996/1/25,2.7,6.0,-0.2
1996/1/26,2.3,5.2,0.5
1996/1/27,2.7,6.9,-0.8
1996/1/28,4.7,9.2,1.7
1996/1/29,5.4,9.1,1.9
1996/1/30,3.0,6.4,0.2
1996/1/31,1.8,4.8,-0.2
1996/2/1,1.4,5.2,-0.6
1996/2/2,0.3,2.2,-1.2
1996/2/3,2.0,5.8,-1.3
1996/2/4,3.6,8.2,-0.6
1996/2/5,5.3,12.0,0.5
1996/2/6,1.4,4.3,-0.4
1996/2/7,2.2,6.2,-0.1
1996/2/8,4.2,7.5,0.8
1996/2/9,4.5,8.2,0.3
1996/2/10,1.7,4.6,-0.3
1996/2/11,3.1,7.2,-1.4
1996/2/12,8.4,13.2,3.4
1996/2/13,10.1,15.0,6.5
1996/2/14,13.2,17.3,6.8
1996/2/15,9.2,13.6,4.6
1996/2/16,5.0,10.5,2.7
1996/2/17,1.5,3.1,0.0
1996/2/18,2.2,5.8,0.2
1996/2/19,2.2,5.7,-0.4
1996/2/20,2.2,5.6,-0.1
1996/2/21,2.1,6.6,-0.5
1996/2/22,2.1,6.4,-2.2
1996/2/23,3.6,7.4,-0.2
1996/2/24,3.8,7.4,0.4
1996/2/25,3.3,5.1,1.4
1996/2/26,5.1,8.5,1.7
1996/2/27,5.9,11.3,3.6
1996/2/28,5.6,9.5,1.6
1996/2/29,6.9,11.5,3.2
1996/3/1,6.5,10.9,3.5
1996/3/2,4.6,8.7,0.8
1996/3/3,3.9,8.3,0.0
1996/3/4,6.2,11.4,1.9
1996/3/5,2.5,5.8,0.7
1996/3/6,3.9,7.9,-0.6
1996/3/7,5.1,8.7,2.5
1996/3/8,7.9,14.2,4.7
1996/3/9,5.7,9.5,1.5
1996/3/10,5.2,9.5,0.4
1996/3/11,6.1,12.1,2.6
1996/3/12,3.5,6.8,1.0
1996/3/13,5.2,7.3,2.1
1996/3/14,8.5,13.3,4.1
1996/3/15,7.8,11.0,6.1
1996/3/16,8.7,12.2,4.1
1996/3/17,14.3,19.7,8.7
1996/3/18,8.1,11.9,4.0
1996/3/19,6.2,10.8,1.2
1996/3/20,7.3,9.7,4.6
1996/3/21,10.0,14.4,5.4
1996/3/22,10.4,15.0,7.5
1996/3/23,6.0,8.3,2.8
1996/3/24,5.5,8.6,1.5
1996/3/25,8.6,13.0,5.9
1996/3/26,9.0,13.0,5.3
1996/3/27,9.0,12.3,5.6
1996/3/28,10.5,14.8,6.8
1996/3/29,8.5,10.5,6.7
1996/3/30,14.5,18.7,8.5
1996/3/31,12.8,16.8,10.4
1996/4/1,8.9,11.1,5.6
1996/4/2,5.9,10.3,3.2
1996/4/3,4.9,9.1,0.5
1996/4/4,6.4,12.1,0.4
1996/4/5,8.2,14.0,2.5
1996/4/6,10.8,15.5,5.4
1996/4/7,10.6,15.1,7.9
1996/4/8,11.5,15.9,7.4
1996/4/9,10.5,15.4,6.6
1996/4/10,9.4,14.2,5.8
1996/4/11,7.2,12.2,3.3
1996/4/12,5.9,9.3,3.1
1996/4/13,7.8,13.2,2.1
1996/4/14,10.7,15.2,5.7
1996/4/15,10.9,14.6,8.0
1996/4/16,10.6,13.8,8.1
1996/4/17,13.8,18.4,7.3
1996/4/18,14.7,17.9,10.5
1996/4/19,8.8,11.9,6.5
1996/4/20,8.6,13.2,6.2
1996/4/21,8.4,12.5,3.5
1996/4/22,11.1,16.3,6.0
1996/4/23,14.0,20.4,8.7
1996/4/24,15.2,20.7,10.6
1996/4/25,16.3,22.6,11.2
1996/4/26,16.6,22.5,11.8
1996/4/27,17.8,24.7,13.0
1996/4/28,18.8,23.6,14.1
1996/4/29,18.6,24.5,14.8
1996/4/30,16.9,19.2,13.2
1996/5/1,16.2,18.5,12.9
