ダウンロードした時刻：2017/07/24 15:38:04

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,2.3,6.3,0.8
1996/1/2,2.5,6.8,-2.1
1996/1/3,0.7,6.9,-4.4
1996/1/4,0.4,3.4,-2.2
1996/1/5,4.1,,
1996/1/6,3.7,,1.1
1996/1/7,3.4,6.7,-1.9
1996/1/8,2.5,9.7,-3.1
1996/1/9,-3.4,-1.1,-4.9
1996/1/10,0.2,2.9,-3.5
1996/1/11,3.9,6.6,1.8
1996/1/12,4.6,7.3,3.0
1996/1/13,3.8,7.5,-1.5
1996/1/14,2.8,10.2,-4.6
1996/1/15,8.4,12.9,3.1
1996/1/16,6.1,8.4,2.5
1996/1/17,2.2,4.6,-0.2
1996/1/18,0.8,3.7,-0.9
1996/1/19,0.3,4.7,-4.0
1996/1/20,1.2,4.1,-1.1
1996/1/21,3.2,6.5,0.0
1996/1/22,1.6,4.5,-0.2
1996/1/23,0.7,4.3,-1.9
1996/1/24,-0.9,4.2,-4.1
1996/1/25,-1.0,2.1,-4.6
1996/1/26,-1.8,-0.5,-3.3
1996/1/27,1.1,4.8,-2.4
1996/1/28,2.0,7.8,-3.3
1996/1/29,2.1,8.0,-1.2
1996/1/30,-1.2,3.0,-4.2
1996/1/31,-3.9,-2.8,-5.1
1996/2/1,-3.3,-1.5,-4.7
1996/2/2,-4.7,-2.4,-6.4
1996/2/3,-1.6,1.1,-6.4
1996/2/4,1.6,6.4,-2.6
1996/2/5,3.1,8.6,-1.0
1996/2/6,2.1,4.2,0.2
1996/2/7,1.9,4.8,-1.7
1996/2/8,2.5,8.3,-2.9
1996/2/9,1.4,6.6,-1.1
1996/2/10,-1.4,1.3,-2.8
1996/2/11,1.6,6.3,-2.7
1996/2/12,7.7,13.2,-0.2
1996/2/13,10.6,15.8,7.0
1996/2/14,11.6,20.2,3.9
1996/2/15,7.1,12.2,1.7
1996/2/16,0.2,3.8,-2.1
1996/2/17,0.3,4.4,-3.1
1996/2/18,-0.1,3.4,-3.0
1996/2/19,-0.5,3.0,-2.9
1996/2/20,-1.4,3.5,-4.9
1996/2/21,-2.1,1.7,-6.0
1996/2/22,-0.8,4.2,-4.6
1996/2/23,0.0,5.6,-5.3
1996/2/24,0.1,5.4,-3.6
1996/2/25,2.0,9.7,-5.3
1996/2/26,3.8,8.4,0.4
1996/2/27,3.8,5.8,2.2
1996/2/28,3.5,7.6,0.2
1996/2/29,5.7,12.6,-2.4
1996/3/1,4.4,9.5,2.5
1996/3/2,2.3,5.5,-0.5
1996/3/3,0.6,4.3,-2.3
1996/3/4,1.2,6.7,-4.2
1996/3/5,-0.4,3.5,-2.2
1996/3/6,1.2,5.2,-2.5
1996/3/7,4.3,9.1,-0.8
1996/3/8,1.3,3.0,0.4
1996/3/9,2.2,4.1,0.3
1996/3/10,3.0,7.0,-0.3
1996/3/11,4.0,10.0,-1.8
1996/3/12,0.7,2.8,-1.5
1996/3/13,3.9,11.5,-2.3
1996/3/14,7.1,14.0,-1.0
1996/3/15,5.4,10.9,1.9
1996/3/16,7.2,11.7,3.1
1996/3/17,8.1,14.3,3.3
1996/3/18,5.0,10.9,0.6
1996/3/19,3.0,7.0,-0.2
1996/3/20,4.5,9.8,-0.4
1996/3/21,6.5,15.2,-1.0
1996/3/22,7.6,13.8,5.6
1996/3/23,3.6,6.0,1.5
1996/3/24,5.0,12.6,-0.9
1996/3/25,6.6,12.4,3.5
1996/3/26,8.3,12.0,5.4
1996/3/27,7.2,14.7,0.7
1996/3/28,6.1,11.9,1.2
1996/3/29,7.4,15.2,0.2
1996/3/30,9.7,14.4,3.1
1996/3/31,12.7,16.1,8.7
1996/4/1,7.2,10.0,4.0
1996/4/2,3.7,7.5,0.7
1996/4/3,3.3,7.0,-0.6
1996/4/4,3.8,8.1,1.0
1996/4/5,4.8,10.0,-0.2
1996/4/6,7.5,13.4,2.4
1996/4/7,7.4,13.5,1.5
1996/4/8,8.6,14.2,6.0
1996/4/9,8.5,13.9,4.0
1996/4/10,8.8,12.8,3.7
1996/4/11,6.1,10.8,3.1
1996/4/12,3.6,7.6,0.6
1996/4/13,3.8,8.8,1.1
1996/4/14,8.9,16.3,2.0
1996/4/15,11.6,20.0,2.5
1996/4/16,7.0,8.7,5.6
1996/4/17,10.2,15.4,6.3
1996/4/18,8.2,12.4,5.4
1996/4/19,9.7,14.0,6.5
1996/4/20,6.4,9.2,4.6
1996/4/21,6.4,10.2,3.5
1996/4/22,7.9,14.9,1.7
1996/4/23,12.0,21.7,1.8
1996/4/24,16.5,25.9,6.6
1996/4/25,17.4,27.2,8.4
1996/4/26,15.4,25.4,7.5
1996/4/27,17.9,24.8,11.0
1996/4/28,17.3,22.1,11.2
1996/4/29,19.2,29.3,9.3
1996/4/30,15.5,20.5,11.0
1996/5/1,12.6,15.6,10.3
