ダウンロードした時刻：2017/07/24 15:42:19

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/1/1,7.7,9.1,6.6
1986/1/2,6.2,10.4,2.2
1986/1/3,3.6,6.7,0.3
1986/1/4,3.9,6.7,1.5
1986/1/5,5.0,8.5,0.2
1986/1/6,2.5,6.6,-0.9
1986/1/7,3.9,10.0,-1.2
1986/1/8,5.6,11.1,-0.5
1986/1/9,4.1,7.3,1.1
1986/1/10,3.3,8.4,-1.4
1986/1/11,2.4,6.6,-1.6
1986/1/12,3.6,9.2,-1.7
1986/1/13,4.2,9.2,0.3
1986/1/14,3.9,8.1,0.3
1986/1/15,5.4,11.1,0.0
1986/1/16,3.6,5.8,2.5
1986/1/17,6.1,10.4,1.3
1986/1/18,5.3,10.5,1.7
1986/1/19,5.0,8.9,1.9
1986/1/20,4.6,7.1,2.1
1986/1/21,4.5,7.1,1.6
1986/1/22,3.1,7.9,-0.3
1986/1/23,2.8,7.7,-2.2
1986/1/24,2.7,6.7,-0.3
1986/1/25,3.0,6.5,-0.5
1986/1/26,2.4,5.4,0.3
1986/1/27,2.2,6.5,-1.3
1986/1/28,3.7,9.4,-1.4
1986/1/29,3.8,6.5,-0.4
1986/1/30,4.2,8.2,0.8
1986/1/31,5.8,10.4,1.2
1986/2/1,3.7,6.1,1.9
1986/2/2,4.8,8.7,1.7
1986/2/3,7.0,13.3,0.0
1986/2/4,4.0,6.3,1.0
1986/2/5,3.0,8.1,-0.8
1986/2/6,2.7,5.7,-0.5
1986/2/7,3.6,6.7,0.5
1986/2/8,1.3,3.5,-0.6
1986/2/9,2.6,8.4,-2.3
1986/2/10,2.9,8.1,0.1
1986/2/11,0.9,2.0,-0.3
1986/2/12,4.5,9.5,0.9
1986/2/13,5.3,9.9,0.2
1986/2/14,7.5,11.8,3.2
1986/2/15,5.5,7.8,4.3
1986/2/16,2.1,5.5,0.0
1986/2/17,3.0,7.8,-2.1
1986/2/18,0.5,2.6,-0.5
1986/2/19,2.4,5.9,-0.6
1986/2/20,3.8,6.7,-0.8
1986/2/21,4.3,7.8,1.2
1986/2/22,4.4,8.0,1.3
1986/2/23,6.3,12.4,1.7
1986/2/24,4.5,8.5,1.9
1986/2/25,3.1,7.8,-0.8
1986/2/26,4.3,9.5,-0.1
1986/2/27,5.5,10.2,1.4
1986/2/28,5.2,9.9,-0.6
1986/3/1,5.6,10.9,0.9
1986/3/2,5.0,9.6,2.5
1986/3/3,5.0,11.2,-0.1
1986/3/4,3.6,6.5,1.2
1986/3/5,4.5,9.8,1.6
1986/3/6,4.7,9.1,1.0
1986/3/7,6.9,11.6,3.3
1986/3/8,9.3,14.2,5.2
1986/3/9,11.3,18.0,4.1
1986/3/10,14.1,15.6,13.0
1986/3/11,7.5,13.6,3.6
1986/3/12,7.1,10.1,3.6
1986/3/13,9.7,14.4,3.0
1986/3/14,4.8,9.4,0.7
1986/3/15,4.3,6.6,0.7
1986/3/16,9.9,15.3,6.0
1986/3/17,7.6,13.2,4.3
1986/3/18,7.1,9.6,2.7
1986/3/19,6.8,8.7,5.2
1986/3/20,9.7,14.8,7.0
1986/3/21,8.7,13.4,5.4
1986/3/22,5.9,8.0,3.2
1986/3/23,2.1,4.8,0.4
1986/3/24,7.2,11.6,4.0
1986/3/25,7.3,11.8,3.2
1986/3/26,8.7,13.5,4.5
1986/3/27,11.7,16.9,4.7
1986/3/28,7.9,12.2,2.9
1986/3/29,6.9,10.0,2.8
1986/3/30,8.5,11.6,5.5
1986/3/31,10.1,15.8,7.4
1986/4/1,9.4,13.4,6.8
1986/4/2,11.9,16.3,7.1
1986/4/3,9.9,12.8,7.0
1986/4/4,11.8,15.5,8.6
1986/4/5,13.0,19.7,9.3
1986/4/6,12.3,20.3,5.5
1986/4/7,8.8,13.0,6.1
1986/4/8,10.1,15.0,3.1
1986/4/9,16.0,20.5,11.0
1986/4/10,15.8,18.4,13.4
1986/4/11,12.4,17.0,7.0
1986/4/12,9.9,14.2,5.5
1986/4/13,11.9,17.6,6.5
1986/4/14,13.2,20.5,8.1
1986/4/15,11.7,13.6,10.0
1986/4/16,12.8,17.8,9.1
1986/4/17,11.0,15.5,8.1
1986/4/18,13.3,17.6,10.0
1986/4/19,13.3,14.7,12.4
1986/4/20,13.9,17.2,12.0
1986/4/21,15.5,20.2,12.7
1986/4/22,14.9,16.3,13.9
1986/4/23,16.9,23.0,13.5
1986/4/24,15.5,20.3,12.9
1986/4/25,17.5,20.9,14.1
1986/4/26,18.1,22.8,14.4
1986/4/27,18.1,22.1,13.6
1986/4/28,14.5,20.7,9.7
1986/4/29,13.8,17.9,9.7
1986/4/30,15.3,20.1,11.8
1986/5/1,16.5,20.6,12.2
