ダウンロードした時刻：2017/07/24 15:47:43

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,5.1,12.8,0.7
1985/1/2,6.8,13.3,-0.6
1985/1/3,9.3,11.2,8.0
1985/1/4,7.4,13.3,1.1
1985/1/5,5.1,11.6,0.3
1985/1/6,5.7,11.7,0.0
1985/1/7,5.1,10.4,0.0
1985/1/8,5.8,8.9,2.5
1985/1/9,6.5,12.2,0.3
1985/1/10,6.8,12.8,2.0
1985/1/11,4.3,10.5,-0.2
1985/1/12,7.6,15.0,0.1
1985/1/13,5.7,11.5,0.9
1985/1/14,1.2,7.1,-2.4
1985/1/15,2.0,8.1,-5.9
1985/1/16,7.1,13.9,1.4
1985/1/17,4.0,10.6,-2.6
1985/1/18,4.1,6.0,2.5
1985/1/19,8.1,15.7,1.5
1985/1/20,9.6,14.7,4.1
1985/1/21,5.4,12.5,-0.4
1985/1/22,7.5,13.8,0.0
1985/1/23,10.3,16.3,6.2
1985/1/24,6.9,10.7,4.0
1985/1/25,5.4,12.3,0.1
1985/1/26,4.4,10.3,-0.3
1985/1/27,7.3,13.0,1.1
1985/1/28,7.8,12.1,3.6
1985/1/29,4.2,9.4,1.8
1985/1/30,1.2,6.5,-1.8
1985/1/31,3.2,10.3,-4.0
1985/2/1,9.2,16.3,-0.2
1985/2/2,9.8,15.6,3.4
1985/2/3,9.6,17.8,2.0
1985/2/4,8.1,14.4,2.5
1985/2/5,11.1,16.4,8.0
1985/2/6,10.8,12.7,9.9
1985/2/7,10.3,15.9,5.6
1985/2/8,10.5,12.5,7.6
1985/2/9,14.6,19.2,11.7
1985/2/10,9.5,14.1,5.6
1985/2/11,8.1,14.0,2.2
1985/2/12,7.1,11.5,4.1
1985/2/13,8.1,15.5,3.1
1985/2/14,6.7,14.4,1.9
1985/2/15,6.3,11.4,-0.3
1985/2/16,9.5,13.5,6.8
1985/2/17,7.4,12.4,1.7
1985/2/18,8.8,12.3,4.9
1985/2/19,11.9,16.4,7.7
1985/2/20,8.8,14.4,5.1
1985/2/21,4.9,8.6,1.9
1985/2/22,4.5,10.0,0.9
1985/2/23,5.4,10.9,2.4
1985/2/24,4.5,10.0,0.6
1985/2/25,4.7,9.1,-1.1
1985/2/26,7.3,9.1,5.2
1985/2/27,8.4,10.4,6.9
1985/2/28,13.2,15.5,10.3
1985/3/1,14.3,17.2,10.6
1985/3/2,12.8,14.3,10.9
1985/3/3,12.7,15.7,11.2
1985/3/4,10.4,12.7,7.7
1985/3/5,7.5,10.5,6.1
1985/3/6,9.6,16.0,2.9
1985/3/7,12.3,18.3,5.6
1985/3/8,15.7,18.7,12.7
1985/3/9,13.8,18.7,7.5
1985/3/10,9.3,13.3,4.0
1985/3/11,9.6,11.8,7.3
1985/3/12,9.3,13.7,6.3
1985/3/13,9.0,13.2,4.3
1985/3/14,10.5,12.5,8.9
1985/3/15,11.0,14.3,8.4
1985/3/16,13.0,16.7,5.7
1985/3/17,16.9,22.7,15.0
1985/3/18,14.7,17.3,12.1
1985/3/19,14.0,18.5,11.6
1985/3/20,9.9,12.0,9.1
1985/3/21,12.5,17.5,9.4
1985/3/22,12.3,17.9,7.2
1985/3/23,11.0,12.1,9.6
1985/3/24,13.0,18.4,6.7
1985/3/25,15.9,19.2,11.3
1985/3/26,17.3,22.5,14.5
1985/3/27,17.7,22.7,15.3
1985/3/28,16.4,21.2,12.5
1985/3/29,15.3,22.8,8.7
1985/3/30,10.7,15.9,5.8
1985/3/31,9.8,14.3,6.5
1985/4/1,8.5,14.7,0.9
1985/4/2,13.1,18.9,5.7
1985/4/3,16.2,17.9,12.0
1985/4/4,16.0,21.9,11.3
1985/4/5,14.7,21.4,10.0
1985/4/6,13.8,18.6,7.4
1985/4/7,14.5,15.9,12.7
1985/4/8,17.8,22.4,14.4
1985/4/9,17.7,23.3,11.4
1985/4/10,17.8,22.8,12.9
1985/4/11,18.6,19.9,17.7
1985/4/12,14.7,18.0,12.6
1985/4/13,16.6,21.0,11.2
1985/4/14,16.9,20.0,13.5
1985/4/15,17.1,20.8,15.0
1985/4/16,15.6,21.0,11.2
1985/4/17,16.0,24.4,8.7
1985/4/18,15.2,20.8,10.2
1985/4/19,16.5,23.4,9.8
1985/4/20,19.4,26.8,15.1
1985/4/21,18.4,22.9,13.2
1985/4/22,17.7,19.8,15.4
1985/4/23,20.1,24.7,15.6
1985/4/24,18.1,21.9,12.9
1985/4/25,17.3,23.5,9.5
1985/4/26,19.4,26.6,14.1
1985/4/27,17.2,22.7,13.9
1985/4/28,15.8,21.6,9.5
1985/4/29,16.5,22.8,9.9
1985/4/30,17.7,24.0,9.9
1985/5/1,18.5,23.8,12.6
