ダウンロードした時刻：2017/07/24 15:41:50

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/1/1,6.4,9.1,3.5
2001/1/2,6.9,11.9,1.8
2001/1/3,5.2,7.5,2.3
2001/1/4,3.1,6.3,1.3
2001/1/5,3.2,7.3,1.0
2001/1/6,3.4,7.4,0.7
2001/1/7,4.5,7.4,0.4
2001/1/8,10.0,15.2,6.4
2001/1/9,7.8,10.0,4.3
2001/1/10,11.3,16.6,6.2
2001/1/11,7.3,10.8,4.6
2001/1/12,4.9,7.9,3.3
2001/1/13,3.3,5.0,1.7
2001/1/14,2.2,5.7,-0.6
2001/1/15,0.9,4.2,-1.0
2001/1/16,1.1,4.7,-2.4
2001/1/17,1.9,5.9,-1.1
2001/1/18,3.4,7.9,-1.6
2001/1/19,3.6,7.3,0.9
2001/1/20,2.9,6.8,-1.4
2001/1/21,6.6,10.2,3.8
2001/1/22,6.5,9.6,3.5
2001/1/23,6.4,11.5,2.4
2001/1/24,4.6,9.8,0.3
2001/1/25,6.8,9.0,3.3
2001/1/26,8.0,10.0,6.5
2001/1/27,5.7,8.1,4.1
2001/1/28,6.6,10.5,4.1
2001/1/29,4.4,8.6,1.3
2001/1/30,4.2,8.6,-0.4
2001/1/31,5.5,10.9,0.3
2001/2/1,5.9,8.2,4.4
2001/2/2,5.0,8.9,1.6
2001/2/3,4.4,9.2,0.8
2001/2/4,5.9,9.9,2.8
2001/2/5,8.9,13.7,5.1
2001/2/6,7.8,11.9,5.5
2001/2/7,7.6,10.2,5.7
2001/2/8,7.3,12.6,3.0
2001/2/9,5.0,9.8,0.1
2001/2/10,5.6,9.9,3.1
2001/2/11,5.4,10.3,1.8
2001/2/12,4.7,9.0,1.9
2001/2/13,4.9,7.7,2.6
2001/2/14,4.7,10.3,1.6
2001/2/15,3.0,7.7,-0.8
2001/2/16,4.5,11.5,0.5
2001/2/17,4.2,9.7,-0.2
2001/2/18,8.4,13.7,2.9
2001/2/19,10.3,15.4,6.8
2001/2/20,8.1,13.7,3.5
2001/2/21,9.8,16.0,4.9
2001/2/22,12.3,18.3,8.7
2001/2/23,13.6,20.5,6.2
2001/2/24,10.6,14.6,6.5
2001/2/25,6.1,10.9,1.9
2001/2/26,4.6,9.1,1.1
2001/2/27,6.8,13.1,1.0
2001/2/28,8.3,10.7,4.0
2001/3/1,10.2,11.8,6.8
2001/3/2,7.6,12.5,4.0
2001/3/3,7.7,12.7,1.5
2001/3/4,8.3,13.0,3.8
2001/3/5,4.9,8.3,1.0
2001/3/6,8.4,13.9,4.7
2001/3/7,8.3,13.7,4.1
2001/3/8,4.2,9.3,-0.1
2001/3/9,3.0,8.2,-0.1
2001/3/10,5.0,9.0,0.2
2001/3/11,4.9,9.1,1.4
2001/3/12,6.0,11.9,0.2
2001/3/13,5.8,11.5,1.7
2001/3/14,8.9,14.6,1.2
2001/3/15,11.6,17.2,6.8
2001/3/16,8.9,14.0,4.2
2001/3/17,8.5,10.6,5.2
2001/3/18,12.6,17.5,9.6
2001/3/19,12.5,18.5,8.4
2001/3/20,13.4,19.9,6.3
2001/3/21,15.8,23.5,10.4
2001/3/22,14.2,19.2,9.8
2001/3/23,14.9,19.1,11.5
2001/3/24,14.4,19.0,10.1
2001/3/25,13.8,18.8,11.9
2001/3/26,13.7,19.1,8.7
2001/3/27,11.6,15.7,8.2
2001/3/28,12.9,17.9,8.8
2001/3/29,11.9,14.6,8.8
2001/3/30,8.8,12.3,6.7
2001/3/31,7.2,11.2,4.2
2001/4/1,7.9,13.7,2.6
2001/4/2,11.5,15.8,3.4
2001/4/3,13.9,18.6,9.3
2001/4/4,11.1,16.8,6.2
2001/4/5,11.5,17.0,4.1
2001/4/6,14.5,22.4,8.0
2001/4/7,15.2,21.5,9.4
2001/4/8,16.3,22.0,11.9
2001/4/9,18.1,23.2,14.2
2001/4/10,19.1,25.3,13.0
2001/4/11,18.1,24.1,12.9
2001/4/12,14.7,18.5,10.0
2001/4/13,13.6,19.3,8.3
2001/4/14,14.5,19.2,8.3
2001/4/15,15.7,21.7,10.6
2001/4/16,16.4,22.3,11.5
2001/4/17,17.2,22.8,12.2
2001/4/18,17.1,21.1,14.1
2001/4/19,19.6,26.3,13.5
2001/4/20,18.3,24.0,13.0
2001/4/21,14.1,15.8,12.5
2001/4/22,15.4,23.1,10.1
2001/4/23,13.7,20.1,7.7
2001/4/24,16.3,21.0,11.0
2001/4/25,14.2,15.5,12.0
2001/4/26,13.8,18.4,9.5
2001/4/27,15.0,20.8,9.8
2001/4/28,16.4,23.0,10.1
2001/4/29,16.1,19.7,14.5
2001/4/30,17.7,21.9,14.9
2001/5/1,15.7,19.6,12.4
