ダウンロードした時刻：2017/07/24 15:47:36

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/1/1,10.7,15.1,8.0
1998/1/2,10.8,15.9,6.9
1998/1/3,11.3,16.8,3.4
1998/1/4,12.2,18.7,8.4
1998/1/5,8.7,12.2,6.3
1998/1/6,9.6,14.5,5.2
1998/1/7,9.4,13.5,3.9
1998/1/8,14.9,17.9,10.7
1998/1/9,12.9,16.2,10.0
1998/1/10,12.0,13.0,11.0
1998/1/11,12.4,14.0,11.4
1998/1/12,10.8,15.0,7.5
1998/1/13,9.8,13.2,4.2
1998/1/14,14.1,17.5,9.8
1998/1/15,13.2,16.4,8.9
1998/1/16,10.8,15.9,7.2
1998/1/17,12.5,14.9,9.5
1998/1/18,11.9,15.5,6.9
1998/1/19,4.8,7.7,2.5
1998/1/20,6.1,9.2,2.7
1998/1/21,7.7,11.9,4.3
1998/1/22,5.8,8.9,3.9
1998/1/23,4.3,5.3,3.3
1998/1/24,2.6,5.7,-0.4
1998/1/25,2.7,7.3,-1.4
1998/1/26,5.7,9.8,1.5
1998/1/27,8.1,12.5,3.5
1998/1/28,6.5,11.5,3.5
1998/1/29,5.7,11.5,1.3
1998/1/30,7.2,13.3,0.5
1998/1/31,9.5,14.3,6.1
1998/2/1,8.3,10.8,5.3
1998/2/2,9.6,15.7,4.0
1998/2/3,9.0,11.8,4.2
1998/2/4,10.0,13.2,8.2
1998/2/5,7.4,10.8,5.0
1998/2/6,7.3,12.9,2.5
1998/2/7,8.3,13.6,4.3
1998/2/8,8.9,11.5,6.0
1998/2/9,8.2,13.3,2.9
1998/2/10,11.4,15.1,5.4
1998/2/11,10.0,15.9,2.9
1998/2/12,16.0,23.0,10.0
1998/2/13,17.6,21.4,13.8
1998/2/14,19.2,22.5,15.2
1998/2/15,13.3,17.6,9.1
1998/2/16,12.3,17.8,6.8
1998/2/17,13.8,17.8,11.1
1998/2/18,11.5,13.4,8.7
1998/2/19,16.7,18.3,13.2
1998/2/20,17.7,21.9,16.3
1998/2/21,14.4,16.7,13.0
1998/2/22,14.0,15.8,12.6
1998/2/23,15.0,16.2,13.4
1998/2/24,15.2,18.6,13.3
1998/2/25,13.3,18.2,10.4
1998/2/26,12.2,17.2,9.2
1998/2/27,12.0,17.9,6.7
1998/2/28,11.1,15.0,8.9
1998/3/1,10.4,15.6,6.1
1998/3/2,10.0,16.6,3.8
1998/3/3,10.8,16.5,4.7
1998/3/4,11.7,15.2,10.0
1998/3/5,11.1,16.7,8.4
1998/3/6,11.5,18.0,5.2
1998/3/7,12.5,16.0,9.0
1998/3/8,12.1,14.4,9.8
1998/3/9,13.6,16.6,11.1
1998/3/10,12.4,14.6,11.0
1998/3/11,15.8,19.0,13.0
1998/3/12,12.8,14.8,10.0
1998/3/13,11.7,16.9,7.0
1998/3/14,13.6,19.2,7.1
1998/3/15,10.8,16.0,7.9
1998/3/16,10.5,15.1,7.3
1998/3/17,12.0,19.1,4.4
1998/3/18,13.6,19.3,7.0
1998/3/19,16.8,18.5,13.5
1998/3/20,12.0,19.6,7.2
1998/3/21,8.8,13.1,7.0
1998/3/22,9.2,13.9,7.0
1998/3/23,9.4,13.5,4.4
1998/3/24,11.0,12.8,9.4
1998/3/25,11.0,12.9,9.2
1998/3/26,13.5,15.9,9.6
1998/3/27,16.7,21.2,14.2
1998/3/28,14.4,15.9,11.4
1998/3/29,14.8,20.4,9.8
1998/3/30,15.9,23.3,9.6
1998/3/31,18.0,24.6,11.4
1998/4/1,20.5,26.0,16.9
1998/4/2,14.5,18.0,9.3
1998/4/3,12.7,18.6,7.7
1998/4/4,14.8,21.5,7.5
1998/4/5,17.4,22.6,11.8
1998/4/6,19.9,22.9,17.3
1998/4/7,20.1,25.4,18.3
1998/4/8,19.9,23.2,17.2
1998/4/9,20.5,23.4,18.2
1998/4/10,19.3,23.0,16.3
1998/4/11,21.0,25.3,17.2
1998/4/12,21.3,23.4,19.4
1998/4/13,20.5,21.9,19.0
1998/4/14,19.0,21.9,16.6
1998/4/15,18.4,24.2,14.0
1998/4/16,18.7,23.8,13.2
1998/4/17,20.2,24.5,15.9
1998/4/18,18.0,21.8,14.4
1998/4/19,17.8,24.0,12.2
1998/4/20,19.2,24.2,13.1
1998/4/21,20.7,23.6,18.1
1998/4/22,21.2,22.7,19.9
1998/4/23,21.0,22.4,19.7
1998/4/24,21.3,24.7,19.6
1998/4/25,21.1,24.9,19.0
1998/4/26,19.6,24.2,15.1
1998/4/27,22.0,27.4,16.8
1998/4/28,23.4,28.0,19.2
1998/4/29,23.3,27.3,21.7
1998/4/30,24.4,28.7,21.4
1998/5/1,24.5,27.4,22.9
