ダウンロードした時刻：2017/07/24 15:44:53

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/1/1,12.6,17.1,8.5
1997/1/2,5.9,10.4,3.6
1997/1/3,5.2,7.3,3.6
1997/1/4,5.1,7.8,2.9
1997/1/5,4.5,6.3,3.3
1997/1/6,5.2,7.5,3.6
1997/1/7,5.0,6.9,3.2
1997/1/8,4.4,7.1,2.9
1997/1/9,4.5,7.7,2.8
1997/1/10,4.6,8.3,1.5
1997/1/11,5.4,8.4,3.2
1997/1/12,5.9,9.3,3.2
1997/1/13,5.4,9.4,2.1
1997/1/14,7.7,12.9,4.2
1997/1/15,6.3,9.5,3.8
1997/1/16,5.4,8.6,3.0
1997/1/17,6.7,10.5,3.0
1997/1/18,7.9,10.8,3.6
1997/1/19,5.3,9.3,2.3
1997/1/20,6.7,10.5,3.1
1997/1/21,3.9,8.0,-2.7
1997/1/22,0.2,3.3,-4.4
1997/1/23,4.6,7.7,2.6
1997/1/24,3.9,5.8,2.7
1997/1/25,4.0,6.6,2.4
1997/1/26,5.7,8.9,2.0
1997/1/27,6.8,10.6,4.0
1997/1/28,6.4,10.3,4.3
1997/1/29,3.5,6.4,1.2
1997/1/30,2.8,6.2,0.5
1997/1/31,2.1,4.8,0.3
1997/2/1,3.7,7.6,0.5
1997/2/2,2.5,5.8,0.3
1997/2/3,3.0,7.5,0.4
1997/2/4,3.1,6.0,0.5
1997/2/5,4.8,7.9,3.2
1997/2/6,5.5,9.5,2.1
1997/2/7,4.8,7.0,3.1
1997/2/8,6.1,9.4,3.5
1997/2/9,6.7,10.8,3.0
1997/2/10,7.1,10.8,4.3
1997/2/11,4.3,7.0,2.1
1997/2/12,3.6,7.1,1.3
1997/2/13,3.2,7.2,0.1
1997/2/14,4.1,8.7,-0.9
1997/2/15,6.1,8.5,3.6
1997/2/16,6.1,10.0,4.0
1997/2/17,4.6,7.9,2.0
1997/2/18,3.7,8.6,0.3
1997/2/19,3.1,6.7,0.2
1997/2/20,5.7,10.3,1.0
1997/2/21,5.1,8.2,-0.2
1997/2/22,1.3,4.5,-0.7
1997/2/23,3.3,7.1,-0.1
1997/2/24,6.2,10.7,2.4
1997/2/25,8.0,13.2,4.4
1997/2/26,8.8,11.6,5.8
1997/2/27,6.9,10.7,4.4
1997/2/28,10.6,16.7,4.3
1997/3/1,10.3,15.7,4.5
1997/3/2,6.4,10.2,1.5
1997/3/3,6.2,9.0,5.0
1997/3/4,6.7,11.0,2.9
1997/3/5,8.4,13.5,4.5
1997/3/6,11.8,17.6,6.1
1997/3/7,15.6,20.5,9.9
1997/3/8,10.4,14.7,5.4
1997/3/9,10.2,15.3,6.2
1997/3/10,7.1,9.6,5.1
1997/3/11,9.2,13.0,5.6
1997/3/12,7.2,11.0,4.0
1997/3/13,8.3,10.4,6.0
1997/3/14,10.6,13.0,8.8
1997/3/15,9.5,11.6,7.4
1997/3/16,8.3,11.3,6.6
1997/3/17,7.5,11.4,3.0
1997/3/18,7.6,11.9,3.0
1997/3/19,8.1,9.4,5.8
1997/3/20,7.9,10.9,5.1
1997/3/21,8.3,9.9,7.1
1997/3/22,10.0,14.5,7.5
1997/3/23,8.5,13.4,5.5
1997/3/24,5.2,8.8,2.5
1997/3/25,8.3,13.9,2.9
1997/3/26,10.4,14.8,7.2
1997/3/27,9.3,12.8,7.1
1997/3/28,11.0,15.5,6.6
1997/3/29,12.4,14.8,10.6
1997/3/30,11.5,14.8,6.1
1997/3/31,8.7,13.7,3.1
1997/4/1,10.5,15.2,5.5
1997/4/2,14.2,16.9,10.0
1997/4/3,14.8,16.6,12.1
1997/4/4,13.9,16.1,12.0
1997/4/5,16.7,18.8,12.7
1997/4/6,13.8,15.0,12.8
1997/4/7,11.0,13.8,9.3
1997/4/8,11.9,16.3,6.6
1997/4/9,14.5,19.3,11.3
1997/4/10,12.6,17.2,7.7
1997/4/11,12.8,18.2,8.6
1997/4/12,13.6,19.2,8.6
1997/4/13,16.0,21.1,11.1
1997/4/14,17.3,22.3,12.3
1997/4/15,12.7,16.0,7.6
1997/4/16,11.4,16.3,7.1
1997/4/17,13.6,19.9,8.2
1997/4/18,16.3,20.4,12.2
1997/4/19,13.7,18.7,9.8
1997/4/20,14.0,19.7,8.6
1997/4/21,14.9,17.9,12.7
1997/4/22,15.0,20.0,11.5
1997/4/23,12.6,15.1,7.4
1997/4/24,11.5,16.5,6.7
1997/4/25,12.7,17.7,7.7
1997/4/26,14.6,20.2,8.8
1997/4/27,16.8,22.8,11.7
1997/4/28,15.4,17.8,13.6
1997/4/29,18.2,25.1,12.0
1997/4/30,16.4,18.1,14.5
1997/5/1,17.3,22.0,12.3
