ダウンロードした時刻：2017/07/24 15:42:18

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,5.4,9.8,2.6
1983/1/2,4.4,7.1,2.6
1983/1/3,4.5,9.4,-0.5
1983/1/4,5.4,8.0,1.9
1983/1/5,7.2,14.5,1.7
1983/1/6,7.3,8.3,5.2
1983/1/7,7.1,9.2,5.3
1983/1/8,10.7,15.8,5.6
1983/1/9,7.1,10.5,5.1
1983/1/10,4.3,10.4,0.4
1983/1/11,3.3,7.1,-1.5
1983/1/12,6.3,12.1,0.7
1983/1/13,6.0,9.8,2.5
1983/1/14,5.3,9.0,2.0
1983/1/15,4.7,9.8,0.2
1983/1/16,4.9,7.8,2.8
1983/1/17,6.1,10.6,0.3
1983/1/18,3.6,6.0,1.7
1983/1/19,5.2,9.4,1.6
1983/1/20,4.6,8.5,1.4
1983/1/21,4.4,7.9,1.1
1983/1/22,1.9,6.3,-0.9
1983/1/23,2.5,6.9,-2.2
1983/1/24,5.3,11.0,-0.4
1983/1/25,6.0,10.6,1.6
1983/1/26,7.5,13.9,1.4
1983/1/27,7.3,10.9,4.0
1983/1/28,7.1,11.4,2.6
1983/1/29,8.2,13.3,2.5
1983/1/30,9.6,16.8,5.0
1983/1/31,6.3,11.1,3.1
1983/2/1,6.2,9.7,1.5
1983/2/2,4.4,6.5,3.4
1983/2/3,6.4,8.4,4.1
1983/2/4,5.9,9.7,3.8
1983/2/5,5.5,9.4,2.1
1983/2/6,7.9,14.5,1.4
1983/2/7,5.7,11.1,2.5
1983/2/8,5.3,10.7,1.2
1983/2/9,7.1,11.9,3.6
1983/2/10,5.5,9.3,0.5
1983/2/11,4.3,7.6,0.9
1983/2/12,5.5,10.6,1.1
1983/2/13,2.6,9.0,-1.6
1983/2/14,3.9,7.0,-0.6
1983/2/15,6.4,12.6,-0.3
1983/2/16,7.0,10.9,2.8
1983/2/17,1.7,7.0,0.5
1983/2/18,6.6,12.5,3.1
1983/2/19,4.9,10.2,1.1
1983/2/20,5.0,9.8,0.6
1983/2/21,3.9,9.5,-0.1
1983/2/22,5.2,9.3,0.2
1983/2/23,6.2,10.8,1.2
1983/2/24,2.8,5.9,0.5
1983/2/25,5.9,9.8,3.1
1983/2/26,5.1,9.6,2.5
1983/2/27,6.0,10.8,1.7
1983/2/28,7.8,11.7,3.5
1983/3/1,9.0,13.7,2.5
1983/3/2,6.4,10.2,5.4
1983/3/3,10.8,17.2,5.2
1983/3/4,6.7,8.6,5.3
1983/3/5,6.1,10.3,3.0
1983/3/6,6.3,11.4,1.0
1983/3/7,5.3,9.5,2.0
1983/3/8,4.7,8.8,2.0
1983/3/9,5.6,9.7,0.0
1983/3/10,5.4,7.8,3.6
1983/3/11,10.5,15.8,5.0
1983/3/12,9.1,12.6,5.1
1983/3/13,7.5,9.0,6.3
1983/3/14,6.5,10.7,2.2
1983/3/15,6.8,11.4,2.0
1983/3/16,7.2,9.8,4.1
1983/3/17,7.7,15.0,4.5
1983/3/18,7.1,11.5,3.4
1983/3/19,7.2,12.2,1.6
1983/3/20,10.1,15.2,3.8
1983/3/21,7.6,11.7,6.4
1983/3/22,11.0,17.0,5.1
1983/3/23,11.6,15.6,7.5
1983/3/24,10.1,12.8,8.1
1983/3/25,7.9,9.4,6.7
1983/3/26,8.8,12.0,6.6
1983/3/27,5.6,8.4,3.8
1983/3/28,8.3,10.9,5.6
1983/3/29,8.4,11.2,6.3
1983/3/30,8.2,10.8,5.8
1983/3/31,9.9,14.6,6.5
1983/4/1,9.6,15.4,7.0
1983/4/2,14.5,19.0,11.8
1983/4/3,12.6,19.0,7.9
1983/4/4,13.9,18.4,7.8
1983/4/5,12.3,16.4,9.0
1983/4/6,14.2,19.8,7.8
1983/4/7,16.0,19.4,12.7
1983/4/8,14.2,16.1,12.4
1983/4/9,13.1,17.5,10.5
1983/4/10,13.2,16.8,9.8
1983/4/11,16.1,21.0,11.4
1983/4/12,12.2,16.2,10.8
1983/4/13,13.6,18.7,10.1
1983/4/14,14.4,19.1,8.3
1983/4/15,15.9,18.7,13.3
1983/4/16,15.6,20.0,10.3
1983/4/17,10.2,11.2,9.1
1983/4/18,13.7,18.6,10.0
1983/4/19,15.6,19.3,11.9
1983/4/20,18.4,24.6,13.0
1983/4/21,13.6,16.8,10.6
1983/4/22,13.5,19.4,11.4
1983/4/23,15.8,20.2,12.4
1983/4/24,16.4,23.1,11.8
1983/4/25,18.4,25.2,12.6
1983/4/26,19.0,25.1,14.0
1983/4/27,20.0,22.8,17.8
1983/4/28,18.5,22.6,16.2
1983/4/29,21.4,24.1,18.6
1983/4/30,14.6,20.8,13.2
1983/5/1,15.0,17.7,11.8
