ダウンロードした時刻：2017/07/24 15:46:33

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,5.9,9.2,1.3
1984/1/2,7.6,11.2,4.7
1984/1/3,8.0,11.8,4.1
1984/1/4,4.1,4.8,3.0
1984/1/5,3.1,6.1,-0.1
1984/1/6,3.6,7.6,-1.4
1984/1/7,3.7,5.8,1.4
1984/1/8,5.6,9.0,2.0
1984/1/9,7.6,9.9,5.3
1984/1/10,9.7,13.2,3.8
1984/1/11,6.6,11.1,2.4
1984/1/12,4.1,9.4,0.5
1984/1/13,5.2,6.6,2.8
1984/1/14,7.1,12.2,2.9
1984/1/15,7.5,12.4,2.9
1984/1/16,1.3,3.4,0.1
1984/1/17,1.8,3.3,0.7
1984/1/18,1.3,3.8,0.1
1984/1/19,2.8,6.4,0.6
1984/1/20,5.1,9.7,0.7
1984/1/21,5.8,8.1,4.4
1984/1/22,3.5,5.5,0.9
1984/1/23,2.8,5.7,0.3
1984/1/24,2.9,6.4,-0.6
1984/1/25,2.6,3.9,0.5
1984/1/26,0.7,2.6,-1.1
1984/1/27,1.3,3.9,-1.3
1984/1/28,1.3,3.5,-1.3
1984/1/29,2.8,5.7,0.0
1984/1/30,2.7,3.5,1.8
1984/1/31,4.7,8.1,2.5
1984/2/1,5.9,10.8,1.6
1984/2/2,4.3,7.5,1.4
1984/2/3,1.0,2.9,-1.0
1984/2/4,1.7,4.2,-2.1
1984/2/5,3.9,6.5,0.4
1984/2/6,0.9,5.8,-2.0
1984/2/7,-0.3,1.4,-2.2
1984/2/8,0.8,2.1,-0.2
1984/2/9,1.5,3.8,-0.8
1984/2/10,3.2,7.2,-1.7
1984/2/11,5.4,8.3,2.1
1984/2/12,6.0,8.8,3.6
1984/2/13,5.7,10.2,2.4
1984/2/14,5.2,9.0,2.1
1984/2/15,4.9,8.5,0.3
1984/2/16,6.3,9.6,1.2
1984/2/17,5.7,7.0,4.8
1984/2/18,5.1,9.2,2.1
1984/2/19,5.0,10.2,0.0
1984/2/20,6.5,12.3,1.4
1984/2/21,7.9,13.0,2.7
1984/2/22,6.8,9.4,4.3
1984/2/23,12.1,17.1,7.9
1984/2/24,9.0,12.3,6.5
1984/2/25,8.2,10.3,6.4
1984/2/26,8.1,10.6,5.3
1984/2/27,3.6,5.3,2.8
1984/2/28,3.9,6.4,2.0
1984/2/29,2.9,5.2,0.7
1984/3/1,4.7,8.0,0.7
1984/3/2,7.6,10.9,4.3
1984/3/3,5.4,9.5,3.6
1984/3/4,4.0,6.5,1.3
1984/3/5,5.4,10.2,1.1
1984/3/6,6.5,10.9,2.9
1984/3/7,4.9,8.0,2.1
1984/3/8,5.3,9.5,0.8
1984/3/9,7.2,11.6,3.0
1984/3/10,6.1,8.6,3.9
1984/3/11,5.2,8.9,2.5
1984/3/12,9.1,15.5,2.0
1984/3/13,9.2,12.2,6.8
1984/3/14,8.6,12.0,7.1
1984/3/15,7.6,9.4,5.3
1984/3/16,10.1,13.3,8.0
1984/3/17,7.3,10.2,5.3
1984/3/18,8.8,14.2,4.0
1984/3/19,7.8,9.6,5.7
1984/3/20,9.2,11.8,7.0
1984/3/21,5.2,10.0,3.6
1984/3/22,5.7,10.3,1.8
1984/3/23,8.7,14.4,2.1
1984/3/24,10.5,15.8,7.5
1984/3/25,10.9,15.5,7.6
1984/3/26,11.5,16.7,8.1
1984/3/27,10.7,14.6,7.5
1984/3/28,10.9,15.9,6.8
1984/3/29,12.0,17.4,5.0
1984/3/30,15.2,19.4,12.0
1984/3/31,14.6,20.1,11.2
1984/4/1,11.5,16.1,8.9
1984/4/2,12.0,17.8,7.2
1984/4/3,15.8,17.7,11.2
1984/4/4,16.7,20.0,14.2
1984/4/5,14.6,19.9,12.0
1984/4/6,11.5,16.0,8.5
1984/4/7,11.7,17.6,7.9
1984/4/8,12.3,19.3,5.9
1984/4/9,15.1,20.1,10.6
1984/4/10,13.0,14.0,11.7
1984/4/11,14.8,19.6,11.1
1984/4/12,14.5,19.0,10.7
1984/4/13,14.2,19.4,11.4
1984/4/14,15.0,21.5,9.2
1984/4/15,17.0,23.5,10.3
1984/4/16,18.5,22.8,14.9
1984/4/17,19.0,23.8,14.2
1984/4/18,20.1,24.4,16.9
1984/4/19,13.6,19.9,10.9
1984/4/20,13.2,19.3,9.8
1984/4/21,13.6,18.6,10.7
1984/4/22,14.3,20.8,11.6
1984/4/23,15.2,20.2,9.8
1984/4/24,16.6,22.4,10.2
1984/4/25,18.3,22.4,14.3
1984/4/26,17.9,22.9,14.3
1984/4/27,18.2,23.4,14.0
1984/4/28,19.2,24.4,15.1
1984/4/29,19.1,22.2,16.5
1984/4/30,18.3,21.9,15.1
1984/5/1,16.5,20.5,12.4
