É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:41:19

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2003/1/1,4.3,8.6,2.5
2003/1/2,2.1,7.5,-2.6
2003/1/3,-0.6,2.2,-3.6
2003/1/4,1.5,6.9,0.1
2003/1/5,-0.2,5.3,-4.6
2003/1/6,0.4,5.9,-3.9
2003/1/7,-1.4,5.3,-6.7
2003/1/8,0.1,7.1,-6.0
2003/1/9,0.2,7.5,-5.7
2003/1/10,2.1,9.5,-4.3
2003/1/11,4.7,11.0,-0.1
2003/1/12,2.8,11.1,-3.4
2003/1/13,3.2,10.6,-2.6
2003/1/14,4.6,12.6,-2.8
2003/1/15,1.8,5.0,-2.6
2003/1/16,-1.3,5.3,-7.3
2003/1/17,2.4,12.3,-5.4
2003/1/18,4.2,11.7,-1.9
2003/1/19,3.2,6.4,0.0
2003/1/20,4.7,9.2,1.7
2003/1/21,4.2,8.3,-0.8
2003/1/22,1.4,6.8,-5.7
2003/1/23,0.2,4.9,-1.2
2003/1/24,4.0,6.3,1.1
2003/1/25,3.0,7.8,-0.9
2003/1/26,1.0,5.4,-4.8
2003/1/27,1.9,2.7,1.0
2003/1/28,5.0,10.3,-0.3
2003/1/29,0.1,3.8,-3.6
2003/1/30,2.0,7.6,-5.0
2003/1/31,2.4,10.1,-4.9
2003/2/1,2.3,8.9,-3.4
2003/2/2,2.0,6.2,-1.8
2003/2/3,2.7,10.0,-2.6
2003/2/4,3.6,8.6,0.1
2003/2/5,3.8,9.6,0.6
2003/2/6,3.2,9.7,-2.2
2003/2/7,2.5,11.2,-4.5
2003/2/8,4.5,12.1,-3.1
2003/2/9,8.3,17.7,2.0
2003/2/10,10.1,15.3,7.3
2003/2/11,11.2,16.4,7.8
2003/2/12,6.2,10.1,2.7
2003/2/13,5.1,11.6,0.2
2003/2/14,4.7,12.1,-2.1
2003/2/15,4.2,11.7,-2.6
2003/2/16,2.7,4.2,0.5
2003/2/17,4.6,12.0,-2.2
2003/2/18,6.3,12.5,2.6
2003/2/19,5.5,10.6,1.2
2003/2/20,5.4,11.8,1.2
2003/2/21,6.0,13.0,0.5
2003/2/22,5.5,10.2,2.0
2003/2/23,6.8,8.9,5.2
2003/2/24,3.4,5.2,0.4
2003/2/25,4.1,10.9,-1.2
2003/2/26,6.6,13.6,-0.6
2003/2/27,7.8,12.7,1.4
2003/2/28,4.3,12.7,-3.5
2003/3/1,3.1,4.4,0.2
2003/3/2,10.4,16.3,3.9
2003/3/3,6.5,10.6,1.2
2003/3/4,3.1,7.5,-1.3
2003/3/5,2.0,8.7,-4.4
2003/3/6,4.5,10.4,-0.3
2003/3/7,3.3,5.0,1.6
2003/3/8,8.7,14.1,2.8
2003/3/9,5.2,10.6,1.5
2003/3/10,3.7,9.6,-1.8
2003/3/11,3.0,9.6,-2.9
2003/3/12,3.6,11.6,-3.8
2003/3/13,5.0,12.2,-0.8
2003/3/14,5.7,12.8,-1.1
2003/3/15,5.9,7.9,3.2
2003/3/16,6.4,11.7,3.0
2003/3/17,6.0,8.7,1.8
2003/3/18,5.8,13.5,1.0
2003/3/19,6.7,13.7,3.0
2003/3/20,6.3,13.8,-0.1
2003/3/21,6.7,14.3,0.2
2003/3/22,6.2,8.5,3.5
2003/3/23,8.1,16.3,2.1
2003/3/24,11.8,19.0,5.3
2003/3/25,10.0,11.6,9.0
2003/3/26,12.0,19.0,5.4
2003/3/27,12.4,20.7,4.5
2003/3/28,13.4,19.5,9.8
2003/3/29,10.0,15.9,5.0
2003/3/30,8.5,16.7,1.0
2003/3/31,12.8,21.7,3.1
2003/4/1,14.3,21.4,10.2
2003/4/2,10.2,11.3,8.8
2003/4/3,12.0,18.1,7.1
2003/4/4,9.9,17.6,3.4
2003/4/5,5.8,8.7,1.1
2003/4/6,10.5,15.9,4.9
2003/4/7,11.3,21.2,1.6
2003/4/8,12.8,17.5,10.0
2003/4/9,13.7,21.6,5.7
2003/4/10,9.5,16.9,2.2
2003/4/11,10.9,14.8,6.3
2003/4/12,13.6,17.3,11.2
2003/4/13,17.7,26.2,13.1
2003/4/14,14.1,19.3,10.8
2003/4/15,11.1,12.9,9.7
2003/4/16,15.8,24.3,9.4
2003/4/17,18.3,26.4,13.5
2003/4/18,19.1,30.2,10.9
2003/4/19,18.3,22.3,14.7
2003/4/20,17.4,18.9,15.1
2003/4/21,17.3,24.0,9.5
2003/4/22,13.2,21.2,6.7
2003/4/23,14.1,17.7,11.4
2003/4/24,17.2,20.6,14.0
2003/4/25,18.3,20.8,16.6
2003/4/26,22.5,31.9,15.0
2003/4/27,17.2,23.5,14.0
2003/4/28,17.3,25.0,10.9
2003/4/29,18.2,26.3,11.3
2003/4/30,18.5,22.1,13.7
2003/5/1,15.1,22.6,9.7
