ダウンロードした時刻：2017/07/24 15:39:21

,高田,高田,高田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/1/1,5.0,9.4,3.1
1992/1/2,5.2,9.9,1.9
1992/1/3,4.8,9.3,3.0
1992/1/4,2.5,4.3,0.5
1992/1/5,5.2,10.8,1.6
1992/1/6,4.4,7.9,2.4
1992/1/7,7.2,11.6,2.5
1992/1/8,6.2,9.0,3.1
1992/1/9,4.2,5.7,2.6
1992/1/10,4.1,5.0,2.8
1992/1/11,4.0,9.5,-1.1
1992/1/12,4.8,12.1,-1.3
1992/1/13,6.4,10.7,3.4
1992/1/14,2.7,6.6,-0.2
1992/1/15,1.7,5.4,-0.6
1992/1/16,1.8,7.8,-1.7
1992/1/17,5.3,11.2,-1.9
1992/1/18,0.8,2.6,-0.1
1992/1/19,0.9,3.0,-1.8
1992/1/20,0.8,3.4,-2.2
1992/1/21,1.6,7.0,-1.7
1992/1/22,2.2,8.3,-1.9
1992/1/23,0.2,0.8,-0.4
1992/1/24,0.8,3.6,-1.2
1992/1/25,2.9,9.0,-1.8
1992/1/26,2.8,8.0,-1.3
1992/1/27,4.8,10.5,-2.4
1992/1/28,4.2,7.3,1.3
1992/1/29,5.2,10.0,1.8
1992/1/30,2.0,4.1,0.7
1992/1/31,1.9,4.1,0.2
1992/2/1,0.3,1.9,-1.6
1992/2/2,2.0,6.1,-0.6
1992/2/3,3.4,8.6,-0.8
1992/2/4,3.3,5.5,1.3
1992/2/5,1.7,4.2,-0.4
1992/2/6,1.5,6.4,-2.9
1992/2/7,2.6,6.1,0.3
1992/2/8,0.1,1.1,-0.7
1992/2/9,0.9,4.8,-2.4
1992/2/10,3.1,9.4,-2.3
1992/2/11,0.7,2.6,-2.9
1992/2/12,1.0,7.3,-5.4
1992/2/13,4.3,10.1,0.8
1992/2/14,1.3,3.4,-0.7
1992/2/15,4.1,11.1,-2.3
1992/2/16,2.6,7.6,0.6
1992/2/17,1.7,5.3,-1.6
1992/2/18,2.8,9.1,-2.1
1992/2/19,0.9,6.0,-0.9
1992/2/20,-0.2,2.2,-2.1
1992/2/21,-1.1,2.0,-3.2
1992/2/22,0.5,4.0,-1.0
1992/2/23,2.3,7.3,-1.2
1992/2/24,1.7,5.0,-2.3
1992/2/25,1.7,3.8,-0.4
1992/2/26,2.5,6.2,-0.3
1992/2/27,6.6,13.2,-0.6
1992/2/28,7.7,15.7,2.7
1992/2/29,8.5,12.7,4.8
1992/3/1,6.7,12.2,3.5
1992/3/2,3.9,5.5,2.0
1992/3/3,1.1,2.4,0.0
1992/3/4,2.2,7.6,-0.5
1992/3/5,3.4,6.5,-0.6
1992/3/6,4.8,6.5,3.2
1992/3/7,3.0,6.9,-0.8
1992/3/8,4.6,12.0,-1.1
1992/3/9,7.6,14.7,2.5
1992/3/10,7.8,13.4,4.7
1992/3/11,5.7,8.6,1.8
1992/3/12,7.3,14.5,-0.5
1992/3/13,9.2,15.5,3.3
1992/3/14,9.0,17.0,3.0
1992/3/15,8.9,11.7,6.8
1992/3/16,5.3,8.4,2.6
1992/3/17,4.0,8.0,2.1
1992/3/18,5.5,11.0,2.1
1992/3/19,6.3,9.7,3.5
1992/3/20,6.0,8.9,2.4
1992/3/21,1.6,4.8,0.3
1992/3/22,4.0,7.3,-0.2
1992/3/23,4.0,8.2,0.3
1992/3/24,6.8,11.7,3.6
1992/3/25,7.1,9.0,4.6
1992/3/26,6.9,10.3,1.9
1992/3/27,6.1,11.9,1.6
1992/3/28,7.5,13.9,0.0
1992/3/29,12.2,17.4,6.2
1992/3/30,9.9,13.0,8.7
1992/3/31,9.6,15.5,5.4
1992/4/1,11.8,15.8,5.4
1992/4/2,10.9,14.0,8.9
1992/4/3,11.5,17.2,7.3
1992/4/4,15.9,23.6,6.0
1992/4/5,11.6,16.6,8.4
1992/4/6,9.8,13.5,6.0
1992/4/7,8.4,9.7,4.4
1992/4/8,10.6,17.8,2.2
1992/4/9,12.7,16.1,9.8
1992/4/10,12.0,16.7,8.1
1992/4/11,11.6,15.4,8.1
1992/4/12,8.1,14.4,4.4
1992/4/13,7.2,13.0,1.8
1992/4/14,6.1,11.2,3.1
1992/4/15,10.4,15.4,2.1
1992/4/16,10.7,14.7,7.7
1992/4/17,8.1,12.2,5.4
1992/4/18,17.2,26.0,3.8
1992/4/19,13.4,19.3,7.2
1992/4/20,11.1,18.8,4.2
1992/4/21,13.2,21.6,3.1
1992/4/22,15.0,19.1,11.8
1992/4/23,15.5,20.9,10.8
1992/4/24,18.9,26.9,9.8
1992/4/25,12.7,18.0,5.8
1992/4/26,13.1,20.8,5.2
1992/4/27,15.9,26.0,5.8
1992/4/28,16.8,25.9,7.5
1992/4/29,13.6,18.7,8.6
1992/4/30,9.8,13.6,7.4
1992/5/1,11.1,17.3,6.4
