ダウンロードした時刻：2017/07/24 15:47:35

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/1/1,,,
1994/1/2,,,
1994/1/3,,,
1994/1/4,,,
1994/1/5,,,
1994/1/6,,,
1994/1/7,,,
1994/1/8,,,
1994/1/9,,,
1994/1/10,,,
1994/1/11,,,
1994/1/12,,,
1994/1/13,,,
1994/1/14,,,
1994/1/15,,,
1994/1/16,,,
1994/1/17,,,
1994/1/18,,,
1994/1/19,,,
1994/1/20,,,
1994/1/21,,,
1994/1/22,,,
1994/1/23,,,
1994/1/24,,,
1994/1/25,,,
1994/1/26,,,
1994/1/27,,,
1994/1/28,,,
1994/1/29,,,
1994/1/30,,,
1994/1/31,,,
1994/2/1,,,
1994/2/2,,,
1994/2/3,,,
1994/2/4,,,
1994/2/5,,,
1994/2/6,,,
1994/2/7,,,
1994/2/8,,,
1994/2/9,,,
1994/2/10,,,
1994/2/11,,,
1994/2/12,,,
1994/2/13,,,
1994/2/14,,,
1994/2/15,,,
1994/2/16,,,
1994/2/17,,,
1994/2/18,,,
1994/2/19,,,
1994/2/20,,,
1994/2/21,,,
1994/2/22,,,
1994/2/23,,,
1994/2/24,,,
1994/2/25,7.4,11.6,5.1
1994/2/26,7.9,13.9,3.4
1994/2/27,8.3,13.4,3.4
1994/2/28,10.7,16.1,6.8
1994/3/1,9.7,14.4,6.0
1994/3/2,9.2,15.0,5.5
1994/3/3,8.0,11.4,3.5
1994/3/4,8.7,14.9,2.5
1994/3/5,10.5,17.7,2.9
1994/3/6,12.0,17.3,5.3
1994/3/7,14.4,16.7,11.2
1994/3/8,16.7,20.2,13.9
1994/3/9,14.4,20.5,9.7
1994/3/10,8.2,11.6,4.6
1994/3/11,8.7,15.1,1.4
1994/3/12,13.2,17.9,9.5
1994/3/13,11.3,16.0,8.3
1994/3/14,7.7,10.3,5.6
1994/3/15,8.1,11.9,5.3
1994/3/16,7.3,11.5,2.6
1994/3/17,9.7,14.0,6.0
1994/3/18,9.8,16.5,3.5
1994/3/19,11.4,18.1,4.5
1994/3/20,14.0,20.0,9.9
1994/3/21,11.9,16.5,6.7
1994/3/22,13.0,16.4,11.1
1994/3/23,13.1,18.9,9.0
1994/3/24,9.9,15.4,5.7
1994/3/25,9.3,13.4,5.7
1994/3/26,7.8,10.8,4.8
1994/3/27,8.6,14.8,2.1
1994/3/28,10.9,17.0,3.3
1994/3/29,13.6,19.6,10.2
1994/3/30,12.8,19.5,7.0
1994/3/31,14.0,20.2,8.5
1994/4/1,14.2,18.5,10.3
1994/4/2,15.5,20.2,11.9
1994/4/3,16.0,22.5,9.4
1994/4/4,18.4,23.7,14.0
1994/4/5,17.4,19.0,15.9
1994/4/6,16.3,17.0,15.6
1994/4/7,18.1,19.6,16.3
1994/4/8,18.5,21.4,15.5
1994/4/9,14.7,17.3,12.9
1994/4/10,15.4,19.5,10.9
1994/4/11,16.7,19.4,13.7
1994/4/12,17.3,20.8,14.1
1994/4/13,14.6,18.9,11.0
1994/4/14,14.6,20.2,9.2
1994/4/15,15.4,19.0,11.1
1994/4/16,18.2,22.4,14.3
1994/4/17,20.3,24.5,16.5
1994/4/18,17.4,19.5,15.8
1994/4/19,18.7,21.0,17.0
1994/4/20,18.1,20.4,16.6
1994/4/21,19.1,21.4,17.2
1994/4/22,19.5,22.6,18.2
1994/4/23,18.5,20.7,16.8
1994/4/24,18.7,23.9,14.7
1994/4/25,17.5,20.0,15.3
1994/4/26,20.0,24.4,16.4
1994/4/27,19.7,24.7,14.9
1994/4/28,20.3,26.6,16.2
1994/4/29,18.6,24.8,12.7
1994/4/30,19.4,26.1,11.9
1994/5/1,20.9,26.7,15.1
