ダウンロードした時刻：2017/07/24 15:45:54

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/1/1,4.6,8.2,1.7
1986/1/2,2.2,7.1,-1.6
1986/1/3,3.4,9.1,-3.1
1986/1/4,5.3,10.8,0.7
1986/1/5,-0.7,3.4,-3.8
1986/1/6,-0.2,5.8,-5.7
1986/1/7,1.6,8.7,-3.9
1986/1/8,2.4,10.3,-1.6
1986/1/9,1.9,7.4,-2.0
1986/1/10,1.0,7.6,-3.6
1986/1/11,1.0,7.2,-4.0
1986/1/12,1.9,8.8,-3.3
1986/1/13,3.6,10.1,-0.7
1986/1/14,3.1,10.1,-2.4
1986/1/15,4.6,10.6,-1.0
1986/1/16,7.9,15.6,3.9
1986/1/17,6.3,13.9,0.2
1986/1/18,6.7,12.1,1.5
1986/1/19,6.5,9.6,3.2
1986/1/20,6.7,15.4,-1.0
1986/1/21,7.9,13.6,2.1
1986/1/22,4.7,9.4,-0.9
1986/1/23,3.2,10.1,-2.7
1986/1/24,4.2,12.1,-1.1
1986/1/25,2.7,8.2,-2.1
1986/1/26,2.2,9.6,-3.3
1986/1/27,1.3,8.3,-3.5
1986/1/28,2.9,11.1,-4.0
1986/1/29,4.1,11.6,-1.5
1986/1/30,4.2,8.3,-0.3
1986/1/31,7.7,14.6,2.5
1986/2/1,6.5,12.6,2.9
1986/2/2,5.9,12.0,2.2
1986/2/3,5.1,12.2,-0.5
1986/2/4,3.1,7.8,-0.5
1986/2/5,2.8,8.8,-3.0
1986/2/6,3.2,8.9,0.1
1986/2/7,2.5,8.6,-2.9
1986/2/8,2.7,7.8,-1.2
1986/2/9,2.7,9.7,-3.4
1986/2/10,3.8,9.8,-1.5
1986/2/11,3.1,7.8,0.2
1986/2/12,4.1,11.5,-2.7
1986/2/13,6.1,13.9,-1.4
1986/2/14,9.1,15.4,5.0
1986/2/15,7.0,11.4,2.3
1986/2/16,3.2,8.0,0.2
1986/2/17,4.1,10.1,-2.5
1986/2/18,6.0,11.0,3.4
1986/2/19,6.9,12.7,2.1
1986/2/20,6.2,13.1,-0.2
1986/2/21,5.4,11.4,0.2
1986/2/22,5.6,12.3,-0.5
1986/2/23,5.1,12.9,-1.1
1986/2/24,2.6,6.6,-0.1
1986/2/25,3.7,10.1,-2.1
1986/2/26,5.3,11.6,-2.0
1986/2/27,4.0,8.7,-0.2
1986/2/28,2.4,8.6,-2.1
1986/3/1,3.5,10.6,-2.2
1986/3/2,2.9,9.3,-2.6
1986/3/3,5.0,13.1,-2.8
1986/3/4,5.8,12.9,-1.1
1986/3/5,8.3,17.7,-0.7
1986/3/6,8.0,14.2,0.5
1986/3/7,9.6,17.1,2.9
1986/3/8,10.0,16.9,3.1
1986/3/9,12.6,19.8,4.9
1986/3/10,13.7,18.2,11.1
1986/3/11,10.7,16.1,6.5
1986/3/12,9.2,15.8,2.9
1986/3/13,10.7,17.5,3.4
1986/3/14,11.9,13.4,9.7
1986/3/15,13.6,15.0,12.5
1986/3/16,12.3,19.0,6.0
1986/3/17,8.0,14.2,3.8
1986/3/18,7.2,10.1,3.4
1986/3/19,12.8,21.0,7.8
1986/3/20,10.1,14.6,6.6
1986/3/21,9.7,15.9,3.8
1986/3/22,8.4,12.7,5.6
1986/3/23,8.4,11.8,6.1
1986/3/24,8.7,13.1,4.1
1986/3/25,8.1,15.6,0.6
1986/3/26,9.8,16.7,3.0
1986/3/27,10.2,15.5,5.2
1986/3/28,12.2,14.0,9.5
1986/3/29,13.8,20.0,11.0
1986/3/30,14.5,19.6,10.9
1986/3/31,12.8,17.8,8.2
1986/4/1,11.8,17.5,5.6
1986/4/2,12.8,20.2,4.8
1986/4/3,13.8,18.5,8.4
1986/4/4,13.0,17.0,10.9
1986/4/5,15.1,21.3,8.8
1986/4/6,13.2,21.6,4.8
1986/4/7,10.5,15.7,5.7
1986/4/8,11.0,17.0,2.9
1986/4/9,13.0,14.7,11.3
1986/4/10,19.9,26.0,14.5
1986/4/11,15.1,20.1,7.8
1986/4/12,11.1,17.3,4.4
1986/4/13,13.1,20.2,5.3
1986/4/14,15.5,21.7,8.7
1986/4/15,15.3,18.3,12.8
1986/4/16,15.4,20.7,9.8
1986/4/17,15.0,18.8,11.0
1986/4/18,13.6,15.2,12.3
1986/4/19,15.7,18.2,13.0
1986/4/20,18.6,23.0,14.5
1986/4/21,18.9,23.6,15.4
1986/4/22,16.9,19.6,13.6
1986/4/23,17.8,25.8,11.7
1986/4/24,17.7,23.6,10.8
1986/4/25,18.2,23.6,12.1
1986/4/26,19.9,25.2,14.0
1986/4/27,19.2,20.3,16.8
1986/4/28,17.9,21.2,16.0
1986/4/29,17.8,22.8,13.6
1986/4/30,18.1,22.6,12.6
1986/5/1,17.0,19.9,15.7
