ダウンロードした時刻：2017/07/24 15:44:54

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,7.8,11.0,4.6
2000/1/2,7.0,9.1,4.1
2000/1/3,9.1,12.6,5.2
2000/1/4,7.4,10.8,3.7
2000/1/5,8.6,10.7,5.9
2000/1/6,11.2,16.4,8.2
2000/1/7,9.0,11.9,3.4
2000/1/8,5.5,8.6,2.6
2000/1/9,7.1,9.0,5.2
2000/1/10,8.4,11.4,6.6
2000/1/11,6.5,8.2,5.5
2000/1/12,7.2,9.4,4.7
2000/1/13,9.8,11.4,9.1
2000/1/14,8.3,11.1,5.8
2000/1/15,7.5,10.4,4.9
2000/1/16,6.1,7.3,4.9
2000/1/17,7.5,9.9,5.5
2000/1/18,6.4,9.8,2.6
2000/1/19,5.3,9.7,2.0
2000/1/20,1.9,4.3,-0.3
2000/1/21,1.7,4.6,-0.1
2000/1/22,3.1,5.6,0.4
2000/1/23,6.0,7.6,4.1
2000/1/24,8.3,10.3,7.2
2000/1/25,4.3,8.0,2.2
2000/1/26,2.1,5.6,-0.1
2000/1/27,1.0,3.8,-0.9
2000/1/28,2.7,6.0,-1.9
2000/1/29,4.2,8.0,0.5
2000/1/30,6.2,8.4,4.1
2000/1/31,3.9,6.1,1.0
2000/2/1,3.2,6.5,-0.3
2000/2/2,4.9,8.8,1.8
2000/2/3,5.7,9.6,2.6
2000/2/4,5.0,7.9,2.9
2000/2/5,5.0,8.3,2.2
2000/2/6,6.2,7.2,4.7
2000/2/7,6.1,9.2,4.2
2000/2/8,2.7,6.8,0.1
2000/2/9,3.1,6.0,0.7
2000/2/10,4.0,8.4,0.1
2000/2/11,6.8,11.1,3.6
2000/2/12,6.8,10.9,3.3
2000/2/13,6.9,11.6,2.9
2000/2/14,7.1,10.5,4.8
2000/2/15,3.1,6.7,0.1
2000/2/16,1.7,4.9,0.0
2000/2/17,2.5,7.1,-1.5
2000/2/18,3.6,7.3,1.1
2000/2/19,3.0,5.3,1.0
2000/2/20,4.7,8.7,2.8
2000/2/21,3.8,7.8,2.5
2000/2/22,3.6,6.3,0.0
2000/2/23,3.8,6.5,0.0
2000/2/24,4.7,9.2,0.4
2000/2/25,2.1,5.7,-1.1
2000/2/26,2.2,4.5,0.5
2000/2/27,3.5,7.1,0.6
2000/2/28,4.5,9.7,-0.1
2000/2/29,2.2,5.6,-0.9
2000/3/1,4.4,9.1,-0.1
2000/3/2,7.0,12.0,2.7
2000/3/3,9.4,13.4,4.4
2000/3/4,9.2,12.6,7.4
2000/3/5,9.5,13.0,6.3
2000/3/6,8.4,13.2,4.5
2000/3/7,8.4,12.5,4.1
2000/3/8,4.2,9.1,0.4
2000/3/9,4.6,8.2,0.7
2000/3/10,5.2,9.9,0.9
2000/3/11,4.9,7.7,2.8
2000/3/12,6.1,10.7,2.8
2000/3/13,7.8,13.0,3.5
2000/3/14,6.9,12.6,2.5
2000/3/15,8.0,11.3,4.0
2000/3/16,9.7,15.1,6.2
2000/3/17,6.9,10.8,4.1
2000/3/18,8.3,11.7,3.2
2000/3/19,9.8,12.8,7.1
2000/3/20,6.9,10.4,3.7
2000/3/21,6.9,11.1,2.7
2000/3/22,8.3,12.8,5.2
2000/3/23,9.9,16.4,3.5
2000/3/24,8.6,11.5,5.4
2000/3/25,7.2,10.9,5.1
2000/3/26,8.4,13.0,4.8
2000/3/27,9.7,14.9,4.2
2000/3/28,12.6,16.6,8.6
2000/3/29,9.7,13.1,7.5
2000/3/30,10.8,15.5,7.9
2000/3/31,9.9,13.9,7.7
2000/4/1,10.1,14.7,7.0
2000/4/2,9.9,12.3,6.8
2000/4/3,11.6,14.3,9.3
2000/4/4,12.2,16.0,8.8
2000/4/5,11.7,15.0,9.9
2000/4/6,11.5,15.8,8.7
2000/4/7,12.8,19.2,7.2
2000/4/8,12.7,16.6,8.5
2000/4/9,12.4,18.4,6.2
2000/4/10,13.8,16.4,9.3
2000/4/11,10.4,14.5,6.4
2000/4/12,13.6,19.2,8.9
2000/4/13,14.8,19.2,10.1
2000/4/14,17.3,23.2,12.6
2000/4/15,10.2,13.9,7.8
2000/4/16,10.0,14.1,7.4
2000/4/17,11.7,17.1,6.5
2000/4/18,15.4,21.9,9.8
2000/4/19,16.1,19.7,13.8
2000/4/20,15.1,18.5,12.8
2000/4/21,13.7,17.4,11.7
2000/4/22,15.8,20.7,11.4
2000/4/23,15.4,18.9,12.1
2000/4/24,14.2,18.7,10.5
2000/4/25,15.6,20.5,10.8
2000/4/26,12.5,16.1,11.5
2000/4/27,14.0,19.8,10.8
2000/4/28,11.9,15.5,8.4
2000/4/29,13.2,18.6,7.3
2000/4/30,14.7,21.4,10.7
2000/5/1,16.7,22.0,13.5
