ダウンロードした時刻：2017/07/24 15:36:21

,室蘭,室蘭,室蘭
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/1/1,-1.0,1.8,-4.3
1998/1/2,-3.6,-2.2,-4.6
1998/1/3,-0.6,2.8,-4.1
1998/1/4,-3.3,-1.9,-4.9
1998/1/5,-4.4,-2.8,-6.0
1998/1/6,-3.6,-1.0,-6.8
1998/1/7,-9.9,-5.8,-11.4
1998/1/8,-8.8,-6.3,-11.3
1998/1/9,-5.2,-2.5,-8.9
1998/1/10,-4.5,-2.6,-7.2
1998/1/11,-2.0,1.2,-3.8
1998/1/12,-2.4,0.0,-5.5
1998/1/13,-1.2,0.9,-3.2
1998/1/14,-5.8,-2.5,-8.4
1998/1/15,-5.2,-2.8,-8.9
1998/1/16,-3.9,-1.7,-6.2
1998/1/17,-1.7,0.3,-4.5
1998/1/18,1.4,3.3,-0.6
1998/1/19,-4.2,1.8,-7.3
1998/1/20,-5.6,-4.0,-8.1
1998/1/21,-5.6,-3.7,-7.3
1998/1/22,-6.3,-5.1,-7.6
1998/1/23,-5.6,-3.0,-7.2
1998/1/24,-6.2,-3.8,-7.8
1998/1/25,-5.4,-2.9,-7.5
1998/1/26,-5.8,-3.4,-7.3
1998/1/27,-6.2,-3.6,-8.3
1998/1/28,-6.1,-4.4,-7.6
1998/1/29,-5.0,-2.5,-7.3
1998/1/30,-1.6,1.2,-4.9
1998/1/31,-2.5,1.0,-5.1
1998/2/1,-3.5,-2.5,-4.3
1998/2/2,-1.3,0.5,-3.4
1998/2/3,-2.0,1.1,-7.2
1998/2/4,-7.3,-4.7,-8.7
1998/2/5,-5.8,-3.0,-8.4
1998/2/6,-5.2,-2.2,-9.8
1998/2/7,-7.0,-3.2,-10.9
1998/2/8,-1.4,0.4,-3.2
1998/2/9,-0.8,1.2,-2.4
1998/2/10,-2.3,-0.4,-4.8
1998/2/11,-3.2,-0.7,-5.4
1998/2/12,0.4,3.3,-3.0
1998/2/13,-0.8,0.6,-2.0
1998/2/14,-2.1,1.2,-3.7
1998/2/15,-4.6,-2.7,-6.6
1998/2/16,-4.0,-0.6,-6.2
1998/2/17,-3.7,-0.5,-5.9
1998/2/18,-3.8,-1.0,-7.5
1998/2/19,1.9,4.7,-2.8
1998/2/20,2.7,5.4,-2.6
1998/2/21,-4.8,-2.6,-7.2
1998/2/22,-3.3,0.1,-8.2
1998/2/23,0.4,4.2,-2.5
1998/2/24,-1.4,1.5,-4.3
1998/2/25,-0.2,1.3,-1.7
1998/2/26,0.6,1.5,-0.3
1998/2/27,0.8,1.4,-0.1
1998/2/28,1.3,4.0,-0.7
1998/3/1,0.8,3.9,-0.9
1998/3/2,2.6,7.3,-2.4
1998/3/3,3.4,7.8,-0.3
1998/3/4,0.7,4.2,-1.7
1998/3/5,0.7,5.4,-3.1
1998/3/6,3.1,7.8,-1.7
1998/3/7,0.0,3.9,-2.2
1998/3/8,0.7,3.9,-3.0
1998/3/9,-0.1,2.9,-3.8
1998/3/10,-1.6,2.2,-4.6
1998/3/11,0.7,6.1,-3.1
1998/3/12,1.1,3.7,-1.0
1998/3/13,2.5,4.6,1.2
1998/3/14,2.0,5.6,-1.7
1998/3/15,-1.2,2.4,-3.2
1998/3/16,-3.1,-0.9,-4.2
1998/3/17,-0.3,3.8,-4.4
1998/3/18,2.1,6.1,-0.5
1998/3/19,3.3,8.6,1.5
1998/3/20,3.9,8.6,-0.4
1998/3/21,0.1,2.0,-1.5
1998/3/22,-0.9,2.9,-3.0
1998/3/23,0.4,3.1,-3.0
1998/3/24,3.9,6.9,0.3
1998/3/25,5.4,9.9,1.9
1998/3/26,5.4,10.4,0.7
1998/3/27,4.7,7.2,2.8
1998/3/28,7.5,12.1,2.7
1998/3/29,7.4,12.0,3.6
1998/3/30,4.5,8.2,1.4
1998/3/31,1.2,5.0,-2.3
1998/4/1,0.9,5.2,-2.2
1998/4/2,0.7,3.6,-0.3
1998/4/3,4.3,9.3,-0.1
1998/4/4,7.0,10.7,3.1
1998/4/5,7.0,10.7,1.8
1998/4/6,4.5,9.5,0.9
1998/4/7,6.2,12.1,1.0
1998/4/8,7.5,12.0,2.3
1998/4/9,2.2,3.8,1.4
1998/4/10,6.1,9.1,3.0
1998/4/11,7.1,12.6,3.3
1998/4/12,3.8,8.1,0.8
1998/4/13,7.8,13.6,3.9
1998/4/14,10.6,17.8,5.2
1998/4/15,4.7,7.5,2.7
1998/4/16,4.2,7.2,2.8
1998/4/17,3.6,8.5,1.2
1998/4/18,3.5,6.5,1.4
1998/4/19,7.3,11.5,3.2
1998/4/20,12.9,18.7,6.5
1998/4/21,16.6,21.7,13.0
1998/4/22,14.9,21.2,8.0
1998/4/23,9.4,12.7,6.4
1998/4/24,7.6,9.7,5.8
1998/4/25,8.7,11.3,5.1
1998/4/26,4.7,6.4,3.2
1998/4/27,3.7,4.3,2.9
1998/4/28,6.6,10.1,3.6
1998/4/29,11.9,18.3,8.3
1998/4/30,9.1,12.0,5.3
1998/5/1,6.2,8.7,4.0
