ダウンロードした時刻：2017/07/24 15:45:16

,奈良,奈良,奈良
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,4.5,9.7,-0.2
1985/1/2,3.7,9.8,-0.8
1985/1/3,3.3,6.2,1.1
1985/1/4,2.7,6.6,0.8
1985/1/5,1.4,6.8,-1.9
1985/1/6,2.7,7.6,-2.0
1985/1/7,2.4,7.1,-2.3
1985/1/8,1.1,7.1,-4.0
1985/1/9,2.0,9.1,-3.5
1985/1/10,3.5,8.3,-1.1
1985/1/11,2.5,8.4,-2.3
1985/1/12,4.5,9.4,-2.1
1985/1/13,2.8,5.5,0.0
1985/1/14,-0.9,2.8,-3.1
1985/1/15,-0.1,5.2,-5.4
1985/1/16,3.6,9.0,-1.6
1985/1/17,1.1,6.9,-2.3
1985/1/18,0.6,5.4,-3.8
1985/1/19,3.0,11.0,-5.0
1985/1/20,5.3,10.7,2.4
1985/1/21,2.4,6.6,-1.3
1985/1/22,3.2,10.8,-3.1
1985/1/23,4.3,9.2,-0.7
1985/1/24,2.7,6.8,-3.0
1985/1/25,1.0,6.5,-3.0
1985/1/26,1.5,7.1,-2.5
1985/1/27,2.9,10.4,-4.8
1985/1/28,4.0,7.1,0.8
1985/1/29,0.8,5.4,-3.2
1985/1/30,-1.1,2.9,-3.5
1985/1/31,1.2,5.6,-3.9
1985/2/1,5.0,8.4,-0.6
1985/2/2,6.6,12.1,0.9
1985/2/3,6.1,11.7,0.0
1985/2/4,5.6,12.0,-0.2
1985/2/5,5.4,8.4,3.7
1985/2/6,6.6,9.0,4.7
1985/2/7,6.9,13.9,2.7
1985/2/8,5.7,10.9,-0.6
1985/2/9,11.3,13.7,8.6
1985/2/10,7.6,11.6,3.5
1985/2/11,4.9,10.7,1.9
1985/2/12,5.3,11.6,-1.5
1985/2/13,5.9,12.2,1.7
1985/2/14,1.7,5.2,-1.0
1985/2/15,3.1,8.6,-2.2
1985/2/16,3.4,4.6,1.0
1985/2/17,4.4,8.2,2.3
1985/2/18,6.0,10.2,2.0
1985/2/19,5.1,7.8,3.9
1985/2/20,6.4,8.2,4.7
1985/2/21,3.1,6.6,-1.1
1985/2/22,0.8,4.1,-1.2
1985/2/23,2.2,6.0,-0.4
1985/2/24,1.8,5.5,-1.8
1985/2/25,2.6,7.1,-0.2
1985/2/26,2.8,7.4,-1.2
1985/2/27,4.9,10.0,-0.6
1985/2/28,7.5,10.9,3.3
1985/3/1,7.9,11.8,4.8
1985/3/2,6.2,9.7,2.8
1985/3/3,5.0,8.5,-0.1
1985/3/4,4.1,11.5,-1.8
1985/3/5,5.2,9.4,0.6
1985/3/6,6.0,12.2,0.0
1985/3/7,7.4,13.7,0.9
1985/3/8,10.9,16.4,6.6
1985/3/9,7.8,13.3,3.4
1985/3/10,5.6,9.5,0.8
1985/3/11,5.2,8.8,3.2
1985/3/12,4.7,8.5,0.7
1985/3/13,5.4,11.3,-0.7
1985/3/14,5.8,9.0,2.9
1985/3/15,4.6,10.0,0.2
1985/3/16,7.9,15.8,-0.6
1985/3/17,8.8,11.5,7.0
1985/3/18,10.5,16.1,7.9
1985/3/19,6.9,8.8,5.4
1985/3/20,9.4,14.4,4.0
1985/3/21,7.2,10.3,3.3
1985/3/22,6.9,14.0,1.4
1985/3/23,7.0,15.9,0.5
1985/3/24,9.8,18.3,0.6
1985/3/25,12.2,17.6,6.3
1985/3/26,11.2,15.1,6.2
1985/3/27,10.8,14.5,6.7
1985/3/28,11.6,18.0,7.0
1985/3/29,11.5,18.9,5.3
1985/3/30,7.3,11.5,4.9
1985/3/31,5.6,9.9,1.9
1985/4/1,6.9,13.7,2.3
1985/4/2,9.4,17.9,-0.6
1985/4/3,13.2,15.9,7.6
1985/4/4,13.9,16.8,10.1
1985/4/5,11.6,16.5,7.9
1985/4/6,11.4,18.5,3.3
1985/4/7,11.4,14.7,9.7
1985/4/8,16.0,23.6,9.8
1985/4/9,16.4,26.5,7.2
1985/4/10,16.3,24.3,8.9
1985/4/11,14.0,17.1,12.6
1985/4/12,12.6,15.7,10.2
1985/4/13,14.4,21.0,11.6
1985/4/14,15.0,20.3,11.0
1985/4/15,12.6,15.4,10.1
1985/4/16,11.4,18.5,5.8
1985/4/17,12.6,21.2,2.3
1985/4/18,12.8,20.1,6.8
1985/4/19,14.8,22.3,3.5
1985/4/20,15.2,21.5,9.8
1985/4/21,15.5,24.6,6.3
1985/4/22,16.3,23.3,10.5
1985/4/23,18.1,24.9,13.5
1985/4/24,13.9,19.2,7.7
1985/4/25,15.1,25.5,5.5
1985/4/26,17.7,25.1,8.8
1985/4/27,13.9,20.4,8.6
1985/4/28,13.1,21.1,5.3
1985/4/29,14.5,24.0,5.5
1985/4/30,17.1,27.6,7.0
1985/5/1,18.0,26.9,9.7
