ダウンロードした時刻：2017/07/24 15:45:53

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,6.4,13.0,1.3
1983/1/2,6.6,12.1,1.2
1983/1/3,7.1,12.1,3.4
1983/1/4,6.0,12.3,-0.5
1983/1/5,9.3,11.0,5.8
1983/1/6,12.0,17.1,9.0
1983/1/7,12.0,15.7,8.6
1983/1/8,10.3,13.0,6.0
1983/1/9,5.5,10.1,2.1
1983/1/10,2.6,8.1,-1.0
1983/1/11,3.0,8.9,-2.9
1983/1/12,5.4,9.0,2.4
1983/1/13,5.1,11.3,2.0
1983/1/14,4.3,10.0,-0.3
1983/1/15,5.1,11.9,-1.1
1983/1/16,6.3,13.6,0.4
1983/1/17,6.5,11.5,1.0
1983/1/18,9.5,16.1,6.4
1983/1/19,5.5,10.2,1.4
1983/1/20,2.4,7.2,-1.6
1983/1/21,1.4,7.5,-3.3
1983/1/22,1.7,6.2,-1.5
1983/1/23,2.2,7.9,-2.6
1983/1/24,4.4,12.0,-2.2
1983/1/25,4.7,12.4,-1.2
1983/1/26,6.0,14.9,-1.0
1983/1/27,7.0,14.2,0.7
1983/1/28,8.2,15.9,1.7
1983/1/29,7.8,15.9,0.1
1983/1/30,9.6,17.6,5.0
1983/1/31,7.1,14.1,1.9
1983/2/1,8.0,12.2,2.7
1983/2/2,13.6,18.9,10.0
1983/2/3,8.9,12.0,4.9
1983/2/4,5.8,12.2,0.0
1983/2/5,6.6,14.1,0.3
1983/2/6,7.5,16.1,1.2
1983/2/7,8.1,12.8,2.5
1983/2/8,4.7,10.2,-0.7
1983/2/9,6.4,10.6,0.9
1983/2/10,4.4,9.2,0.4
1983/2/11,4.0,10.8,-2.8
1983/2/12,3.8,9.5,-0.7
1983/2/13,1.7,8.3,-3.4
1983/2/14,3.5,9.8,-2.3
1983/2/15,8.8,16.8,2.8
1983/2/16,7.7,13.0,1.0
1983/2/17,7.0,9.7,3.2
1983/2/18,3.0,7.6,-0.3
1983/2/19,2.0,7.1,-1.3
1983/2/20,2.5,8.9,-2.3
1983/2/21,3.3,10.5,-2.4
1983/2/22,3.8,11.0,-2.6
1983/2/23,5.6,11.4,-1.5
1983/2/24,8.9,14.9,6.2
1983/2/25,7.1,12.8,2.6
1983/2/26,6.1,13.5,0.1
1983/2/27,6.0,13.2,-0.5
1983/2/28,7.0,14.0,-0.2
1983/3/1,7.2,9.3,3.1
1983/3/2,13.6,18.1,9.3
1983/3/3,11.8,16.9,7.3
1983/3/4,8.8,12.7,6.3
1983/3/5,6.6,11.1,2.6
1983/3/6,6.4,14.7,-0.4
1983/3/7,6.3,13.0,0.4
1983/3/8,5.3,9.8,1.7
1983/3/9,6.7,12.6,0.0
1983/3/10,10.1,15.4,7.0
1983/3/11,10.1,17.8,3.6
1983/3/12,9.4,13.8,4.9
1983/3/13,11.3,19.3,7.5
1983/3/14,6.8,10.7,3.8
1983/3/15,7.9,13.6,0.9
1983/3/16,7.8,9.0,5.8
1983/3/17,8.3,12.6,4.5
1983/3/18,6.8,11.8,2.6
1983/3/19,7.0,13.4,-0.5
1983/3/20,11.0,17.5,2.7
1983/3/21,13.8,17.5,11.3
1983/3/22,14.4,20.4,8.8
1983/3/23,14.7,17.1,12.1
1983/3/24,14.4,18.5,9.0
1983/3/25,11.5,16.5,7.1
1983/3/26,9.6,13.0,7.4
1983/3/27,11.3,15.1,8.6
1983/3/28,12.1,14.5,10.3
1983/3/29,11.7,13.8,9.8
1983/3/30,13.1,18.9,10.0
1983/3/31,12.3,13.7,11.4
1983/4/1,12.3,16.8,8.3
1983/4/2,13.1,19.0,5.7
1983/4/3,12.5,18.0,7.8
1983/4/4,14.3,19.2,8.8
1983/4/5,13.8,20.6,8.1
1983/4/6,14.3,21.2,6.6
1983/4/7,13.2,16.5,10.7
1983/4/8,16.8,22.8,12.2
1983/4/9,16.0,20.5,10.2
1983/4/10,16.1,17.6,14.1
1983/4/11,17.5,21.2,15.5
1983/4/12,19.6,25.2,15.2
1983/4/13,16.8,21.4,11.4
1983/4/14,16.5,19.2,15.3
1983/4/15,20.4,24.5,16.0
1983/4/16,17.5,20.9,15.3
1983/4/17,15.9,18.5,14.0
1983/4/18,16.9,22.3,10.3
1983/4/19,18.3,20.9,15.3
1983/4/20,20.3,25.6,15.6
1983/4/21,16.2,21.0,10.7
1983/4/22,18.2,23.8,14.7
1983/4/23,16.8,23.2,11.7
1983/4/24,17.5,24.2,11.9
1983/4/25,18.1,25.2,10.9
1983/4/26,18.7,24.6,12.2
1983/4/27,22.1,26.2,17.5
1983/4/28,22.1,24.9,20.6
1983/4/29,20.3,24.1,13.8
1983/4/30,16.3,22.3,12.7
1983/5/1,14.0,15.3,12.0
