ダウンロードした時刻：2017/07/24 15:44:21

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/1/1,9.8,14.2,5.5
1997/1/2,5.4,10.5,3.0
1997/1/3,4.8,7.7,2.7
1997/1/4,4.6,8.4,1.4
1997/1/5,1.7,3.2,-0.5
1997/1/6,4.0,7.3,1.9
1997/1/7,5.1,9.5,0.8
1997/1/8,4.8,7.7,3.0
1997/1/9,4.7,8.3,1.3
1997/1/10,5.4,9.4,1.1
1997/1/11,5.2,9.6,0.9
1997/1/12,4.4,9.5,-0.6
1997/1/13,4.8,10.2,-0.5
1997/1/14,5.5,11.5,0.4
1997/1/15,5.7,9.8,1.2
1997/1/16,5.4,10.3,0.2
1997/1/17,6.6,11.6,1.5
1997/1/18,7.4,12.3,4.1
1997/1/19,5.8,10.0,2.4
1997/1/20,5.8,11.1,-0.3
1997/1/21,3.2,8.5,-3.7
1997/1/22,0.4,4.6,-4.9
1997/1/23,5.1,8.4,1.0
1997/1/24,4.4,5.7,3.2
1997/1/25,4.2,7.4,1.8
1997/1/26,6.0,10.4,1.3
1997/1/27,7.1,11.6,3.8
1997/1/28,5.0,9.4,1.1
1997/1/29,2.9,6.6,0.1
1997/1/30,2.8,6.8,-0.5
1997/1/31,2.8,7.0,-0.1
1997/2/1,3.7,8.7,0.5
1997/2/2,1.7,4.7,0.4
1997/2/3,3.3,8.6,1.0
1997/2/4,3.4,6.7,0.5
1997/2/5,4.5,8.6,0.9
1997/2/6,5.2,10.4,1.9
1997/2/7,5.6,8.6,3.1
1997/2/8,6.2,10.6,2.2
1997/2/9,6.7,12.8,0.7
1997/2/10,7.0,12.7,1.4
1997/2/11,3.6,6.4,1.2
1997/2/12,3.2,7.4,-0.1
1997/2/13,2.8,7.5,-1.3
1997/2/14,4.2,9.9,-1.7
1997/2/15,4.8,9.6,0.5
1997/2/16,6.5,11.6,4.6
1997/2/17,5.4,8.6,3.4
1997/2/18,3.9,8.6,0.3
1997/2/19,3.4,7.6,-0.6
1997/2/20,5.7,10.6,-0.5
1997/2/21,4.8,8.3,-0.2
1997/2/22,1.2,5.2,-1.8
1997/2/23,3.1,9.4,-3.2
1997/2/24,6.4,14.1,-0.8
1997/2/25,6.3,9.6,2.1
1997/2/26,9.6,12.6,6.8
1997/2/27,8.0,13.0,2.6
1997/2/28,9.8,16.6,2.1
1997/3/1,9.9,14.0,4.5
1997/3/2,6.9,11.6,0.8
1997/3/3,7.7,10.9,5.4
1997/3/4,7.3,12.1,2.0
1997/3/5,9.0,15.5,2.0
1997/3/6,11.4,18.0,3.8
1997/3/7,14.8,20.7,10.2
1997/3/8,11.1,16.7,4.5
1997/3/9,10.7,17.4,4.3
1997/3/10,7.3,10.9,3.3
1997/3/11,10.3,15.3,5.8
1997/3/12,8.1,12.4,3.3
1997/3/13,9.7,12.8,5.7
1997/3/14,12.5,14.2,11.3
1997/3/15,11.5,15.8,8.8
1997/3/16,9.6,13.3,7.1
1997/3/17,8.7,13.0,5.1
1997/3/18,7.9,13.8,1.0
1997/3/19,9.5,12.5,7.0
1997/3/20,7.8,12.6,3.7
1997/3/21,7.2,9.4,3.9
1997/3/22,11.4,15.9,8.1
1997/3/23,9.0,14.9,5.0
1997/3/24,6.3,11.0,2.2
1997/3/25,8.7,16.1,0.7
1997/3/26,10.6,16.1,5.4
1997/3/27,11.2,15.6,7.8
1997/3/28,11.3,17.6,4.7
1997/3/29,12.1,13.8,9.2
1997/3/30,12.3,16.2,6.5
1997/3/31,9.3,15.2,2.7
1997/4/1,10.7,16.8,3.9
1997/4/2,11.4,13.0,8.7
1997/4/3,14.9,16.8,12.3
1997/4/4,14.1,15.1,13.2
1997/4/5,16.0,19.6,13.7
1997/4/6,14.8,16.4,13.3
1997/4/7,12.6,15.9,9.9
1997/4/8,13.2,19.3,6.0
1997/4/9,15.2,19.7,11.5
1997/4/10,13.1,17.9,7.1
1997/4/11,13.3,18.0,7.8
1997/4/12,14.1,19.5,7.8
1997/4/13,15.4,21.4,7.7
1997/4/14,16.6,22.7,9.0
1997/4/15,14.2,16.1,10.8
1997/4/16,12.5,18.4,6.2
1997/4/17,13.8,21.4,6.6
1997/4/18,15.9,22.8,10.8
1997/4/19,15.7,20.7,10.5
1997/4/20,14.7,20.7,7.6
1997/4/21,14.4,17.0,11.6
1997/4/22,15.9,19.9,13.1
1997/4/23,13.7,17.2,10.1
1997/4/24,13.6,19.5,8.5
1997/4/25,11.7,20.6,6.7
1997/4/26,14.3,23.4,5.8
1997/4/27,17.2,24.7,8.9
1997/4/28,16.2,18.0,14.3
1997/4/29,19.3,26.5,12.4
1997/4/30,16.6,19.2,13.9
1997/5/1,18.0,25.2,11.2
