ダウンロードした時刻：2017/07/24 15:37:49

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/1/1,-1.2,2.7,-6.0
2012/1/2,-0.5,4.2,-5.2
2012/1/3,-0.6,2.8,-4.3
2012/1/4,-2.9,-0.3,-6.2
2012/1/5,-1.6,0.6,-4.1
2012/1/6,-0.2,1.9,-2.0
2012/1/7,-1.1,2.9,-3.8
2012/1/8,-1.6,2.3,-4.8
2012/1/9,-2.3,1.2,-6.3
2012/1/10,-0.5,2.5,-4.0
2012/1/11,-2.8,-0.5,-6.4
2012/1/12,-3.9,1.0,-8.1
2012/1/13,-2.0,-0.4,-4.8
2012/1/14,-2.6,-1.2,-5.8
2012/1/15,-1.9,0.5,-4.4
2012/1/16,-2.6,0.1,-4.8
2012/1/17,-1.7,2.1,-5.3
2012/1/18,0.0,4.6,-4.7
2012/1/19,-0.5,2.8,-3.7
2012/1/20,1.3,3.0,-1.5
2012/1/21,0.3,1.9,-0.8
2012/1/22,1.2,3.0,-0.2
2012/1/23,0.3,3.5,-2.7
2012/1/24,-2.2,0.8,-4.7
2012/1/25,-3.3,-0.5,-4.9
2012/1/26,-4.1,-1.0,-6.1
2012/1/27,-3.8,-2.0,-4.7
2012/1/28,-4.7,-2.1,-6.6
2012/1/29,-4.6,-1.5,-7.8
2012/1/30,-3.7,-0.5,-7.0
2012/1/31,-3.2,-1.1,-4.9
2012/2/1,-3.3,1.8,-9.0
2012/2/2,-3.7,-0.9,-6.0
2012/2/3,-3.2,-0.2,-6.7
2012/2/4,-1.3,1.2,-3.5
2012/2/5,-1.9,2.2,-6.8
2012/2/6,-2.3,2.0,-8.5
2012/2/7,1.6,4.0,0.2
2012/2/8,-2.4,1.0,-4.7
2012/2/9,-3.4,-1.3,-4.2
2012/2/10,-3.3,0.6,-7.1
2012/2/11,-4.7,-1.3,-7.8
2012/2/12,-3.4,0.2,-6.2
2012/2/13,-1.8,2.6,-7.7
2012/2/14,-0.1,3.3,-3.2
2012/2/15,-0.2,5.2,-4.6
2012/2/16,-2.6,0.9,-5.4
2012/2/17,-4.2,0.1,-7.2
2012/2/18,-4.5,-0.8,-8.0
2012/2/19,-3.6,0.6,-7.5
2012/2/20,-1.4,2.3,-7.3
2012/2/21,0.7,3.9,-2.9
2012/2/22,-1.9,2.9,-6.3
2012/2/23,1.8,8.0,-3.6
2012/2/24,2.0,4.5,-1.8
2012/2/25,-0.4,0.7,-1.5
2012/2/26,-1.3,1.2,-4.3
2012/2/27,-3.3,-0.1,-7.1
2012/2/28,-3.4,2.0,-9.4
2012/2/29,-2.1,1.3,-4.7
2012/3/1,0.0,6.9,-5.9
2012/3/2,-0.7,0.7,-3.4
2012/3/3,0.3,3.9,-3.8
2012/3/4,-0.9,3.4,-6.6
2012/3/5,0.6,2.7,-1.2
2012/3/6,3.6,6.8,0.9
2012/3/7,5.2,8.5,0.1
2012/3/8,2.7,7.2,-1.7
2012/3/9,3.3,6.9,0.4
2012/3/10,1.3,2.8,0.1
2012/3/11,2.6,8.0,-0.6
2012/3/12,1.2,5.4,-1.1
2012/3/13,0.4,3.5,-2.0
2012/3/14,1.4,6.2,-3.6
2012/3/15,1.9,5.0,-0.7
2012/3/16,2.5,7.2,-1.3
2012/3/17,3.1,6.2,-0.6
2012/3/18,4.4,6.9,2.5
2012/3/19,0.5,3.6,-2.1
2012/3/20,1.5,6.4,-0.8
2012/3/21,1.6,4.7,-2.2
2012/3/22,5.5,11.4,-1.2
2012/3/23,4.3,8.6,0.2
2012/3/24,3.5,9.4,0.2
2012/3/25,3.0,7.0,0.4
2012/3/26,0.8,4.6,-1.5
2012/3/27,4.8,9.2,-0.6
2012/3/28,5.9,9.9,3.0
2012/3/29,6.4,13.7,-0.5
2012/3/30,9.3,18.4,2.2
2012/3/31,6.0,10.5,0.3
2012/4/1,3.0,8.4,-1.2
2012/4/2,4.2,9.5,1.1
2012/4/3,6.6,16.3,-0.7
2012/4/4,3.8,6.4,0.9
2012/4/5,3.9,11.0,0.3
2012/4/6,2.0,5.5,-0.2
2012/4/7,1.4,6.0,-0.5
2012/4/8,3.9,9.7,-0.1
2012/4/9,8.4,16.0,0.8
2012/4/10,8.5,17.7,0.0
2012/4/11,8.8,14.4,4.6
2012/4/12,9.8,14.9,6.1
2012/4/13,10.3,16.4,4.6
2012/4/14,8.0,12.5,4.3
2012/4/15,9.0,17.9,1.8
2012/4/16,9.4,16.8,1.9
2012/4/17,10.8,18.3,5.4
2012/4/18,11.0,16.7,7.4
2012/4/19,11.1,17.8,6.5
2012/4/20,10.2,15.7,7.0
2012/4/21,9.9,16.1,6.1
2012/4/22,9.3,12.8,4.8
2012/4/23,12.3,17.0,8.7
2012/4/24,13.1,19.4,9.4
2012/4/25,12.7,20.6,8.2
2012/4/26,15.4,22.6,8.7
2012/4/27,12.0,13.9,10.4
2012/4/28,15.0,23.9,8.7
2012/4/29,17.6,29.0,7.6
2012/4/30,17.1,24.7,10.2
2012/5/1,19.4,28.0,10.4
