ダウンロードした時刻：2017/07/24 15:41:10

,飯田,飯田,飯田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,2.6,8.5,-2.4
1996/1/2,0.2,8.1,-6.0
1996/1/3,2.4,10.8,-5.5
1996/1/4,1.2,6.5,-3.4
1996/1/5,0.0,8.6,-6.9
1996/1/6,1.8,10.5,-4.5
1996/1/7,1.0,9.8,-4.9
1996/1/8,2.5,8.5,-2.4
1996/1/9,-3.2,-1.0,-4.9
1996/1/10,-0.5,2.5,-3.7
1996/1/11,0.6,8.5,-4.9
1996/1/12,0.3,8.7,-6.2
1996/1/13,1.5,11.1,-4.4
1996/1/14,0.2,6.6,-5.8
1996/1/15,8.7,13.0,3.9
1996/1/16,9.8,13.0,3.4
1996/1/17,3.5,8.5,-2.1
1996/1/18,3.4,7.6,-0.4
1996/1/19,2.7,7.7,-0.9
1996/1/20,3.6,10.0,-0.4
1996/1/21,3.5,9.6,-1.9
1996/1/22,0.2,3.3,-3.3
1996/1/23,2.2,7.7,-0.7
1996/1/24,-1.1,1.8,-4.0
1996/1/25,-2.0,3.7,-7.8
1996/1/26,-1.6,3.9,-5.9
1996/1/27,-2.6,6.5,-9.4
1996/1/28,-0.9,7.8,-8.5
1996/1/29,1.0,3.9,-1.4
1996/1/30,-0.8,3.1,-3.4
1996/1/31,-2.1,2.6,-5.1
1996/2/1,-2.8,-0.3,-4.6
1996/2/2,-5.1,-2.4,-10.1
1996/2/3,-4.8,3.7,-12.9
1996/2/4,-2.5,6.4,-10.3
1996/2/5,-0.1,7.7,-6.3
1996/2/6,-1.9,0.6,-3.5
1996/2/7,-0.9,7.2,-7.6
1996/2/8,0.8,8.4,-6.7
1996/2/9,2.1,7.1,-1.8
1996/2/10,-1.8,3.5,-5.7
1996/2/11,-0.5,9.7,-9.2
1996/2/12,4.0,13.0,-5.0
1996/2/13,6.0,11.3,0.2
1996/2/14,9.0,20.0,1.7
1996/2/15,7.9,19.5,1.1
1996/2/16,2.2,10.1,-1.8
1996/2/17,-2.6,-1.7,-3.7
1996/2/18,-1.2,0.8,-3.0
1996/2/19,-3.0,3.0,-8.1
1996/2/20,-4.1,2.2,-10.1
1996/2/21,-3.6,3.7,-10.0
1996/2/22,-3.2,5.5,-11.2
1996/2/23,-1.6,5.5,-8.2
1996/2/24,-0.4,7.5,-7.9
1996/2/25,2.4,8.7,-1.6
1996/2/26,3.8,9.3,-0.3
1996/2/27,3.4,6.8,0.6
1996/2/28,3.4,11.1,-2.4
1996/2/29,4.0,13.4,-4.7
1996/3/1,4.6,9.8,1.4
1996/3/2,1.4,6.7,-2.1
1996/3/3,0.8,7.8,-5.3
1996/3/4,0.9,8.2,-5.3
1996/3/5,0.5,5.7,-4.4
1996/3/6,0.5,10.3,-7.8
1996/3/7,1.0,9.3,-4.2
1996/3/8,4.4,13.4,0.2
1996/3/9,4.1,9.9,-1.1
1996/3/10,2.5,10.7,-4.3
1996/3/11,2.7,9.3,-2.4
1996/3/12,2.2,8.9,-1.8
1996/3/13,3.5,10.6,-3.3
1996/3/14,6.2,15.1,-2.6
1996/3/15,4.0,7.1,2.5
1996/3/16,8.9,16.2,0.6
1996/3/17,8.5,15.5,4.8
1996/3/18,7.2,12.9,-0.2
1996/3/19,2.8,8.9,-3.2
1996/3/20,4.8,11.4,0.0
1996/3/21,8.6,18.1,-1.0
1996/3/22,9.6,17.1,5.8
1996/3/23,5.1,9.4,1.6
1996/3/24,6.8,13.4,1.2
1996/3/25,9.3,12.8,5.2
1996/3/26,8.8,16.9,3.2
1996/3/27,8.2,16.5,0.9
1996/3/28,9.2,19.4,2.2
1996/3/29,8.8,15.3,2.9
1996/3/30,12.1,15.8,7.6
1996/3/31,13.9,20.6,8.7
1996/4/1,7.5,15.3,2.9
1996/4/2,4.5,9.8,0.6
1996/4/3,3.2,9.1,-2.3
1996/4/4,3.9,10.8,-2.9
1996/4/5,4.8,11.5,-1.7
1996/4/6,8.0,16.8,-1.7
1996/4/7,8.4,15.6,4.1
1996/4/8,8.6,17.6,0.9
1996/4/9,7.9,16.2,0.2
1996/4/10,6.8,13.7,0.2
1996/4/11,5.6,12.6,-1.3
1996/4/12,3.5,10.2,-1.8
1996/4/13,4.4,12.9,-2.4
1996/4/14,7.0,15.4,-3.3
1996/4/15,10.2,17.5,5.2
1996/4/16,8.5,13.7,6.7
1996/4/17,12.7,21.1,4.4
1996/4/18,11.7,18.6,5.1
1996/4/19,6.5,11.9,2.1
1996/4/20,6.7,12.8,2.3
1996/4/21,6.4,14.7,-1.1
1996/4/22,8.5,17.3,-0.2
1996/4/23,11.1,21.0,1.4
1996/4/24,13.7,24.3,4.1
1996/4/25,15.7,26.7,5.7
1996/4/26,15.1,24.2,7.0
1996/4/27,16.6,24.6,7.1
1996/4/28,16.9,24.7,8.9
1996/4/29,16.9,27.5,6.8
1996/4/30,17.1,23.6,11.8
1996/5/1,16.0,18.7,13.7
