ダウンロードした時刻：2017/07/24 15:43:59

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,1.5,3.8,0.5
1990/1/2,5.2,8.5,2.3
1990/1/3,3.3,5.3,1.4
1990/1/4,2.1,4.7,0.2
1990/1/5,3.5,6.7,-0.6
1990/1/6,4.8,7.9,2.4
1990/1/7,3.1,4.5,1.9
1990/1/8,4.7,8.4,1.1
1990/1/9,4.6,7.7,-0.3
1990/1/10,8.6,11.8,5.3
1990/1/11,6.3,8.7,2.4
1990/1/12,5.1,7.6,1.8
1990/1/13,4.2,7.8,-0.2
1990/1/14,3.1,7.3,-1.8
1990/1/15,4.3,6.1,1.8
1990/1/16,4.0,6.7,1.5
1990/1/17,4.6,8.1,1.5
1990/1/18,5.7,9.2,0.3
1990/1/19,7.1,8.8,6.2
1990/1/20,2.8,6.4,-0.2
1990/1/21,2.8,6.3,-0.4
1990/1/22,3.7,7.9,-1.4
1990/1/23,3.0,5.1,1.2
1990/1/24,0.6,4.1,-2.1
1990/1/25,-0.9,2.7,-4.1
1990/1/26,-0.7,2.6,-2.5
1990/1/27,0.0,3.0,-1.7
1990/1/28,2.8,6.0,-0.2
1990/1/29,4.3,8.0,1.4
1990/1/30,4.4,8.0,2.8
1990/1/31,1.9,3.4,0.5
1990/2/1,2.8,4.9,0.3
1990/2/2,3.5,7.6,0.1
1990/2/3,2.9,4.8,-0.1
1990/2/4,5.5,8.2,2.9
1990/2/5,5.5,8.4,1.9
1990/2/6,4.7,7.4,0.1
1990/2/7,7.4,11.2,4.7
1990/2/8,5.7,8.5,4.2
1990/2/9,4.8,9.1,-0.2
1990/2/10,6.1,11.3,-1.3
1990/2/11,9.4,13.0,8.0
1990/2/12,6.3,10.0,3.3
1990/2/13,5.3,8.3,3.3
1990/2/14,4.5,6.4,1.8
1990/2/15,6.9,8.9,5.1
1990/2/16,6.6,8.8,5.6
1990/2/17,7.3,10.3,5.7
1990/2/18,7.3,12.9,1.4
1990/2/19,11.6,14.3,8.2
1990/2/20,12.0,16.8,9.0
1990/2/21,9.1,12.6,6.2
1990/2/22,9.8,15.0,3.4
1990/2/23,11.2,12.7,10.0
1990/2/24,10.0,11.9,8.6
1990/2/25,8.4,10.3,6.9
1990/2/26,7.6,10.3,4.8
1990/2/27,6.6,8.7,4.3
1990/2/28,6.1,9.4,3.9
1990/3/1,7.4,9.1,4.5
1990/3/2,8.1,8.6,7.6
1990/3/3,7.9,10.1,6.7
1990/3/4,7.0,9.2,5.7
1990/3/5,5.6,9.9,1.4
1990/3/6,6.9,10.4,1.8
1990/3/7,5.8,12.7,0.9
1990/3/8,4.1,6.5,0.4
1990/3/9,7.3,11.2,2.4
1990/3/10,8.3,14.3,2.8
1990/3/11,9.5,15.6,2.7
1990/3/12,8.0,15.4,3.9
1990/3/13,5.5,7.8,3.9
1990/3/14,6.8,11.5,-0.2
1990/3/15,9.1,12.7,7.1
1990/3/16,8.3,12.3,6.4
1990/3/17,6.5,11.4,2.7
1990/3/18,6.7,14.1,2.1
1990/3/19,8.2,12.3,5.1
1990/3/20,8.0,14.0,2.6
1990/3/21,8.0,12.3,4.7
1990/3/22,8.0,15.2,0.5
1990/3/23,12.3,19.5,4.9
1990/3/24,11.6,16.2,8.2
1990/3/25,6.9,9.3,5.0
1990/3/26,6.5,9.8,4.0
1990/3/27,8.1,14.5,0.6
1990/3/28,8.4,9.4,7.5
1990/3/29,9.5,12.5,8.0
1990/3/30,11.1,14.3,7.4
1990/3/31,11.5,13.3,9.5
1990/4/1,12.1,15.4,10.1
1990/4/2,12.1,16.3,7.9
1990/4/3,14.0,22.0,5.3
1990/4/4,11.8,16.7,7.2
1990/4/5,6.5,10.5,4.9
1990/4/6,9.4,15.5,4.3
1990/4/7,8.3,10.5,3.8
1990/4/8,9.9,13.9,6.2
1990/4/9,11.3,17.4,4.7
1990/4/10,12.6,19.4,7.1
1990/4/11,14.6,23.3,7.4
1990/4/12,16.3,21.1,10.3
1990/4/13,15.4,18.5,12.4
1990/4/14,12.9,15.6,11.3
1990/4/15,10.7,15.2,7.5
1990/4/16,10.5,15.3,6.8
1990/4/17,10.1,14.9,5.5
1990/4/18,9.5,13.0,7.5
1990/4/19,10.0,14.3,6.8
1990/4/20,12.1,17.6,5.4
1990/4/21,12.6,15.4,10.9
1990/4/22,13.7,17.6,8.9
1990/4/23,12.8,15.3,8.9
1990/4/24,9.7,13.3,6.3
1990/4/25,11.8,19.0,3.9
1990/4/26,15.6,22.4,8.0
1990/4/27,16.2,23.3,10.5
1990/4/28,17.5,25.1,12.1
1990/4/29,13.9,19.4,11.1
1990/4/30,13.0,16.6,8.9
1990/5/1,12.4,16.6,10.1
