ダウンロードした時刻：2017/07/24 15:41:54

,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,8.9,13.0,6.4
1991/1/2,9.6,13.6,5.6
1991/1/3,10.0,14.9,6.8
1991/1/4,6.3,8.7,4.0
1991/1/5,6.1,10.1,2.4
1991/1/6,4.3,7.7,1.8
1991/1/7,6.2,11.7,1.9
1991/1/8,8.3,11.6,2.8
1991/1/9,5.1,10.4,-0.2
1991/1/10,6.0,13.0,-1.1
1991/1/11,7.3,12.0,1.1
1991/1/12,8.4,12.1,3.9
1991/1/13,6.4,12.1,0.6
1991/1/14,5.9,12.5,-0.7
1991/1/15,6.4,11.6,1.3
1991/1/16,5.0,10.8,-1.3
1991/1/17,4.8,10.0,-0.2
1991/1/18,4.6,11.2,-1.2
1991/1/19,6.0,12.4,-0.4
1991/1/20,7.8,14.6,0.8
1991/1/21,6.8,8.7,4.1
1991/1/22,7.8,9.9,5.7
1991/1/23,6.0,10.0,2.7
1991/1/24,5.2,9.0,0.2
1991/1/25,9.5,16.0,5.8
1991/1/26,7.1,11.9,1.0
1991/1/27,5.1,9.9,0.4
1991/1/28,5.0,10.1,-0.3
1991/1/29,4.7,9.0,1.5
1991/1/30,4.3,9.7,-0.6
1991/1/31,5.0,9.7,1.2
1991/2/1,5.3,11.0,-0.8
1991/2/2,5.5,11.5,-1.0
1991/2/3,4.5,9.5,-1.6
1991/2/4,6.9,13.1,3.4
1991/2/5,6.5,11.7,0.6
1991/2/6,5.7,12.0,-1.0
1991/2/7,6.5,10.9,1.9
1991/2/8,5.9,12.2,0.7
1991/2/9,4.9,10.3,-1.3
1991/2/10,5.4,8.2,1.7
1991/2/11,8.6,13.9,3.6
1991/2/12,8.9,14.5,3.0
1991/2/13,7.0,11.9,0.0
1991/2/14,9.6,13.5,3.9
1991/2/15,10.4,11.7,8.6
1991/2/16,11.7,16.0,8.0
1991/2/17,6.8,11.9,1.5
1991/2/18,4.0,7.7,-1.3
1991/2/19,6.0,9.5,2.3
1991/2/20,4.0,9.0,-1.2
1991/2/21,4.5,8.0,1.7
1991/2/22,3.6,7.4,0.3
1991/2/23,3.2,6.1,0.4
1991/2/24,2.1,6.7,-1.4
1991/2/25,4.0,10.5,-1.5
1991/2/26,4.7,11.7,-2.7
1991/2/27,7.8,15.1,-0.3
1991/2/28,12.0,15.1,7.5
1991/3/1,8.2,13.0,5.4
1991/3/2,7.0,11.1,4.0
1991/3/3,7.5,13.2,1.6
1991/3/4,9.1,15.5,0.8
1991/3/5,11.9,16.1,8.3
1991/3/6,11.5,15.9,7.8
1991/3/7,12.1,15.9,7.3
1991/3/8,8.7,11.8,7.5
1991/3/9,13.3,21.8,7.8
1991/3/10,10.9,13.7,7.3
1991/3/11,9.0,10.8,7.8
1991/3/12,8.8,9.8,7.7
1991/3/13,10.4,14.8,6.6
1991/3/14,8.0,13.1,3.3
1991/3/15,5.7,10.2,0.2
1991/3/16,6.5,7.8,4.9
1991/3/17,8.6,14.5,2.3
1991/3/18,9.3,13.3,3.9
1991/3/19,11.7,19.0,4.0
1991/3/20,16.5,19.5,10.8
1991/3/21,12.2,16.3,9.0
1991/3/22,8.7,10.2,7.7
1991/3/23,12.2,14.9,9.9
1991/3/24,14.5,18.3,8.5
1991/3/25,14.1,15.8,12.3
1991/3/26,14.6,19.4,9.0
1991/3/27,12.2,14.1,11.3
1991/3/28,12.2,14.2,10.8
1991/3/29,10.8,11.8,10.0
1991/3/30,12.3,16.2,9.1
1991/3/31,13.2,15.1,11.5
1991/4/1,10.7,12.5,8.1
1991/4/2,9.0,11.9,7.5
1991/4/3,9.9,14.2,3.7
1991/4/4,10.9,16.1,4.7
1991/4/5,12.7,17.4,6.6
1991/4/6,13.9,17.1,10.9
1991/4/7,14.6,16.3,13.6
1991/4/8,15.5,18.3,14.2
1991/4/9,16.9,19.3,14.7
1991/4/10,17.6,20.7,14.4
1991/4/11,16.2,18.3,14.5
1991/4/12,18.0,23.3,12.3
1991/4/13,16.9,20.1,14.3
1991/4/14,18.6,23.1,15.6
1991/4/15,16.4,19.7,12.3
1991/4/16,15.8,20.3,11.0
1991/4/17,17.0,21.8,11.2
1991/4/18,19.0,22.5,13.8
1991/4/19,15.8,18.7,14.1
1991/4/20,15.0,18.7,11.2
1991/4/21,15.9,22.7,11.2
1991/4/22,15.5,21.2,9.3
1991/4/23,15.4,20.2,11.0
1991/4/24,15.7,19.6,12.7
1991/4/25,15.8,20.7,11.7
1991/4/26,17.2,21.7,12.6
1991/4/27,17.9,23.4,14.4
1991/4/28,17.5,22.5,13.2
1991/4/29,18.2,24.7,13.8
1991/4/30,17.9,22.3,13.6
1991/5/1,17.6,22.1,11.5
