ダウンロードした時刻：2017/07/24 15:41:57

,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/1/1,6.9,14.2,-0.1
2002/1/2,5.6,9.9,0.5
2002/1/3,3.2,8.0,-0.4
2002/1/4,6.8,11.9,-0.9
2002/1/5,7.8,11.0,3.2
2002/1/6,4.8,10.2,-0.6
2002/1/7,5.8,10.5,0.3
2002/1/8,6.7,10.2,3.3
2002/1/9,6.7,12.8,1.7
2002/1/10,7.3,16.1,-1.2
2002/1/11,11.6,15.9,5.3
2002/1/12,8.1,14.1,2.1
2002/1/13,8.5,14.1,4.4
2002/1/14,8.6,14.3,3.5
2002/1/15,10.5,15.4,4.9
2002/1/16,12.3,14.6,9.4
2002/1/17,8.4,12.2,6.6
2002/1/18,7.1,10.1,4.3
2002/1/19,6.5,10.9,2.0
2002/1/20,7.7,12.0,1.6
2002/1/21,11.0,15.7,7.7
2002/1/22,8.3,12.3,4.3
2002/1/23,5.7,9.7,2.8
2002/1/24,5.5,11.3,-0.1
2002/1/25,5.4,11.1,-0.6
2002/1/26,6.0,8.6,2.6
2002/1/27,10.3,16.5,6.6
2002/1/28,9.1,13.9,6.6
2002/1/29,6.1,10.8,3.1
2002/1/30,4.8,11.2,-2.0
2002/1/31,5.4,10.1,-1.2
2002/2/1,5.4,9.9,1.1
2002/2/2,6.7,12.6,0.2
2002/2/3,7.2,9.4,5.8
2002/2/4,9.0,12.1,6.6
2002/2/5,8.2,10.1,6.2
2002/2/6,9.7,13.3,6.4
2002/2/7,9.9,15.1,4.1
2002/2/8,8.4,12.8,1.8
2002/2/9,10.7,15.6,3.5
2002/2/10,4.9,8.3,1.0
2002/2/11,5.3,10.6,0.5
2002/2/12,5.2,11.6,-0.6
2002/2/13,4.7,11.3,-1.2
2002/2/14,4.9,9.9,-0.3
2002/2/15,4.7,10.4,-1.2
2002/2/16,6.1,11.0,1.2
2002/2/17,5.9,11.4,0.6
2002/2/18,8.1,14.3,2.6
2002/2/19,6.6,12.5,1.7
2002/2/20,6.2,12.5,-0.3
2002/2/21,7.6,14.1,0.7
2002/2/22,12.9,20.7,5.1
2002/2/23,9.7,14.3,5.2
2002/2/24,10.1,14.1,7.0
2002/2/25,8.7,12.7,5.0
2002/2/26,10.4,17.8,3.7
2002/2/27,11.3,15.8,6.0
2002/2/28,11.1,12.5,9.3
2002/3/1,12.7,15.7,11.1
2002/3/2,13.1,18.1,9.1
2002/3/3,8.8,13.2,5.4
2002/3/4,7.5,12.9,2.2
2002/3/5,8.7,11.8,4.2
2002/3/6,14.6,22.3,9.4
2002/3/7,9.7,14.7,5.0
2002/3/8,8.1,13.4,1.8
2002/3/9,9.4,16.4,2.5
2002/3/10,12.1,20.7,1.7
2002/3/11,13.1,17.5,7.4
2002/3/12,11.9,17.7,5.1
2002/3/13,11.7,16.1,7.1
2002/3/14,12.6,19.9,4.2
2002/3/15,16.1,22.8,11.1
2002/3/16,13.1,16.9,8.8
2002/3/17,14.7,21.9,7.4
2002/3/18,13.7,19.5,8.6
2002/3/19,12.8,19.2,4.3
2002/3/20,14.3,18.9,7.8
2002/3/21,13.9,20.6,5.8
2002/3/22,14.5,20.0,10.7
2002/3/23,11.4,16.8,7.1
2002/3/24,9.8,15.6,3.4
2002/3/25,10.0,14.9,4.2
2002/3/26,12.1,15.3,8.5
2002/3/27,12.3,16.6,9.4
2002/3/28,11.5,15.9,6.1
2002/3/29,13.2,16.3,10.3
2002/3/30,17.6,22.6,13.8
2002/3/31,16.2,20.6,12.4
2002/4/1,14.3,18.4,9.8
2002/4/2,16.0,22.6,9.1
2002/4/3,17.2,23.9,10.1
2002/4/4,17.7,22.5,10.9
2002/4/5,13.7,18.4,7.9
2002/4/6,14.0,18.5,7.3
2002/4/7,14.3,16.2,11.7
2002/4/8,20.0,26.8,15.4
2002/4/9,19.0,22.9,12.5
2002/4/10,14.7,17.5,11.9
2002/4/11,14.2,18.2,11.6
2002/4/12,13.8,17.2,11.3
2002/4/13,15.3,21.6,10.3
2002/4/14,15.1,23.2,7.8
2002/4/15,18.8,26.0,12.3
2002/4/16,21.1,24.2,19.0
2002/4/17,19.9,21.4,16.9
2002/4/18,16.7,22.7,12.2
2002/4/19,16.7,20.6,14.2
2002/4/20,15.7,17.3,13.1
2002/4/21,14.9,16.6,13.6
2002/4/22,18.7,22.9,12.4
2002/4/23,18.0,23.1,14.4
2002/4/24,18.0,22.6,14.4
2002/4/25,16.8,21.5,13.1
2002/4/26,14.1,16.5,12.7
2002/4/27,15.4,20.1,12.6
2002/4/28,15.1,19.1,11.6
2002/4/29,16.5,19.5,12.6
2002/4/30,17.0,19.1,14.4
2002/5/1,20.1,24.2,17.5
