ダウンロードした時刻：2017/07/24 15:44:44

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/1/1,5.3,8.4,3.5
1999/1/2,7.3,10.5,2.6
1999/1/3,6.5,9.2,4.5
1999/1/4,6.2,10.2,2.9
1999/1/5,7.5,11.8,3.8
1999/1/6,8.1,12.9,2.9
1999/1/7,8.7,12.6,2.3
1999/1/8,2.2,5.3,0.6
1999/1/9,2.6,6.5,0.2
1999/1/10,3.9,7.2,1.1
1999/1/11,5.6,10.0,3.2
1999/1/12,5.3,9.6,1.9
1999/1/13,6.1,9.9,2.0
1999/1/14,7.1,9.7,5.0
1999/1/15,5.5,6.6,4.5
1999/1/16,6.9,10.1,3.5
1999/1/17,5.1,8.6,2.2
1999/1/18,6.1,11.5,1.0
1999/1/19,7.3,9.4,4.2
1999/1/20,9.1,12.5,5.9
1999/1/21,5.6,8.7,3.5
1999/1/22,5.9,10.1,2.0
1999/1/23,7.5,13.3,1.7
1999/1/24,7.9,8.7,6.4
1999/1/25,8.7,10.7,6.8
1999/1/26,8.7,11.6,5.7
1999/1/27,7.3,11.3,2.4
1999/1/28,8.3,12.1,4.5
1999/1/29,5.8,9.3,3.2
1999/1/30,4.3,7.0,1.4
1999/1/31,5.5,10.3,0.9
1999/2/1,7.4,10.5,4.7
1999/2/2,7.0,11.1,3.9
1999/2/3,1.7,5.4,-2.5
1999/2/4,0.9,4.9,-2.9
1999/2/5,3.5,7.8,-1.1
1999/2/6,4.5,7.8,2.1
1999/2/7,5.5,10.5,0.2
1999/2/8,7.6,12.7,2.6
1999/2/9,8.1,12.1,3.4
1999/2/10,7.9,10.7,5.3
1999/2/11,4.2,5.8,1.2
1999/2/12,4.7,8.6,1.5
1999/2/13,2.2,5.7,0.2
1999/2/14,3.8,8.1,-0.5
1999/2/15,6.1,10.0,2.4
1999/2/16,7.6,13.3,2.0
1999/2/17,9.4,15.8,2.9
1999/2/18,8.0,9.5,6.7
1999/2/19,5.6,9.2,2.5
1999/2/20,4.2,8.9,0.6
1999/2/21,4.0,7.5,0.9
1999/2/22,5.2,8.7,0.6
1999/2/23,7.8,11.9,3.4
1999/2/24,7.2,9.9,4.9
1999/2/25,9.5,13.8,5.8
1999/2/26,8.9,14.0,3.3
1999/2/27,8.4,13.3,3.1
1999/2/28,5.4,8.9,2.6
1999/3/1,8.7,14.7,2.6
1999/3/2,11.3,14.9,6.4
1999/3/3,11.9,16.3,7.9
1999/3/4,12.0,17.0,5.9
1999/3/5,15.1,20.2,11.8
1999/3/6,10.6,15.3,7.4
1999/3/7,7.9,9.0,6.9
1999/3/8,9.0,13.1,6.6
1999/3/9,6.8,8.5,5.2
1999/3/10,8.5,13.7,5.3
1999/3/11,8.5,11.6,6.9
1999/3/12,6.4,9.6,4.2
1999/3/13,9.3,13.4,3.5
1999/3/14,15.2,20.8,10.3
1999/3/15,15.0,17.2,12.3
1999/3/16,12.1,15.8,9.3
1999/3/17,13.9,20.8,7.1
1999/3/18,17.5,24.2,12.7
1999/3/19,14.7,18.0,9.8
1999/3/20,7.0,9.9,4.6
1999/3/21,7.3,9.0,5.4
1999/3/22,5.2,8.4,2.8
1999/3/23,6.5,10.7,2.1
1999/3/24,10.9,17.1,3.8
1999/3/25,13.9,18.4,9.4
1999/3/26,16.0,18.5,14.1
1999/3/27,11.4,14.5,7.4
1999/3/28,8.9,13.4,6.1
1999/3/29,6.1,9.9,4.0
1999/3/30,7.0,9.8,4.2
1999/3/31,12.7,18.1,8.5
1999/4/1,15.2,21.3,8.1
1999/4/2,15.4,22.3,9.2
1999/4/3,9.6,14.5,6.5
1999/4/4,11.3,16.8,5.9
1999/4/5,12.2,16.9,7.8
1999/4/6,13.3,18.2,9.2
1999/4/7,9.5,14.3,5.8
1999/4/8,9.3,14.8,5.1
1999/4/9,12.4,19.2,4.9
1999/4/10,13.2,15.4,11.1
1999/4/11,16.5,22.2,12.4
1999/4/12,16.1,21.2,11.3
1999/4/13,16.1,21.3,12.7
1999/4/14,13.6,16.7,11.0
1999/4/15,13.1,16.9,8.6
1999/4/16,15.2,21.0,10.2
1999/4/17,17.1,21.6,12.3
1999/4/18,14.3,17.9,12.7
1999/4/19,16.7,20.2,14.0
1999/4/20,17.8,22.6,14.6
1999/4/21,18.1,24.7,12.1
1999/4/22,19.2,24.3,15.3
1999/4/23,16.4,17.8,15.0
1999/4/24,15.7,18.1,13.5
1999/4/25,16.8,20.8,14.9
1999/4/26,16.9,19.8,15.2
1999/4/27,17.9,22.7,14.0
1999/4/28,16.1,22.4,12.3
1999/4/29,12.4,17.0,9.5
1999/4/30,13.9,20.8,7.9
1999/5/1,16.9,22.5,10.8
