ダウンロードした時刻：2017/07/24 15:46:51

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/1/1,2.8,5.6,0.8
2008/1/2,4.2,8.8,0.6
2008/1/3,3.9,10.1,-0.7
2008/1/4,5.1,11.6,0.2
2008/1/5,6.8,13.7,2.0
2008/1/6,6.3,12.7,0.7
2008/1/7,9.4,15.0,5.9
2008/1/8,8.4,14.5,3.4
2008/1/9,7.5,14.3,2.1
2008/1/10,9.0,15.5,2.8
2008/1/11,12.5,15.1,9.2
2008/1/12,12.6,15.1,9.3
2008/1/13,8.4,11.5,6.1
2008/1/14,6.9,11.8,3.5
2008/1/15,7.0,12.7,1.3
2008/1/16,6.4,9.2,1.6
2008/1/17,4.9,10.2,0.3
2008/1/18,5.4,10.7,1.2
2008/1/19,7.5,12.0,3.1
2008/1/20,6.9,8.3,5.8
2008/1/21,6.7,9.7,5.2
2008/1/22,6.3,7.3,5.4
2008/1/23,8.0,11.4,6.0
2008/1/24,3.5,6.0,-0.1
2008/1/25,3.0,7.2,-1.4
2008/1/26,5.7,8.9,3.1
2008/1/27,5.9,11.4,1.3
2008/1/28,5.0,6.1,3.7
2008/1/29,6.6,8.5,4.7
2008/1/30,6.7,8.7,5.5
2008/1/31,5.4,9.7,1.3
2008/2/1,4.9,10.3,-0.5
2008/2/2,5.0,7.6,2.4
2008/2/3,4.8,8.5,2.6
2008/2/4,5.2,9.3,1.3
2008/2/5,4.8,8.5,0.7
2008/2/6,4.3,8.5,1.2
2008/2/7,3.6,9.6,-1.0
2008/2/8,3.8,9.5,-1.1
2008/2/9,4.7,7.5,3.0
2008/2/10,6.7,12.6,2.4
2008/2/11,6.9,12.3,0.6
2008/2/12,5.5,7.9,2.6
2008/2/13,2.5,7.6,-0.5
2008/2/14,2.8,8.7,-3.0
2008/2/15,5.6,9.2,3.3
2008/2/16,3.6,7.4,-0.4
2008/2/17,2.3,6.8,-1.1
2008/2/18,3.8,10.9,-2.7
2008/2/19,5.2,12.2,0.2
2008/2/20,5.1,12.6,-1.6
2008/2/21,6.9,14.6,-0.3
2008/2/22,8.0,13.6,3.3
2008/2/23,7.9,12.1,4.1
2008/2/24,2.9,5.0,0.9
2008/2/25,6.4,11.6,-0.1
2008/2/26,7.6,11.0,5.0
2008/2/27,5.7,9.3,2.2
2008/2/28,6.4,13.0,0.7
2008/2/29,7.4,13.6,2.2
2008/3/1,8.5,13.3,3.6
2008/3/2,8.0,14.1,1.4
2008/3/3,8.7,11.7,5.8
2008/3/4,4.7,8.4,1.8
2008/3/5,4.4,9.9,1.4
2008/3/6,5.9,12.5,-0.3
2008/3/7,7.8,14.0,2.9
2008/3/8,8.3,14.8,2.6
2008/3/9,7.9,9.9,5.2
2008/3/10,11.3,17.0,6.3
2008/3/11,10.9,19.7,3.0
2008/3/12,13.0,21.1,5.6
2008/3/13,14.7,21.6,7.0
2008/3/14,12.5,16.5,7.9
2008/3/15,11.7,20.2,3.8
2008/3/16,11.8,18.9,5.3
2008/3/17,12.9,20.6,7.2
2008/3/18,13.9,20.7,6.0
2008/3/19,13.1,15.6,11.7
2008/3/20,11.1,14.1,8.2
2008/3/21,12.3,20.2,5.9
2008/3/22,12.7,19.7,4.8
2008/3/23,12.9,14.9,10.9
2008/3/24,12.7,18.0,7.8
2008/3/25,11.5,17.7,6.3
2008/3/26,9.1,14.0,5.2
2008/3/27,8.1,11.5,3.1
2008/3/28,10.3,17.0,4.4
2008/3/29,11.8,18.2,5.3
2008/3/30,10.6,12.2,7.6
2008/3/31,10.9,13.8,7.5
2008/4/1,10.5,17.3,4.2
2008/4/2,10.3,15.2,5.4
2008/4/3,12.3,18.2,6.7
2008/4/4,12.2,19.9,5.7
2008/4/5,11.0,16.3,4.9
2008/4/6,15.1,23.3,7.0
2008/4/7,16.0,21.1,13.3
2008/4/8,15.3,20.5,12.5
2008/4/9,13.3,15.0,10.6
2008/4/10,14.7,16.7,13.2
2008/4/11,14.9,20.7,11.2
2008/4/12,15.3,24.8,8.3
2008/4/13,14.6,18.0,11.5
2008/4/14,16.1,21.3,11.8
2008/4/15,17.1,24.3,8.6
2008/4/16,15.1,17.7,13.7
2008/4/17,15.6,17.2,14.5
2008/4/18,14.8,18.2,11.0
2008/4/19,14.5,19.7,8.8
2008/4/20,15.8,22.5,10.6
2008/4/21,17.5,24.7,12.1
2008/4/22,19.3,26.7,12.7
2008/4/23,16.5,18.8,12.9
2008/4/24,13.2,17.0,8.6
2008/4/25,13.6,21.0,6.2
2008/4/26,14.4,20.4,9.5
2008/4/27,14.9,19.4,9.4
2008/4/28,16.2,22.0,11.4
2008/4/29,18.5,26.0,10.6
2008/4/30,20.2,27.6,12.9
2008/5/1,19.8,23.9,16.9
