ダウンロードした時刻：2017/07/24 15:45:45

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/1/1,7.1,12.5,3.3
2016/1/2,9.5,15.1,2.9
2016/1/3,10.4,14.9,6.8
2016/1/4,11.7,16.8,6.0
2016/1/5,9.4,12.9,6.9
2016/1/6,9.4,11.9,6.1
2016/1/7,9.2,12.6,6.7
2016/1/8,7.3,10.2,5.7
2016/1/9,7.4,10.6,3.6
2016/1/10,7.7,12.6,3.5
2016/1/11,8.1,11.8,4.4
2016/1/12,7.6,9.9,5.3
2016/1/13,5.9,8.8,3.9
2016/1/14,5.4,10.0,1.6
2016/1/15,4.6,9.3,1.2
2016/1/16,4.7,10.2,0.0
2016/1/17,5.9,9.3,0.8
2016/1/18,7.9,12.3,4.1
2016/1/19,2.9,5.2,0.2
2016/1/20,4.5,8.8,0.9
2016/1/21,4.8,8.1,1.2
2016/1/22,5.9,9.7,4.3
2016/1/23,4.0,9.7,1.2
2016/1/24,-1.2,1.9,-2.5
2016/1/25,2.1,6.4,-1.6
2016/1/26,4.1,6.7,1.4
2016/1/27,7.8,10.6,4.0
2016/1/28,6.5,10.5,1.2
2016/1/29,8.5,9.8,7.9
2016/1/30,8.1,10.1,4.9
2016/1/31,7.1,12.1,2.3
2016/2/1,7.6,10.5,5.7
2016/2/2,6.6,9.6,4.5
2016/2/3,5.3,9.4,2.3
2016/2/4,6.8,10.8,2.3
2016/2/5,6.8,11.1,2.6
2016/2/6,6.0,9.2,3.6
2016/2/7,4.2,8.0,0.6
2016/2/8,4.7,10.3,-1.8
2016/2/9,8.0,11.9,4.6
2016/2/10,5.8,11.1,1.5
2016/2/11,5.8,11.3,0.2
2016/2/12,8.4,13.5,1.4
2016/2/13,12.7,16.1,8.9
2016/2/14,13.5,17.6,9.3
2016/2/15,5.7,9.3,2.5
2016/2/16,4.4,8.4,1.0
2016/2/17,6.4,9.8,2.1
2016/2/18,4.5,9.5,-1.0
2016/2/19,8.6,15.5,1.1
2016/2/20,8.6,9.5,7.7
2016/2/21,7.6,10.8,4.6
2016/2/22,5.5,9.0,0.9
2016/2/23,7.7,10.3,5.7
2016/2/24,5.8,8.5,3.8
2016/2/25,5.0,9.4,1.8
2016/2/26,5.2,10.4,-0.2
2016/2/27,7.0,12.3,1.3
2016/2/28,8.8,15.3,3.1
2016/2/29,6.3,10.4,1.9
2016/3/1,3.5,7.6,-0.7
2016/3/2,7.0,12.3,1.5
2016/3/3,9.7,17.0,2.5
2016/3/4,9.4,13.5,4.5
2016/3/5,11.9,17.9,5.9
2016/3/6,14.1,20.1,8.6
2016/3/7,16.0,22.4,12.1
2016/3/8,15.2,20.7,10.7
2016/3/9,8.7,13.2,7.4
2016/3/10,7.9,10.2,6.9
2016/3/11,7.4,10.5,5.7
2016/3/12,7.5,11.7,4.4
2016/3/13,8.0,11.5,5.4
2016/3/14,7.0,9.5,5.7
2016/3/15,8.4,13.6,4.6
2016/3/16,8.6,13.8,4.6
2016/3/17,11.4,19.0,3.9
2016/3/18,11.9,15.1,8.1
2016/3/19,14.4,19.2,10.9
2016/3/20,11.2,16.9,7.7
2016/3/21,10.1,15.7,6.0
2016/3/22,10.5,18.5,3.2
2016/3/23,12.4,19.1,6.9
2016/3/24,9.6,12.8,6.7
2016/3/25,8.0,12.6,3.9
2016/3/26,7.7,13.5,1.8
2016/3/27,9.7,14.8,4.2
2016/3/28,11.3,17.6,5.3
2016/3/29,12.3,18.4,5.3
2016/3/30,14.9,20.9,9.0
2016/3/31,15.1,19.6,9.8
2016/4/1,14.0,16.5,12.6
2016/4/2,15.6,21.3,9.9
2016/4/3,16.9,23.2,12.6
2016/4/4,15.6,19.1,12.6
2016/4/5,13.9,18.1,10.5
2016/4/6,14.9,20.8,8.9
2016/4/7,16.0,20.8,12.9
2016/4/8,16.1,20.6,12.5
2016/4/9,16.9,23.6,10.9
2016/4/10,16.4,20.5,12.3
2016/4/11,12.4,16.8,7.5
2016/4/12,10.4,14.6,5.6
2016/4/13,14.6,19.6,8.6
2016/4/14,18.9,25.5,14.2
2016/4/15,16.3,21.4,12.6
2016/4/16,16.1,22.5,8.2
2016/4/17,20.6,26.4,15.8
2016/4/18,15.6,17.8,12.5
2016/4/19,16.0,21.6,9.4
2016/4/20,15.5,21.0,8.5
2016/4/21,15.9,17.4,14.4
2016/4/22,20.4,25.8,16.2
2016/4/23,18.0,24.6,13.8
2016/4/24,17.0,20.9,13.9
2016/4/25,16.9,20.9,11.5
2016/4/26,18.9,26.1,12.3
2016/4/27,17.3,18.3,16.6
2016/4/28,16.0,21.2,12.5
2016/4/29,13.8,18.1,10.1
2016/4/30,16.0,24.4,7.5
2016/5/1,20.1,28.1,11.3
