ダウンロードした時刻：2017/07/24 15:38:48

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/1/1,0.8,2.5,-0.5
2013/1/2,3.8,6.6,0.1
2013/1/3,-0.4,1.3,-2.3
2013/1/4,-0.6,0.9,-3.2
2013/1/5,0.2,2.5,-2.1
2013/1/6,2.1,5.0,-1.7
2013/1/7,0.4,2.3,-1.2
2013/1/8,0.6,2.3,-0.1
2013/1/9,1.0,3.3,-0.7
2013/1/10,0.2,0.9,-1.1
2013/1/11,0.3,2.4,-1.1
2013/1/12,1.8,8.0,-3.4
2013/1/13,4.5,7.4,2.1
2013/1/14,2.6,4.9,1.5
2013/1/15,1.9,5.1,-0.2
2013/1/16,1.8,3.7,0.3
2013/1/17,1.2,3.1,-1.6
2013/1/18,-0.4,1.0,-2.2
2013/1/19,2.8,4.8,0.2
2013/1/20,4.1,6.1,2.6
2013/1/21,3.6,6.8,0.3
2013/1/22,3.8,5.8,1.8
2013/1/23,3.7,7.0,0.9
2013/1/24,4.7,9.7,1.4
2013/1/25,1.6,5.7,-1.3
2013/1/26,-0.4,2.3,-2.3
2013/1/27,1.1,3.9,-0.8
2013/1/28,1.7,5.2,-1.0
2013/1/29,3.2,5.7,0.8
2013/1/30,2.9,4.8,1.0
2013/1/31,2.2,6.7,-0.9
2013/2/1,4.5,11.1,-2.4
2013/2/2,7.0,12.2,3.9
2013/2/3,2.5,4.7,0.8
2013/2/4,3.0,8.3,0.0
2013/2/5,2.9,5.3,1.7
2013/2/6,0.9,2.5,-0.8
2013/2/7,2.0,8.1,-2.7
2013/2/8,-0.2,2.0,-2.0
2013/2/9,0.3,3.1,-1.4
2013/2/10,0.0,2.7,-2.9
2013/2/11,-0.1,2.2,-1.3
2013/2/12,0.6,3.3,-2.0
2013/2/13,3.1,5.9,0.2
2013/2/14,3.1,6.3,0.9
2013/2/15,2.4,3.3,0.8
2013/2/16,-1.1,1.4,-2.4
2013/2/17,0.5,3.0,-2.2
2013/2/18,2.4,5.6,-0.4
2013/2/19,1.2,3.0,-1.2
2013/2/20,-1.1,2.1,-2.8
2013/2/21,-0.7,1.3,-2.5
2013/2/22,0.8,3.9,-1.8
2013/2/23,0.7,3.2,-1.6
2013/2/24,-1.6,2.3,-3.7
2013/2/25,-0.9,0.9,-3.8
2013/2/26,0.4,3.3,-2.8
2013/2/27,3.8,8.7,-1.5
2013/2/28,5.6,10.3,-0.2
2013/3/1,6.5,12.7,2.3
2013/3/2,2.4,4.6,0.4
2013/3/3,2.5,4.9,0.8
2013/3/4,2.7,6.8,-0.3
2013/3/5,4.1,8.2,-0.2
2013/3/6,6.2,12.0,0.7
2013/3/7,10.1,17.9,1.7
2013/3/8,10.7,14.5,6.5
2013/3/9,6.4,9.4,4.8
2013/3/10,5.2,19.3,-0.1
2013/3/11,0.9,4.0,-1.6
2013/3/12,5.4,14.2,-3.4
2013/3/13,6.7,11.5,2.8
2013/3/14,3.1,4.9,2.2
2013/3/15,3.6,8.4,-1.4
2013/3/16,6.0,13.0,-0.2
2013/3/17,8.0,15.4,2.0
2013/3/18,12.9,17.0,6.7
2013/3/19,9.5,13.7,6.5
2013/3/20,9.3,14.8,3.8
2013/3/21,2.6,5.1,0.8
2013/3/22,6.6,12.8,-1.2
2013/3/23,4.4,7.7,1.9
2013/3/24,5.1,8.4,1.1
2013/3/25,5.3,8.5,2.8
2013/3/26,4.1,7.0,1.1
2013/3/27,7.5,13.5,-0.3
2013/3/28,12.4,19.4,7.7
2013/3/29,7.4,9.8,5.8
2013/3/30,5.5,8.0,4.1
2013/3/31,4.1,7.7,1.7
2013/4/1,7.1,10.2,4.3
2013/4/2,12.6,20.1,4.8
2013/4/3,10.7,11.8,9.9
2013/4/4,10.9,14.3,7.3
2013/4/5,9.7,14.3,5.1
2013/4/6,15.8,22.1,8.3
2013/4/7,10.8,17.0,4.9
2013/4/8,8.2,11.0,5.7
2013/4/9,10.0,17.1,3.4
2013/4/10,6.7,11.1,3.0
2013/4/11,5.5,10.3,1.2
2013/4/12,4.9,8.8,2.0
2013/4/13,7.3,12.1,2.1
2013/4/14,14.0,23.5,4.2
2013/4/15,8.5,11.6,4.7
2013/4/16,13.0,18.2,7.2
2013/4/17,12.2,17.0,9.1
2013/4/18,9.2,13.8,6.3
2013/4/19,7.4,9.9,5.9
2013/4/20,6.3,10.1,2.8
2013/4/21,5.2,7.1,3.8
2013/4/22,7.8,11.4,2.6
2013/4/23,10.5,16.0,3.7
2013/4/24,13.8,17.5,10.2
2013/4/25,13.7,17.9,9.9
2013/4/26,10.2,12.2,8.8
2013/4/27,10.8,12.3,9.1
2013/4/28,11.2,14.1,8.6
2013/4/29,14.5,21.1,6.4
2013/4/30,13.6,16.7,10.5
2013/5/1,9.5,11.2,8.6
