ダウンロードした時刻：2017/07/24 15:43:12

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/1/1,3.8,9.2,-1.2
2006/1/2,6.1,8.4,3.3
2006/1/3,5.2,7.6,0.8
2006/1/4,2.9,5.4,0.5
2006/1/5,1.2,2.5,-0.5
2006/1/6,0.1,3.1,-2.3
2006/1/7,1.2,4.0,-0.6
2006/1/8,1.2,5.5,-1.5
2006/1/9,2.2,8.5,-2.7
2006/1/10,4.2,6.7,1.4
2006/1/11,3.4,8.6,0.2
2006/1/12,3.3,8.9,-1.3
2006/1/13,8.4,13.4,1.1
2006/1/14,9.9,12.9,7.5
2006/1/15,6.8,9.0,1.6
2006/1/16,5.9,11.4,0.2
2006/1/17,5.9,7.3,3.4
2006/1/18,4.4,8.6,1.2
2006/1/19,3.6,4.9,2.0
2006/1/20,4.0,6.9,0.4
2006/1/21,3.4,7.0,-0.3
2006/1/22,2.7,7.2,-1.1
2006/1/23,1.8,5.4,-0.9
2006/1/24,2.4,5.0,-0.5
2006/1/25,2.9,7.8,0.5
2006/1/26,4.3,9.0,0.5
2006/1/27,5.4,8.5,1.8
2006/1/28,3.9,6.4,-0.7
2006/1/29,4.5,10.7,-2.3
2006/1/30,9.9,14.6,6.7
2006/1/31,7.3,9.5,5.9
2006/2/1,6.5,7.6,5.5
2006/2/2,6.0,8.3,3.7
2006/2/3,2.5,6.9,-1.6
2006/2/4,-0.3,2.1,-2.9
2006/2/5,0.2,3.0,-1.2
2006/2/6,0.9,3.0,-0.9
2006/2/7,4.3,10.7,1.4
2006/2/8,2.2,4.4,0.2
2006/2/9,1.4,4.5,-1.0
2006/2/10,4.3,8.2,-0.9
2006/2/11,5.3,7.6,3.2
2006/2/12,1.2,3.7,-0.4
2006/2/13,5.5,15.1,-0.7
2006/2/14,9.9,15.1,0.7
2006/2/15,9.6,12.0,7.4
2006/2/16,7.6,8.6,5.9
2006/2/17,2.8,6.8,0.3
2006/2/18,2.1,6.2,-1.9
2006/2/19,4.9,9.9,-0.4
2006/2/20,4.3,9.1,0.6
2006/2/21,5.8,11.6,1.1
2006/2/22,9.8,15.7,3.4
2006/2/23,7.0,8.9,1.9
2006/2/24,5.1,9.9,0.6
2006/2/25,7.3,13.4,-1.3
2006/2/26,10.3,13.5,6.5
2006/2/27,4.4,6.5,3.1
2006/2/28,5.2,8.2,0.3
2006/3/1,4.0,6.3,1.8
2006/3/2,2.9,6.6,0.8
2006/3/3,2.0,5.7,0.5
2006/3/4,4.4,10.5,-0.8
2006/3/5,9.6,16.9,1.2
2006/3/6,9.5,13.9,6.8
2006/3/7,8.2,14.9,2.2
2006/3/8,9.5,13.8,4.4
2006/3/9,6.6,10.2,1.6
2006/3/10,11.0,16.6,6.4
2006/3/11,13.5,19.4,7.3
2006/3/12,7.0,14.2,0.2
2006/3/13,0.5,3.3,-1.0
2006/3/14,1.3,4.2,-1.1
2006/3/15,6.6,14.5,-0.5
2006/3/16,9.0,14.0,3.7
2006/3/17,9.7,14.6,5.5
2006/3/18,8.6,12.7,3.6
2006/3/19,6.0,9.5,0.4
2006/3/20,6.2,13.5,-1.2
2006/3/21,8.8,15.9,3.1
2006/3/22,6.8,10.4,2.9
2006/3/23,9.4,14.7,4.7
2006/3/24,6.3,10.3,1.6
2006/3/25,8.6,17.9,-0.1
2006/3/26,12.3,16.9,7.9
2006/3/27,10.4,15.9,4.6
2006/3/28,8.1,17.0,3.1
2006/3/29,4.8,8.4,1.2
2006/3/30,4.0,7.0,0.7
2006/3/31,5.4,10.7,-0.4
2006/4/1,9.1,15.6,0.9
2006/4/2,14.6,18.9,10.0
2006/4/3,12.7,18.2,8.4
2006/4/4,12.6,21.0,5.9
2006/4/5,10.7,12.0,9.1
2006/4/6,7.9,11.0,3.4
2006/4/7,10.1,15.3,4.4
2006/4/8,12.9,15.8,7.6
2006/4/9,10.2,16.0,4.1
2006/4/10,13.1,16.9,10.5
2006/4/11,18.8,23.1,14.9
2006/4/12,13.1,16.4,11.9
2006/4/13,10.3,11.9,8.2
2006/4/14,8.8,11.4,4.0
2006/4/15,7.8,10.9,3.1
2006/4/16,10.7,15.5,5.6
2006/4/17,8.7,14.2,1.9
2006/4/18,17.0,23.3,10.2
2006/4/19,18.3,24.5,12.2
2006/4/20,10.0,15.5,6.4
2006/4/21,9.6,14.0,6.5
2006/4/22,11.3,15.8,5.6
2006/4/23,15.2,19.3,11.9
2006/4/24,13.1,16.9,8.4
2006/4/25,12.1,15.9,6.8
2006/4/26,11.9,18.2,4.8
2006/4/27,12.9,19.4,8.2
2006/4/28,12.7,19.6,5.9
2006/4/29,16.2,24.0,9.8
2006/4/30,21.8,28.0,12.7
2006/5/1,22.9,28.8,18.0
