ダウンロードした時刻：2017/07/24 15:36:35

,江差,江差,江差
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/1/1,5.1,7.1,3.4
2007/1/2,3.1,6.1,-1.4
2007/1/3,2.1,4.0,-1.1
2007/1/4,3.1,4.6,1.0
2007/1/5,2.3,5.4,-1.6
2007/1/6,4.7,7.5,-2.1
2007/1/7,4.6,6.5,1.8
2007/1/8,2.1,4.1,0.2
2007/1/9,-1.1,0.8,-2.8
2007/1/10,-1.8,0.2,-3.4
2007/1/11,-1.7,0.4,-3.5
2007/1/12,0.4,2.1,-1.9
2007/1/13,-0.2,2.1,-2.0
2007/1/14,-1.5,-0.4,-2.8
2007/1/15,-0.3,1.4,-2.1
2007/1/16,0.3,1.6,-0.5
2007/1/17,1.2,3.6,-1.1
2007/1/18,1.1,3.1,-1.4
2007/1/19,0.3,2.1,-1.7
2007/1/20,0.3,1.5,-1.6
2007/1/21,0.3,2.7,-2.9
2007/1/22,1.2,4.8,-3.5
2007/1/23,1.7,2.4,0.5
2007/1/24,0.9,2.0,-0.1
2007/1/25,0.9,2.4,-1.5
2007/1/26,0.0,2.9,-2.8
2007/1/27,0.3,1.3,-0.3
2007/1/28,0.3,2.2,-2.5
2007/1/29,2.3,4.1,0.2
2007/1/30,2.7,6.2,0.0
2007/1/31,3.0,6.0,-0.1
2007/2/1,-0.6,1.4,-3.0
2007/2/2,-1.0,1.4,-5.0
2007/2/3,3.8,7.7,-0.6
2007/2/4,-0.5,3.6,-3.2
2007/2/5,6.4,9.4,1.5
2007/2/6,5.0,9.3,1.1
2007/2/7,0.9,2.7,-1.6
2007/2/8,1.7,3.1,0.6
2007/2/9,1.8,3.7,-2.6
2007/2/10,1.1,5.4,-3.3
2007/2/11,0.4,2.5,-3.0
2007/2/12,-1.4,-0.3,-3.2
2007/2/13,-0.6,2.3,-3.3
2007/2/14,2.4,5.7,-3.3
2007/2/15,1.5,5.7,-1.2
2007/2/16,2.7,4.4,0.9
2007/2/17,3.0,5.3,0.8
2007/2/18,3.2,5.6,1.1
2007/2/19,0.9,2.6,0.0
2007/2/20,2.9,6.1,0.9
2007/2/21,2.6,5.9,0.0
2007/2/22,6.5,9.8,1.5
2007/2/23,5.4,10.7,-1.1
2007/2/24,-1.4,0.5,-3.9
2007/2/25,1.0,4.0,-2.2
2007/2/26,0.1,4.3,-3.7
2007/2/27,2.0,4.8,-2.9
2007/2/28,0.5,3.6,-2.5
2007/3/1,0.4,3.4,-3.9
2007/3/2,1.1,5.3,-3.7
2007/3/3,3.4,8.0,-1.7
2007/3/4,5.7,9.0,3.0
2007/3/5,7.7,10.2,5.5
2007/3/6,0.6,6.7,-4.5
2007/3/7,-3.4,-1.5,-5.1
2007/3/8,-1.0,1.4,-3.4
2007/3/9,1.2,3.3,-2.4
2007/3/10,4.3,6.6,-0.6
2007/3/11,0.1,6.4,-3.4
2007/3/12,-1.9,-1.0,-3.5
2007/3/13,-0.1,1.5,-2.1
2007/3/14,1.1,2.5,-0.6
2007/3/15,2.0,3.4,-0.1
2007/3/16,0.7,3.5,-3.4
2007/3/17,0.4,3.0,-2.4
2007/3/18,0.5,3.4,-3.4
2007/3/19,2.1,6.0,-1.0
2007/3/20,2.0,4.8,-1.9
2007/3/21,3.7,7.1,1.9
2007/3/22,3.0,7.8,-1.3
2007/3/23,3.0,5.5,-1.2
2007/3/24,5.4,9.1,-1.1
2007/3/25,7.0,9.3,5.7
2007/3/26,4.9,6.7,4.1
2007/3/27,2.9,5.7,-0.5
2007/3/28,2.9,7.0,-0.2
2007/3/29,3.6,8.5,0.6
2007/3/30,4.7,8.6,1.0
2007/3/31,4.1,7.9,-0.8
2007/4/1,4.9,8.0,2.9
2007/4/2,5.0,8.4,2.7
2007/4/3,4.1,7.4,1.8
2007/4/4,5.0,7.9,2.6
2007/4/5,5.3,7.9,2.0
2007/4/6,6.4,10.6,2.2
2007/4/7,6.5,9.1,4.7
2007/4/8,8.1,12.2,3.9
2007/4/9,7.1,12.2,4.3
2007/4/10,5.8,8.5,3.5
2007/4/11,7.1,10.2,2.8
2007/4/12,6.8,8.9,2.4
2007/4/13,7.3,11.5,2.1
2007/4/14,3.7,6.5,2.4
2007/4/15,4.2,7.6,1.2
2007/4/16,5.5,11.0,0.0
2007/4/17,5.5,11.3,-0.3
2007/4/18,5.2,10.1,-0.4
2007/4/19,8.4,15.0,1.4
2007/4/20,9.7,12.7,4.7
2007/4/21,10.8,12.3,9.0
2007/4/22,10.1,14.0,5.9
2007/4/23,8.7,12.5,5.0
2007/4/24,9.0,12.7,3.1
2007/4/25,10.2,14.8,6.6
2007/4/26,8.0,10.9,6.3
2007/4/27,8.6,11.7,5.8
2007/4/28,10.4,12.6,8.6
2007/4/29,11.1,13.0,9.2
2007/4/30,11.6,16.3,5.7
2007/5/1,13.3,18.1,9.4
