ダウンロードした時刻：2017/07/24 15:43:39

,浜田,浜田,浜田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/1/1,6.6,10.9,2.4
1981/1/2,4.1,6.6,1.9
1981/1/3,2.2,3.3,0.6
1981/1/4,2.2,3.3,0.9
1981/1/5,1.9,3.1,0.6
1981/1/6,2.5,3.8,1.0
1981/1/7,4.4,6.8,1.9
1981/1/8,4.3,8.4,-0.7
1981/1/9,7.4,8.7,5.5
1981/1/10,3.3,8.7,-0.5
1981/1/11,1.3,4.0,-1.3
1981/1/12,2.8,4.5,0.5
1981/1/13,1.8,3.9,0.0
1981/1/14,2.6,4.3,1.2
1981/1/15,1.1,5.4,0.1
1981/1/16,2.0,4.3,0.2
1981/1/17,2.7,5.6,0.0
1981/1/18,4.8,6.5,2.4
1981/1/19,4.4,5.6,3.0
1981/1/20,3.3,4.7,-0.1
1981/1/21,2.7,5.8,-1.1
1981/1/22,1.1,3.0,-0.8
1981/1/23,2.1,7.4,-1.2
1981/1/24,5.0,7.0,0.6
1981/1/25,5.8,7.2,2.3
1981/1/26,1.8,6.0,0.3
1981/1/27,2.2,6.1,-0.5
1981/1/28,4.1,7.3,0.8
1981/1/29,4.5,5.8,2.8
1981/1/30,3.7,8.1,-0.2
1981/1/31,5.6,10.6,1.2
1981/2/1,5.3,7.0,3.7
1981/2/2,5.6,8.0,2.8
1981/2/3,4.0,6.4,2.0
1981/2/4,1.8,4.3,-0.6
1981/2/5,3.4,7.8,0.7
1981/2/6,5.3,7.8,2.1
1981/2/7,5.5,6.9,2.4
1981/2/8,5.9,7.1,4.8
1981/2/9,5.4,7.1,3.0
1981/2/10,5.7,7.3,3.0
1981/2/11,5.1,7.0,3.5
1981/2/12,7.3,9.3,4.8
1981/2/13,11.1,14.0,7.5
1981/2/14,7.9,11.1,2.8
1981/2/15,8.6,14.7,1.0
1981/2/16,8.9,13.4,2.5
1981/2/17,2.2,5.5,-0.6
1981/2/18,5.7,11.1,-1.1
1981/2/19,6.3,9.2,2.8
1981/2/20,4.0,7.4,-0.6
1981/2/21,4.2,6.0,0.8
1981/2/22,3.9,9.7,0.0
1981/2/23,5.8,7.2,2.1
1981/2/24,5.7,8.2,3.9
1981/2/25,-0.8,4.9,-3.2
1981/2/26,-5.2,-2.1,-7.6
1981/2/27,-2.1,1.2,-5.0
1981/2/28,2.3,6.7,-4.0
1981/3/1,4.1,6.3,2.3
1981/3/2,4.3,10.6,-0.5
1981/3/3,4.2,7.2,-0.1
1981/3/4,7.5,11.1,3.0
1981/3/5,7.6,9.5,2.8
1981/3/6,4.2,8.2,-1.0
1981/3/7,8.2,11.6,-0.9
1981/3/8,10.0,13.9,6.9
1981/3/9,7.1,11.8,4.6
1981/3/10,3.7,7.1,-0.4
1981/3/11,4.8,10.1,-1.0
1981/3/12,10.8,17.3,1.3
1981/3/13,12.6,15.8,10.7
1981/3/14,13.3,18.3,10.9
1981/3/15,7.9,12.4,5.3
1981/3/16,6.4,9.8,2.6
1981/3/17,9.1,14.0,2.8
1981/3/18,9.1,15.4,2.8
1981/3/19,12.2,18.7,4.5
1981/3/20,12.4,17.2,7.2
1981/3/21,12.1,16.9,8.8
1981/3/22,11.2,14.0,8.5
1981/3/23,10.0,15.0,4.5
1981/3/24,10.7,15.4,2.6
1981/3/25,15.0,20.3,12.2
1981/3/26,9.2,12.6,7.0
1981/3/27,7.3,11.8,3.8
1981/3/28,7.9,13.2,3.9
1981/3/29,9.7,14.8,4.6
1981/3/30,9.2,13.3,6.7
1981/3/31,10.8,16.0,6.5
1981/4/1,10.1,11.5,7.3
1981/4/2,7.6,10.8,2.3
1981/4/3,9.2,14.5,1.2
1981/4/4,10.5,13.8,8.7
1981/4/5,11.4,14.5,8.7
1981/4/6,10.5,14.2,6.1
1981/4/7,10.3,17.3,4.2
1981/4/8,11.6,18.3,4.2
1981/4/9,13.8,16.2,11.0
1981/4/10,12.1,14.9,8.7
1981/4/11,14.3,17.4,8.6
1981/4/12,13.4,19.0,9.0
1981/4/13,11.2,13.0,7.5
1981/4/14,11.0,15.7,5.8
1981/4/15,12.4,18.9,7.0
1981/4/16,11.7,13.3,10.1
1981/4/17,11.6,14.9,7.0
1981/4/18,13.2,18.3,5.9
1981/4/19,12.2,15.3,10.1
1981/4/20,9.0,11.7,6.1
1981/4/21,10.8,15.4,5.0
1981/4/22,15.5,18.1,8.6
1981/4/23,15.8,18.9,11.0
1981/4/24,18.5,21.7,10.3
1981/4/25,12.5,16.1,9.0
1981/4/26,15.2,20.3,7.7
1981/4/27,16.2,20.9,9.6
1981/4/28,14.7,22.6,7.4
1981/4/29,16.6,22.9,12.6
1981/4/30,15.1,18.0,10.5
1981/5/1,16.8,23.5,10.1
