ダウンロードした時刻：2017/07/24 15:42:25

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/1/1,5.4,8.9,1.6
2007/1/2,8.0,10.6,5.0
2007/1/3,8.7,11.4,7.3
2007/1/4,7.6,11.1,5.4
2007/1/5,6.9,10.5,3.0
2007/1/6,6.3,11.0,3.8
2007/1/7,8.6,10.9,5.9
2007/1/8,7.6,13.1,4.2
2007/1/9,6.9,11.5,3.5
2007/1/10,7.1,10.8,3.5
2007/1/11,6.8,10.8,3.3
2007/1/12,6.6,9.1,4.9
2007/1/13,6.6,12.3,2.9
2007/1/14,6.3,10.7,3.0
2007/1/15,7.0,11.3,2.5
2007/1/16,7.6,11.3,4.2
2007/1/17,6.0,7.5,5.0
2007/1/18,7.9,11.0,5.4
2007/1/19,7.3,10.8,4.8
2007/1/20,4.9,5.9,4.1
2007/1/21,6.3,9.2,3.9
2007/1/22,6.7,11.4,3.0
2007/1/23,7.9,12.5,4.4
2007/1/24,7.4,9.8,5.9
2007/1/25,7.7,12.1,5.1
2007/1/26,7.9,11.8,3.8
2007/1/27,9.8,15.1,4.1
2007/1/28,8.3,10.8,5.2
2007/1/29,7.4,10.4,5.7
2007/1/30,7.9,12.1,3.8
2007/1/31,10.0,16.1,5.5
2007/2/1,8.2,13.2,4.5
2007/2/2,5.6,10.3,2.3
2007/2/3,7.1,12.4,1.3
2007/2/4,7.5,12.4,4.0
2007/2/5,8.7,14.8,2.6
2007/2/6,10.9,15.5,6.5
2007/2/7,9.8,14.2,6.9
2007/2/8,8.9,13.9,4.6
2007/2/9,9.4,13.1,5.9
2007/2/10,10.3,13.4,8.2
2007/2/11,8.8,14.1,4.9
2007/2/12,7.9,12.8,2.9
2007/2/13,8.7,13.2,4.9
2007/2/14,11.0,17.4,6.9
2007/2/15,9.6,14.5,4.5
2007/2/16,7.5,13.2,3.5
2007/2/17,6.6,9.4,3.9
2007/2/18,6.7,9.4,4.4
2007/2/19,9.1,13.4,7.1
2007/2/20,6.8,9.2,5.7
2007/2/21,9.3,13.9,5.8
2007/2/22,10.3,15.5,5.5
2007/2/23,10.4,11.9,8.3
2007/2/24,6.7,10.0,3.0
2007/2/25,4.0,7.8,0.5
2007/2/26,6.0,10.4,1.6
2007/2/27,9.3,15.9,2.7
2007/2/28,10.1,14.9,5.9
2007/3/1,8.8,14.1,4.8
2007/3/2,9.2,13.2,5.0
2007/3/3,11.4,15.6,8.2
2007/3/4,13.7,18.5,9.6
2007/3/5,16.8,20.8,11.9
2007/3/6,13.1,17.8,6.3
2007/3/7,7.5,11.1,4.5
2007/3/8,7.5,11.5,3.5
2007/3/9,7.3,10.4,4.1
2007/3/10,9.7,14.2,4.8
2007/3/11,9.0,12.9,5.8
2007/3/12,7.8,14.2,3.6
2007/3/13,7.5,14.0,2.7
2007/3/14,7.5,13.4,3.0
2007/3/15,7.9,12.5,3.8
2007/3/16,7.7,10.0,5.1
2007/3/17,6.1,8.8,4.5
2007/3/18,6.4,11.6,2.4
2007/3/19,7.8,13.4,3.9
2007/3/20,8.3,13.7,3.8
2007/3/21,8.9,12.9,5.4
2007/3/22,11.6,17.0,6.6
2007/3/23,11.8,16.6,8.1
2007/3/24,12.7,16.9,8.4
2007/3/25,16.2,18.2,13.4
2007/3/26,14.6,18.7,10.9
2007/3/27,13.5,17.7,9.9
2007/3/28,14.5,20.0,10.0
2007/3/29,17.7,23.2,11.1
2007/3/30,13.6,19.9,9.2
2007/3/31,13.0,16.1,9.7
2007/4/1,17.7,23.9,12.8
2007/4/2,13.4,15.8,11.6
2007/4/3,8.9,13.1,7.0
2007/4/4,7.5,14.0,5.0
2007/4/5,9.7,14.5,5.5
2007/4/6,10.9,16.4,5.9
2007/4/7,12.9,17.8,9.2
2007/4/8,13.5,18.1,9.7
2007/4/9,11.9,16.1,9.5
2007/4/10,13.5,18.3,8.5
2007/4/11,12.3,17.1,8.7
2007/4/12,12.9,17.5,8.7
2007/4/13,16.0,19.4,11.2
2007/4/14,18.7,24.7,13.4
2007/4/15,15.4,19.8,12.3
2007/4/16,10.5,13.3,7.4
2007/4/17,8.9,11.7,7.2
2007/4/18,8.7,11.6,6.9
2007/4/19,9.8,14.8,6.1
2007/4/20,13.9,17.8,9.1
2007/4/21,18.1,21.8,15.1
2007/4/22,18.9,21.5,17.1
2007/4/23,15.3,19.0,12.1
2007/4/24,13.1,15.7,11.3
2007/4/25,12.8,14.9,11.0
2007/4/26,16.0,22.6,11.2
2007/4/27,13.7,18.4,8.9
2007/4/28,15.5,22.8,11.4
2007/4/29,15.6,21.7,9.4
2007/4/30,18.4,25.6,12.2
2007/5/1,16.2,19.2,13.3
