ダウンロードした時刻：2017/07/24 15:42:35

,大島,大島,大島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,5.8,8.8,3.5
1984/1/2,6.4,10.5,4.3
1984/1/3,7.1,11.5,4.6
1984/1/4,7.1,12.0,3.0
1984/1/5,5.0,8.9,2.5
1984/1/6,4.5,8.9,0.4
1984/1/7,5.3,7.7,3.0
1984/1/8,3.7,6.4,1.3
1984/1/9,6.1,9.4,1.7
1984/1/10,7.7,10.0,3.7
1984/1/11,5.9,10.2,1.1
1984/1/12,3.5,5.6,1.4
1984/1/13,4.8,7.7,1.6
1984/1/14,6.5,10.9,2.2
1984/1/15,8.8,11.2,3.9
1984/1/16,3.4,7.5,1.6
1984/1/17,2.9,6.8,0.7
1984/1/18,3.2,5.5,-0.3
1984/1/19,1.4,5.4,0.3
1984/1/20,1.0,2.6,-0.6
1984/1/21,2.3,3.3,1.0
1984/1/22,4.4,5.8,3.1
1984/1/23,5.7,9.0,3.2
1984/1/24,3.5,5.3,1.7
1984/1/25,3.8,7.7,0.5
1984/1/26,3.1,6.0,-0.2
1984/1/27,3.8,8.5,-0.2
1984/1/28,3.7,7.2,1.1
1984/1/29,3.2,6.7,1.0
1984/1/30,3.5,5.6,0.4
1984/1/31,2.9,5.0,1.7
1984/2/1,5.3,8.2,2.6
1984/2/2,6.9,11.0,3.6
1984/2/3,3.2,6.7,-2.1
1984/2/4,0.2,2.2,-3.1
1984/2/5,3.6,8.0,-0.3
1984/2/6,1.2,4.2,-2.1
1984/2/7,-0.6,2.9,-2.8
1984/2/8,1.0,5.2,-1.3
1984/2/9,2.1,6.1,-0.1
1984/2/10,2.5,7.0,-0.5
1984/2/11,3.0,6.2,0.3
1984/2/12,3.3,6.9,1.8
1984/2/13,3.2,4.6,1.8
1984/2/14,5.3,9.4,2.4
1984/2/15,2.4,6.5,0.1
1984/2/16,1.9,6.4,-1.5
1984/2/17,1.3,5.7,-0.6
1984/2/18,1.2,3.1,-0.6
1984/2/19,3.3,7.4,-0.8
1984/2/20,4.1,6.8,1.6
1984/2/21,5.4,9.4,1.8
1984/2/22,5.9,8.9,3.4
1984/2/23,3.1,5.3,1.2
1984/2/24,6.3,9.0,4.4
1984/2/25,4.6,6.7,2.5
1984/2/26,4.0,6.1,2.5
1984/2/27,5.5,9.1,2.0
1984/2/28,4.0,7.6,1.8
1984/2/29,3.6,8.1,1.2
1984/3/1,3.2,7.0,0.3
1984/3/2,5.5,9.0,1.5
1984/3/3,5.1,10.5,1.9
1984/3/4,4.2,8.3,0.9
1984/3/5,4.2,8.8,1.8
1984/3/6,5.6,9.7,0.8
1984/3/7,4.9,8.5,1.5
1984/3/8,5.4,10.4,1.5
1984/3/9,5.7,8.6,1.7
1984/3/10,4.8,6.8,3.5
1984/3/11,4.5,8.1,2.0
1984/3/12,6.2,10.8,1.3
1984/3/13,4.5,7.8,1.3
1984/3/14,0.9,4.5,-0.6
1984/3/15,3.0,5.2,0.3
1984/3/16,3.6,5.3,2.1
1984/3/17,8.9,13.5,5.1
1984/3/18,7.5,12.9,4.5
1984/3/19,2.7,5.7,0.5
1984/3/20,3.3,4.7,1.5
1984/3/21,5.0,8.0,2.2
1984/3/22,4.2,8.5,1.0
1984/3/23,4.0,7.3,0.9
1984/3/24,7.5,11.4,3.6
1984/3/25,8.9,13.1,6.8
1984/3/26,9.1,13.5,6.7
1984/3/27,9.4,13.6,4.5
1984/3/28,3.7,10.4,1.4
1984/3/29,10.3,14.3,3.0
1984/3/30,13.3,17.3,10.2
1984/3/31,11.1,19.0,3.9
1984/4/1,3.5,4.0,2.8
1984/4/2,5.8,10.0,3.5
1984/4/3,7.4,10.3,4.0
1984/4/4,11.9,16.7,8.3
1984/4/5,12.7,14.7,10.6
1984/4/6,12.2,17.0,8.5
1984/4/7,7.9,10.5,5.8
1984/4/8,8.3,14.7,4.6
1984/4/9,8.0,10.9,4.5
1984/4/10,9.8,12.1,7.7
1984/4/11,11.3,15.4,9.3
1984/4/12,11.2,16.6,7.7
1984/4/13,10.5,13.9,7.3
1984/4/14,9.6,13.7,6.8
1984/4/15,12.0,16.7,7.6
1984/4/16,12.5,15.6,9.7
1984/4/17,12.1,14.9,9.2
1984/4/18,15.4,18.1,11.9
1984/4/19,10.2,17.7,5.7
1984/4/20,9.7,14.4,5.6
1984/4/21,10.0,14.6,7.2
1984/4/22,9.8,12.3,7.0
1984/4/23,10.9,15.0,8.7
1984/4/24,12.1,17.2,6.8
1984/4/25,13.9,17.8,11.2
1984/4/26,14.8,18.0,11.7
1984/4/27,14.7,18.9,12.3
1984/4/28,14.1,19.3,9.9
1984/4/29,11.2,16.0,8.6
1984/4/30,11.3,14.5,8.8
1984/5/1,13.7,16.4,12.2
