ダウンロードした時刻：2017/07/24 15:38:16

,小名浜,小名浜,小名浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,2.6,7.8,-1.0
1985/1/2,2.1,6.5,-1.7
1985/1/3,3.7,7.6,0.3
1985/1/4,2.5,7.3,-1.2
1985/1/5,-1.0,4.0,-5.0
1985/1/6,-0.2,4.1,-3.1
1985/1/7,0.5,4.6,-4.4
1985/1/8,0.9,7.2,-5.7
1985/1/9,3.3,7.9,-3.2
1985/1/10,6.6,11.5,2.4
1985/1/11,5.7,10.5,3.0
1985/1/12,2.9,4.5,0.7
1985/1/13,4.3,9.5,0.2
1985/1/14,-1.3,3.1,-3.9
1985/1/15,-0.5,3.6,-4.7
1985/1/16,2.9,9.5,-3.3
1985/1/17,-0.9,2.2,-3.4
1985/1/18,-0.5,4.7,-7.1
1985/1/19,0.9,4.6,-3.8
1985/1/20,5.7,13.7,0.7
1985/1/21,2.9,6.8,0.3
1985/1/22,3.2,7.7,-1.9
1985/1/23,3.9,8.5,0.3
1985/1/24,1.4,4.2,-1.2
1985/1/25,-0.9,2.9,-3.8
1985/1/26,-1.7,2.8,-6.4
1985/1/27,1.0,4.5,-6.7
1985/1/28,4.6,12.2,1.6
1985/1/29,-0.5,2.1,-5.3
1985/1/30,-3.3,1.2,-8.5
1985/1/31,0.2,5.7,-6.1
1985/2/1,5.1,11.9,-2.4
1985/2/2,4.0,8.0,1.0
1985/2/3,3.9,9.0,0.3
1985/2/4,5.1,9.5,1.7
1985/2/5,3.7,6.4,1.1
1985/2/6,6.1,9.2,2.7
1985/2/7,7.5,14.9,0.8
1985/2/8,4.5,6.0,3.9
1985/2/9,7.9,12.1,2.0
1985/2/10,9.0,14.7,4.4
1985/2/11,4.9,8.0,2.1
1985/2/12,5.7,9.1,0.0
1985/2/13,5.7,11.8,-0.4
1985/2/14,2.2,5.4,-0.5
1985/2/15,2.4,5.4,-0.7
1985/2/16,5.4,9.8,2.3
1985/2/17,4.7,8.7,1.6
1985/2/18,4.6,9.8,-0.9
1985/2/19,3.9,5.6,1.0
1985/2/20,7.2,8.7,4.2
1985/2/21,3.7,6.2,0.6
1985/2/22,2.1,5.5,-2.3
1985/2/23,3.3,9.0,-0.1
1985/2/24,3.4,6.8,-0.2
1985/2/25,3.5,8.4,-0.2
1985/2/26,3.1,8.8,-2.3
1985/2/27,3.7,9.7,-0.2
1985/2/28,1.6,3.1,0.7
1985/3/1,4.3,8.2,1.4
1985/3/2,5.6,8.5,0.4
1985/3/3,5.6,12.4,2.0
1985/3/4,4.0,9.2,0.8
1985/3/5,5.3,8.9,2.9
1985/3/6,3.7,8.6,0.3
1985/3/7,4.3,8.2,1.2
1985/3/8,6.5,11.1,1.2
1985/3/9,8.3,13.6,5.1
1985/3/10,4.6,9.1,2.2
1985/3/11,0.9,2.3,0.2
1985/3/12,3.8,7.0,0.5
1985/3/13,4.3,7.0,-0.7
1985/3/14,2.7,6.4,0.8
1985/3/15,2.9,6.0,0.8
1985/3/16,2.7,6.7,-1.6
1985/3/17,6.6,9.8,0.2
1985/3/18,10.0,16.2,6.0
1985/3/19,4.5,7.4,1.9
1985/3/20,5.4,9.7,3.2
1985/3/21,6.3,8.3,3.1
1985/3/22,5.9,11.2,3.0
1985/3/23,4.5,7.5,1.7
1985/3/24,4.5,9.1,0.6
1985/3/25,6.6,11.1,-1.0
1985/3/26,10.9,17.8,7.1
1985/3/27,5.9,7.7,4.5
1985/3/28,6.2,9.2,2.4
1985/3/29,7.8,10.0,5.8
1985/3/30,8.1,13.6,4.6
1985/3/31,5.5,8.5,3.4
1985/4/1,6.0,12.1,0.6
1985/4/2,7.2,11.5,-1.0
1985/4/3,10.7,14.2,6.8
1985/4/4,11.6,14.2,9.6
1985/4/5,12.8,18.3,10.6
1985/4/6,10.9,17.3,8.2
1985/4/7,10.5,14.2,7.9
1985/4/8,11.7,12.8,10.1
1985/4/9,10.0,14.4,7.6
1985/4/10,7.8,8.8,6.6
1985/4/11,11.5,16.4,8.5
1985/4/12,5.9,8.6,4.7
1985/4/13,7.9,10.6,5.2
1985/4/14,6.9,10.8,5.2
1985/4/15,8.5,11.6,6.0
1985/4/16,10.2,13.5,8.5
1985/4/17,9.8,14.7,6.4
1985/4/18,8.7,11.8,6.4
1985/4/19,10.1,14.6,4.4
1985/4/20,11.9,16.8,9.4
1985/4/21,10.6,16.0,6.7
1985/4/22,12.7,16.0,7.9
1985/4/23,13.9,16.1,12.5
1985/4/24,11.4,15.5,9.3
1985/4/25,12.3,20.2,8.8
1985/4/26,12.6,16.2,7.6
1985/4/27,11.6,14.4,9.9
1985/4/28,11.6,16.3,7.5
1985/4/29,10.8,15.0,4.8
1985/4/30,12.5,18.1,7.1
1985/5/1,13.2,17.1,7.1
