ダウンロードした時刻：2017/07/24 15:38:47

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/1/1,3.8,5.6,1.6
2009/1/2,4.6,7.0,2.3
2009/1/3,5.2,7.8,2.3
2009/1/4,6.0,7.8,3.0
2009/1/5,4.5,8.0,1.2
2009/1/6,4.5,7.5,2.0
2009/1/7,4.6,7.9,2.4
2009/1/8,3.9,9.8,0.7
2009/1/9,4.4,6.0,1.2
2009/1/10,3.2,6.5,-1.1
2009/1/11,1.1,4.5,-1.1
2009/1/12,1.1,4.4,-1.1
2009/1/13,2.9,5.6,-0.2
2009/1/14,3.5,5.9,0.3
2009/1/15,0.4,2.1,-1.3
2009/1/16,1.2,5.1,-1.0
2009/1/17,3.5,5.5,1.1
2009/1/18,3.7,7.1,-1.2
2009/1/19,5.9,8.8,3.3
2009/1/20,4.4,7.2,0.9
2009/1/21,4.3,8.8,-0.4
2009/1/22,7.2,10.7,3.9
2009/1/23,7.8,12.2,1.5
2009/1/24,0.5,2.7,-2.2
2009/1/25,0.2,4.5,-4.1
2009/1/26,1.7,4.6,-0.3
2009/1/27,1.7,4.3,0.7
2009/1/28,2.6,7.1,-0.9
2009/1/29,4.8,10.5,-0.2
2009/1/30,6.7,9.7,3.0
2009/1/31,6.0,7.5,4.6
2009/2/1,3.6,5.8,1.4
2009/2/2,3.2,5.1,1.8
2009/2/3,5.1,7.8,2.0
2009/2/4,3.3,7.5,0.4
2009/2/5,3.6,7.4,-1.0
2009/2/6,4.5,6.3,2.9
2009/2/7,4.9,8.9,0.6
2009/2/8,4.4,7.0,2.0
2009/2/9,5.0,8.4,1.3
2009/2/10,5.6,9.4,2.9
2009/2/11,4.4,10.8,1.0
2009/2/12,6.7,10.5,3.3
2009/2/13,9.4,13.7,3.9
2009/2/14,9.8,15.5,6.9
2009/2/15,6.1,13.1,1.6
2009/2/16,0.7,5.4,-1.8
2009/2/17,0.0,1.7,-1.7
2009/2/18,0.5,3.8,-1.7
2009/2/19,0.7,2.9,-1.2
2009/2/20,3.6,7.3,0.7
2009/2/21,1.0,3.0,-1.4
2009/2/22,4.8,10.5,-1.8
2009/2/23,4.4,6.3,1.9
2009/2/24,4.3,8.2,0.6
2009/2/25,6.5,8.1,5.1
2009/2/26,4.5,6.7,2.2
2009/2/27,3.6,6.2,0.9
2009/2/28,4.2,8.0,0.4
2009/3/1,4.7,9.2,1.6
2009/3/2,2.5,4.1,1.0
2009/3/3,3.3,5.9,0.5
2009/3/4,4.7,7.0,2.6
2009/3/5,5.8,10.1,1.0
2009/3/6,9.2,11.6,6.4
2009/3/7,5.7,8.5,4.0
2009/3/8,6.8,11.0,3.0
2009/3/9,7.8,13.6,1.8
2009/3/10,6.6,11.5,0.8
2009/3/11,3.6,7.0,0.6
2009/3/12,4.3,7.2,2.4
2009/3/13,7.9,13.1,0.7
2009/3/14,6.5,12.1,2.3
2009/3/15,6.2,9.1,3.0
2009/3/16,7.7,14.0,2.9
2009/3/17,9.1,13.3,6.3
2009/3/18,13.4,22.6,5.5
2009/3/19,15.4,22.6,8.4
2009/3/20,7.4,14.9,4.5
2009/3/21,6.6,9.2,2.4
2009/3/22,10.7,14.1,6.0
2009/3/23,5.9,9.1,2.5
2009/3/24,4.7,10.2,-0.1
2009/3/25,5.0,8.6,2.5
2009/3/26,3.2,5.9,0.8
2009/3/27,3.3,6.5,0.3
2009/3/28,3.9,7.6,1.6
2009/3/29,4.2,7.2,2.4
2009/3/30,4.9,9.0,0.7
2009/3/31,5.7,8.6,1.4
2009/4/1,6.8,9.0,5.3
2009/4/2,7.7,10.3,5.4
2009/4/3,9.4,13.3,4.9
2009/4/4,8.7,14.3,4.7
2009/4/5,10.3,14.7,7.6
2009/4/6,10.6,15.9,5.0
2009/4/7,11.0,17.5,6.2
2009/4/8,11.8,17.9,5.9
2009/4/9,13.1,18.9,7.7
2009/4/10,16.3,23.5,9.0
2009/4/11,13.6,18.6,10.3
2009/4/12,16.3,23.0,10.2
2009/4/13,16.1,21.1,12.4
2009/4/14,14.7,19.6,12.8
2009/4/15,12.3,14.2,9.8
2009/4/16,8.9,10.3,7.4
2009/4/17,9.7,11.8,7.8
2009/4/18,13.1,20.8,5.6
2009/4/19,12.5,16.0,10.6
2009/4/20,14.2,17.9,7.7
2009/4/21,18.8,25.4,13.5
2009/4/22,13.5,15.9,10.6
2009/4/23,9.2,11.0,7.8
2009/4/24,9.6,12.5,6.9
2009/4/25,12.2,14.2,10.0
2009/4/26,10.7,14.6,8.2
2009/4/27,8.0,9.0,5.4
2009/4/28,9.1,13.3,4.4
2009/4/29,11.8,17.1,5.2
2009/4/30,14.0,20.5,7.5
2009/5/1,16.2,22.6,8.9
