ダウンロードした時刻：2019/10/10 16:02:35

,三宅島,三宅島,三宅島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,9.5,12.0,7.4
1996/12/2,10.0,11.7,8.0
1996/12/3,10.3,12.4,6.9
1996/12/4,10.9,15.1,5.1
1996/12/5,17.4,19.9,14.8
1996/12/6,11.7,15.3,9.8
1996/12/7,9.9,10.9,8.6
1996/12/8,10.6,11.5,9.5
1996/12/9,12.1,13.2,10.6
1996/12/10,12.9,14.9,10.1
1996/12/11,12.3,15.5,6.8
1996/12/12,13.3,15.2,6.8
1996/12/13,13.8,15.7,9.0
1996/12/14,11.9,15.1,7.4
1996/12/15,13.5,14.9,7.7
1996/12/16,14.5,16.4,12.6
1996/12/17,15.9,19.1,10.2
1996/12/18,15.3,17.7,13.1
1996/12/19,11.1,13.1,9.4
1996/12/20,9.5,10.5,8.0
1996/12/21,11.2,12.4,9.8
1996/12/22,12.5,15.5,10.7
1996/12/23,10.9,15.0,6.0
1996/12/24,9.4,12.1,6.0
1996/12/25,12.9,14.0,11.2
1996/12/26,11.8,14.2,6.1
1996/12/27,9.7,12.4,5.8
1996/12/28,12.7,14.4,6.5
1996/12/29,9.7,12.0,6.1
1996/12/30,11.6,14.8,5.3
1996/12/31,11.6,15.0,6.8
1997/1/1,13.3,17.7,6.3
1997/1/2,11.8,17.1,7.8
1997/1/3,8.8,9.7,7.5
1997/1/4,8.2,10.9,4.6
1997/1/5,10.7,17.3,6.5
1997/1/6,10.6,17.3,8.2
1997/1/7,8.6,10.9,4.8
1997/1/8,8.4,9.9,4.7
1997/1/9,7.7,9.9,4.8
1997/1/10,7.8,10.0,4.4
1997/1/11,8.4,11.2,3.5
1997/1/12,9.4,10.6,3.4
1997/1/13,8.3,10.7,3.8
1997/1/14,9.9,13.5,3.2
1997/1/15,11.2,12.8,8.4
1997/1/16,9.5,11.8,5.7
1997/1/17,8.5,11.6,3.9
1997/1/18,11.7,13.8,4.7
1997/1/19,9.9,11.4,7.9
1997/1/20,10.5,11.5,8.7
1997/1/21,10.2,13.7,4.9
1997/1/22,3.6,6.2,-0.1
1997/1/23,7.6,10.1,1.7
1997/1/24,9.6,11.0,8.8
1997/1/25,8.3,9.4,7.3
1997/1/26,8.5,9.5,6.9
1997/1/27,9.5,10.9,7.9
1997/1/28,10.7,12.2,9.7
1997/1/29,8.0,10.2,6.2
1997/1/30,6.5,7.8,4.0
1997/1/31,7.3,9.2,2.3
1997/2/1,8.3,9.7,5.5
1997/2/2,8.9,11.7,7.0
1997/2/3,9.7,11.7,7.3
1997/2/4,6.6,9.3,2.5
1997/2/5,8.1,9.2,5.9
1997/2/6,10.1,11.6,5.7
1997/2/7,9.0,11.7,5.3
1997/2/8,10.1,13.0,5.4
1997/2/9,10.5,13.1,5.1
1997/2/10,9.7,13.9,3.7
1997/2/11,9.7,13.3,6.0
1997/2/12,8.2,9.6,6.2
1997/2/13,6.5,8.8,2.3
1997/2/14,6.6,10.2,2.4
1997/2/15,7.9,12.4,2.4
1997/2/16,12.4,14.8,8.6
1997/2/17,9.1,11.2,7.1
1997/2/18,8.0,9.8,6.8
1997/2/19,6.8,7.7,5.6
1997/2/20,8.7,10.5,6.6
1997/2/21,9.1,12.8,3.6
1997/2/22,3.0,5.8,-0.7
1997/2/23,4.3,9.1,-1.4
1997/2/24,6.9,12.4,1.8
1997/2/25,11.8,16.6,2.4
1997/2/26,15.5,18.4,13.5
1997/2/27,11.8,13.8,10.4
1997/2/28,13.8,18.2,9.0
1997/3/1,15.6,19.4,11.8
1997/3/2,11.3,14.1,8.6
1997/3/3,9.3,11.5,6.9
1997/3/4,10.4,12.0,8.8
1997/3/5,11.7,14.1,7.1
1997/3/6,12.8,18.2,7.2
1997/3/7,16.5,19.3,14.2
1997/3/8,13.6,16.0,11.5
1997/3/9,12.7,14.1,10.8
1997/3/10,13.0,16.4,10.8
1997/3/11,15.6,17.2,12.9
1997/3/12,11.4,13.5,9.4
1997/3/13,13.2,15.7,9.1
1997/3/14,14.3,16.9,12.2
1997/3/15,12.5,16.0,11.2
1997/3/16,10.6,11.5,9.0
1997/3/17,9.8,11.3,8.8
1997/3/18,10.5,13.8,8.0
1997/3/19,12.9,15.8,10.9
1997/3/20,12.3,13.0,11.6
1997/3/21,13.9,16.0,12.2
1997/3/22,13.8,17.4,10.4
1997/3/23,11.6,13.7,8.2
1997/3/24,9.4,12.3,6.2
1997/3/25,11.7,14.2,6.3
1997/3/26,14.8,18.5,11.0
1997/3/27,11.8,13.4,9.9
1997/3/28,12.2,16.9,6.8
1997/3/29,15.6,18.5,11.9
1997/3/30,16.0,18.5,12.4
1997/3/31,12.3,13.7,11.1
