ダウンロードした時刻：2017/07/24 15:42:01

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,6.9,11.8,2.4
1982/1/2,7.0,11.4,3.2
1982/1/3,6.0,9.1,3.0
1982/1/4,6.4,9.1,4.6
1982/1/5,10.4,16.8,6.2
1982/1/6,6.9,9.1,5.6
1982/1/7,3.9,9.1,1.1
1982/1/8,2.9,6.0,-0.4
1982/1/9,6.4,12.0,0.2
1982/1/10,8.2,11.2,5.1
1982/1/11,6.4,8.5,4.5
1982/1/12,10.6,16.4,4.6
1982/1/13,8.8,11.4,7.2
1982/1/14,6.2,8.9,4.5
1982/1/15,5.1,9.0,1.5
1982/1/16,2.3,4.0,1.0
1982/1/17,3.0,7.8,0.5
1982/1/18,3.1,7.8,0.3
1982/1/19,3.8,9.6,0.2
1982/1/20,4.0,7.6,0.9
1982/1/21,5.7,10.3,-0.4
1982/1/22,8.8,12.8,2.9
1982/1/23,7.5,13.0,2.6
1982/1/24,7.3,11.2,2.4
1982/1/25,6.0,10.1,1.8
1982/1/26,5.7,7.9,2.5
1982/1/27,6.2,9.0,3.7
1982/1/28,4.9,9.7,0.0
1982/1/29,2.1,5.6,-0.3
1982/1/30,2.2,6.0,-1.0
1982/1/31,3.9,7.4,-0.9
1982/2/1,4.9,10.6,0.9
1982/2/2,3.6,7.3,0.2
1982/2/3,4.0,8.1,-0.3
1982/2/4,5.0,10.0,1.6
1982/2/5,3.4,7.1,0.9
1982/2/6,3.9,8.0,-0.2
1982/2/7,1.9,4.7,0.1
1982/2/8,2.7,6.7,-1.0
1982/2/9,3.4,7.1,-0.9
1982/2/10,3.8,8.3,0.6
1982/2/11,5.2,9.8,-0.2
1982/2/12,6.1,9.2,2.8
1982/2/13,5.8,7.8,4.4
1982/2/14,5.6,9.7,1.8
1982/2/15,6.0,10.0,2.7
1982/2/16,7.3,12.0,1.1
1982/2/17,4.5,7.9,1.2
1982/2/18,7.6,11.7,3.1
1982/2/19,8.0,11.4,4.6
1982/2/20,9.5,13.0,5.9
1982/2/21,8.8,13.1,5.6
1982/2/22,7.5,11.8,4.1
1982/2/23,7.7,11.7,3.6
1982/2/24,2.8,6.4,1.7
1982/2/25,4.6,8.5,2.1
1982/2/26,4.5,8.6,0.5
1982/2/27,6.0,8.7,2.4
1982/2/28,8.5,12.4,2.4
1982/3/1,6.0,9.8,4.2
1982/3/2,5.0,9.9,2.8
1982/3/3,6.2,10.7,1.2
1982/3/4,7.9,11.8,2.0
1982/3/5,14.5,19.5,8.4
1982/3/6,8.8,13.8,5.7
1982/3/7,6.2,8.2,4.4
1982/3/8,5.3,7.6,2.5
1982/3/9,8.1,12.0,3.6
1982/3/10,9.3,13.5,4.7
1982/3/11,12.0,17.0,4.8
1982/3/12,12.0,15.5,7.9
1982/3/13,11.7,17.4,8.4
1982/3/14,9.7,12.6,6.6
1982/3/15,12.1,15.6,8.3
1982/3/16,15.6,21.3,10.5
1982/3/17,10.8,14.0,7.6
1982/3/18,9.2,15.1,6.2
1982/3/19,8.9,11.3,5.9
1982/3/20,8.5,9.9,7.5
1982/3/21,10.5,14.4,7.2
1982/3/22,14.2,20.4,9.2
1982/3/23,14.1,18.6,8.1
1982/3/24,11.8,17.9,6.2
1982/3/25,7.4,11.3,4.6
1982/3/26,7.4,11.3,3.6
1982/3/27,8.3,12.5,4.0
1982/3/28,7.9,12.2,4.9
1982/3/29,8.8,12.6,3.7
1982/3/30,13.2,19.5,5.3
1982/3/31,14.8,18.0,13.0
1982/4/1,12.2,17.2,8.7
1982/4/2,10.9,15.2,7.5
1982/4/3,15.4,22.4,8.5
1982/4/4,7.7,11.0,5.8
1982/4/5,9.8,13.5,4.7
1982/4/6,12.8,16.7,6.3
1982/4/7,12.8,13.9,11.8
1982/4/8,14.2,16.0,12.8
1982/4/9,14.8,19.5,10.7
1982/4/10,10.7,15.3,6.9
1982/4/11,11.8,17.1,6.8
1982/4/12,13.0,17.2,6.4
1982/4/13,14.7,17.9,12.6
1982/4/14,15.7,19.5,11.7
1982/4/15,15.0,17.6,12.5
1982/4/16,17.5,22.1,11.0
1982/4/17,12.8,17.2,9.2
1982/4/18,13.2,16.7,8.0
1982/4/19,14.1,18.2,9.4
1982/4/20,16.5,21.2,10.2
1982/4/21,14.7,17.8,10.7
1982/4/22,11.0,14.6,9.0
1982/4/23,13.2,17.7,8.0
1982/4/24,16.0,19.1,12.1
1982/4/25,17.7,22.5,13.2
1982/4/26,18.4,23.2,14.0
1982/4/27,14.6,17.5,11.6
1982/4/28,12.4,13.7,10.9
1982/4/29,15.9,18.4,12.3
1982/4/30,19.3,23.2,17.0
1982/5/1,20.1,22.8,18.1
