ダウンロードした時刻：2017/07/24 15:36:34

,江差,江差,江差
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/1/1,2.7,4.1,1.9
2004/1/2,3.7,4.7,2.6
2004/1/3,2.2,4.3,-0.8
2004/1/4,1.0,2.3,-0.9
2004/1/5,0.6,1.7,-1.7
2004/1/6,-1.0,1.0,-3.0
2004/1/7,-0.5,2.3,-4.6
2004/1/8,1.3,3.3,-0.1
2004/1/9,0.2,2.1,-2.8
2004/1/10,1.2,3.3,-2.1
2004/1/11,-0.1,2.9,-4.7
2004/1/12,1.2,2.7,0.3
2004/1/13,3.2,4.5,0.6
2004/1/14,-0.7,3.6,-2.8
2004/1/15,-0.3,1.3,-2.1
2004/1/16,0.7,3.2,-3.9
2004/1/17,-1.8,2.6,-5.8
2004/1/18,-1.9,1.4,-5.1
2004/1/19,0.9,4.0,-4.9
2004/1/20,2.7,5.2,1.3
2004/1/21,2.3,6.0,0.4
2004/1/22,-1.1,2.6,-4.7
2004/1/23,-1.9,1.0,-5.2
2004/1/24,-0.7,2.3,-3.2
2004/1/25,-1.7,1.8,-4.7
2004/1/26,-1.3,1.2,-4.6
2004/1/27,-1.3,-0.3,-3.6
2004/1/28,-1.2,0.9,-2.7
2004/1/29,-2.7,1.1,-8.2
2004/1/30,0.5,2.0,-2.4
2004/1/31,0.3,2.5,-3.5
2004/2/1,0.8,3.5,-2.4
2004/2/2,2.4,4.2,-2.1
2004/2/3,0.2,3.0,-3.1
2004/2/4,-1.8,0.2,-4.2
2004/2/5,-0.9,0.5,-2.8
2004/2/6,-0.9,0.3,-2.5
2004/2/7,-2.0,-1.0,-3.7
2004/2/8,-1.2,0.2,-3.2
2004/2/9,-2.3,-1.2,-3.8
2004/2/10,-0.3,1.9,-2.7
2004/2/11,2.7,4.8,0.2
2004/2/12,1.9,3.6,0.3
2004/2/13,2.4,4.2,0.8
2004/2/14,4.6,7.1,2.2
2004/2/15,4.3,6.6,1.5
2004/2/16,2.5,4.6,0.2
2004/2/17,1.8,4.9,-0.1
2004/2/18,0.6,2.8,-1.2
2004/2/19,-0.4,2.4,-3.9
2004/2/20,1.3,6.0,-5.3
2004/2/21,5.8,6.6,3.6
2004/2/22,7.3,11.2,3.6
2004/2/23,3.0,9.5,-0.7
2004/2/24,4.1,7.8,0.6
2004/2/25,4.6,7.1,1.5
2004/2/26,2.1,8.3,-3.2
2004/2/27,-2.2,-0.3,-4.8
2004/2/28,4.0,8.3,-0.5
2004/2/29,3.1,8.4,-2.4
2004/3/1,-2.6,-0.7,-4.6
2004/3/2,-3.4,-2.1,-4.4
2004/3/3,-4.0,-2.5,-5.6
2004/3/4,-2.4,1.3,-4.6
2004/3/5,-2.6,-1.2,-4.5
2004/3/6,-2.6,-0.7,-5.8
2004/3/7,-1.6,1.9,-6.9
2004/3/8,0.4,3.0,-2.6
2004/3/9,5.0,8.0,2.8
2004/3/10,9.1,14.2,3.1
2004/3/11,5.3,13.9,1.8
2004/3/12,3.3,5.0,1.5
2004/3/13,2.0,3.3,0.3
2004/3/14,1.1,2.9,-0.8
2004/3/15,2.2,5.4,0.1
2004/3/16,4.7,8.8,0.7
2004/3/17,8.7,15.1,3.6
2004/3/18,0.7,4.2,-1.7
2004/3/19,2.8,5.8,-0.4
2004/3/20,5.3,8.4,3.6
2004/3/21,3.4,7.3,-1.2
2004/3/22,2.7,7.4,-2.4
2004/3/23,3.7,8.3,-2.0
2004/3/24,5.8,11.6,-0.3
2004/3/25,5.6,9.1,3.8
2004/3/26,5.0,7.6,3.4
2004/3/27,5.0,7.1,4.1
2004/3/28,5.4,10.0,-0.1
2004/3/29,8.1,14.9,3.4
2004/3/30,9.8,12.2,5.3
2004/3/31,5.3,8.2,3.8
2004/4/1,3.5,5.4,1.6
2004/4/2,1.0,2.7,0.0
2004/4/3,3.4,5.4,0.8
2004/4/4,5.0,7.8,3.1
2004/4/5,6.7,9.1,1.9
2004/4/6,9.0,9.9,8.2
2004/4/7,8.1,11.0,6.4
2004/4/8,6.6,8.3,5.0
2004/4/9,7.8,9.8,2.7
2004/4/10,7.3,11.8,1.5
2004/4/11,8.1,13.9,3.0
2004/4/12,6.2,8.7,1.9
2004/4/13,6.9,11.8,0.0
2004/4/14,8.5,11.9,6.4
2004/4/15,7.5,10.4,3.9
2004/4/16,9.0,15.7,3.8
2004/4/17,6.3,7.7,4.8
2004/4/18,10.2,15.3,4.6
2004/4/19,12.6,18.2,8.3
2004/4/20,10.1,14.4,7.5
2004/4/21,9.3,10.4,8.3
2004/4/22,8.0,12.4,6.0
2004/4/23,6.8,10.5,5.1
2004/4/24,5.3,7.3,2.7
2004/4/25,6.9,10.3,2.2
2004/4/26,7.2,11.5,1.0
2004/4/27,6.8,9.9,5.2
2004/4/28,8.2,11.6,5.0
2004/4/29,10.5,13.6,3.1
2004/4/30,11.1,13.8,8.9
2004/5/1,9.1,12.6,3.7
