ダウンロードした時刻：2017/07/24 15:36:27

,江差,江差,江差
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/1/1,1.3,3.9,-1.7
1981/1/2,2.1,4.3,-1.3
1981/1/3,0.4,2.4,-2.4
1981/1/4,-0.9,1.5,-3.8
1981/1/5,-2.9,-0.2,-7.2
1981/1/6,-1.8,0.8,-7.0
1981/1/7,-2.7,-1.6,-4.3
1981/1/8,-2.1,-0.6,-3.6
1981/1/9,-0.1,0.7,-1.3
1981/1/10,-0.2,0.8,-1.5
1981/1/11,-0.2,1.2,-2.5
1981/1/12,-1.0,-0.3,-2.3
1981/1/13,-2.3,0.3,-8.1
1981/1/14,-2.1,1.6,-8.1
1981/1/15,-2.4,0.8,-6.9
1981/1/16,-1.6,0.4,-4.3
1981/1/17,-1.7,1.4,-7.8
1981/1/18,-0.4,1.6,-2.3
1981/1/19,-1.3,0.8,-4.4
1981/1/20,-2.9,-0.5,-5.5
1981/1/21,-3.9,-2.4,-5.1
1981/1/22,-2.7,-1.7,-4.6
1981/1/23,-0.6,1.2,-3.4
1981/1/24,0.1,1.6,-1.9
1981/1/25,-3.8,-1.3,-5.7
1981/1/26,-3.2,-2.4,-4.4
1981/1/27,-3.8,-2.8,-6.0
1981/1/28,-3.4,-2.2,-4.5
1981/1/29,-2.7,-1.6,-4.3
1981/1/30,-2.8,-1.6,-4.2
1981/1/31,0.2,1.3,-1.9
1981/2/1,0.4,1.8,-1.5
1981/2/2,0.5,2.5,-1.1
1981/2/3,1.1,2.1,-0.7
1981/2/4,0.7,3.0,-3.3
1981/2/5,0.5,1.9,-4.1
1981/2/6,0.9,1.8,-0.7
1981/2/7,-0.3,0.7,-1.1
1981/2/8,-1.4,0.3,-3.8
1981/2/9,-1.4,-0.1,-3.4
1981/2/10,-0.1,1.0,-2.0
1981/2/11,-1.4,0.9,-3.1
1981/2/12,2.8,4.2,-0.1
1981/2/13,3.6,6.2,-1.4
1981/2/14,1.9,3.8,-1.9
1981/2/15,1.5,3.2,0.0
1981/2/16,2.3,4.9,-1.3
1981/2/17,0.6,3.8,-2.6
1981/2/18,0.2,2.8,-3.9
1981/2/19,1.0,3.5,-1.4
1981/2/20,0.1,2.1,-2.0
1981/2/21,-1.9,-0.5,-4.1
1981/2/22,-2.2,-1.1,-4.0
1981/2/23,-2.4,-0.6,-4.1
1981/2/24,-2.7,-0.2,-5.0
1981/2/25,-3.4,0.0,-5.5
1981/2/26,-4.5,-3.6,-5.8
1981/2/27,-4.3,-1.9,-7.9
1981/2/28,-3.1,-0.8,-5.7
1981/3/1,-1.7,-0.7,-3.6
1981/3/2,0.0,1.3,-1.4
1981/3/3,2.5,3.2,0.5
1981/3/4,3.2,5.2,0.5
1981/3/5,0.6,3.1,-1.7
1981/3/6,-3.1,0.0,-4.8
1981/3/7,0.6,3.3,-3.6
1981/3/8,-1.0,3.2,-3.4
1981/3/9,-3.1,0.2,-5.5
1981/3/10,-2.2,0.0,-6.9
1981/3/11,-1.0,1.8,-5.0
1981/3/12,4.5,6.5,1.5
1981/3/13,3.4,5.7,-0.8
1981/3/14,4.7,7.4,3.1
1981/3/15,4.7,9.2,0.3
1981/3/16,0.0,2.2,-2.1
1981/3/17,0.1,1.5,-1.6
1981/3/18,5.1,6.6,1.2
1981/3/19,6.6,8.7,2.6
1981/3/20,6.2,10.0,1.8
1981/3/21,5.1,7.4,2.9
1981/3/22,3.1,4.1,1.8
1981/3/23,2.9,6.2,-0.2
1981/3/24,1.2,4.2,-1.7
1981/3/25,1.4,2.9,-0.7
1981/3/26,3.6,7.7,1.6
1981/3/27,3.0,4.9,0.5
1981/3/28,2.4,4.7,1.1
1981/3/29,2.2,3.9,-0.1
1981/3/30,3.7,5.2,1.4
1981/3/31,4.3,6.8,0.9
1981/4/1,4.9,7.2,2.0
1981/4/2,5.1,6.6,3.5
1981/4/3,7.0,8.8,5.1
1981/4/4,7.1,9.9,1.9
1981/4/5,8.0,11.0,4.9
1981/4/6,7.4,9.1,4.7
1981/4/7,6.4,7.8,4.4
1981/4/8,6.4,8.9,0.8
1981/4/9,7.9,11.8,2.3
1981/4/10,9.9,15.7,6.1
1981/4/11,7.0,8.9,5.6
1981/4/12,5.3,7.0,3.8
1981/4/13,5.9,7.6,3.8
1981/4/14,5.4,7.1,2.6
1981/4/15,5.7,7.8,3.6
1981/4/16,7.6,13.8,2.9
1981/4/17,5.0,9.7,1.4
1981/4/18,5.3,8.6,1.4
1981/4/19,5.5,8.1,1.8
1981/4/20,6.1,8.3,3.8
1981/4/21,7.1,8.6,4.7
1981/4/22,10.6,15.6,4.4
1981/4/23,10.6,13.1,7.5
1981/4/24,11.3,16.6,7.0
1981/4/25,8.4,10.7,6.7
1981/4/26,10.9,14.4,6.6
1981/4/27,9.3,13.9,6.8
1981/4/28,8.6,10.8,5.8
1981/4/29,11.2,20.2,3.4
1981/4/30,12.0,16.6,8.9
1981/5/1,8.8,9.9,7.9
