ダウンロードした時刻：2017/07/24 15:43:14

,鳥取,鳥取,鳥取
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,2.3,6.0,0.3
1984/1/2,2.9,7.8,-0.1
1984/1/3,3.9,6.4,0.2
1984/1/4,1.9,5.2,0.2
1984/1/5,2.0,4.4,-0.3
1984/1/6,1.9,6.1,-1.2
1984/1/7,1.2,3.3,-0.3
1984/1/8,2.1,6.4,-0.8
1984/1/9,2.9,6.0,-0.7
1984/1/10,5.2,8.6,2.6
1984/1/11,2.3,5.3,0.5
1984/1/12,1.9,4.3,0.0
1984/1/13,3.1,7.2,0.8
1984/1/14,3.7,8.9,0.5
1984/1/15,4.3,7.3,0.6
1984/1/16,0.6,3.3,-1.4
1984/1/17,-0.1,1.9,-1.9
1984/1/18,0.3,2.3,-2.0
1984/1/19,1.4,2.7,0.2
1984/1/20,1.5,4.5,-0.9
1984/1/21,2.1,5.8,-1.3
1984/1/22,1.8,4.8,0.6
1984/1/23,0.7,1.9,-0.7
1984/1/24,0.8,4.7,-0.5
1984/1/25,-0.1,4.0,-2.7
1984/1/26,-1.4,0.1,-2.6
1984/1/27,-0.6,1.8,-3.1
1984/1/28,0.1,2.3,-2.5
1984/1/29,0.1,3.2,-2.2
1984/1/30,1.0,4.8,-1.7
1984/1/31,0.6,1.3,0.0
1984/2/1,2.4,5.9,-0.4
1984/2/2,2.7,5.2,-0.4
1984/2/3,-0.3,2.2,-2.2
1984/2/4,-1.3,1.3,-3.1
1984/2/5,1.4,4.4,-1.7
1984/2/6,-0.6,1.6,-4.8
1984/2/7,-3.1,-1.3,-4.7
1984/2/8,-1.4,1.4,-3.0
1984/2/9,-0.7,1.4,-2.6
1984/2/10,0.5,3.4,-1.1
1984/2/11,-0.6,5.2,-5.6
1984/2/12,-1.4,4.2,-6.4
1984/2/13,1.5,5.1,-2.7
1984/2/14,2.7,6.2,1.0
1984/2/15,0.7,3.9,-1.2
1984/2/16,0.6,3.8,-3.0
1984/2/17,0.8,3.5,-3.3
1984/2/18,2.5,3.7,0.4
1984/2/19,1.7,4.3,-2.4
1984/2/20,1.9,8.1,-5.5
1984/2/21,2.9,7.8,-0.7
1984/2/22,2.8,7.9,-2.9
1984/2/23,5.1,8.9,2.0
1984/2/24,4.9,6.4,2.6
1984/2/25,4.3,8.2,0.7
1984/2/26,4.5,8.0,2.8
1984/2/27,1.3,5.3,-0.9
1984/2/28,0.4,2.6,-1.5
1984/2/29,-1.1,0.4,-3.3
1984/3/1,-0.7,3.3,-4.0
1984/3/2,1.6,5.0,-3.0
1984/3/3,0.0,3.6,-3.3
1984/3/4,0.6,4.5,-2.0
1984/3/5,1.4,5.7,-2.6
1984/3/6,1.4,5.2,-1.1
1984/3/7,1.5,5.0,-1.9
1984/3/8,3.1,7.1,0.5
1984/3/9,3.1,8.2,-1.2
1984/3/10,3.8,8.3,0.7
1984/3/11,1.4,5.0,-1.7
1984/3/12,5.2,11.6,-2.0
1984/3/13,3.8,8.6,0.7
1984/3/14,2.9,6.3,0.1
1984/3/15,4.6,10.3,-1.4
1984/3/16,5.3,8.6,3.1
1984/3/17,5.3,8.2,2.0
1984/3/18,4.5,10.0,-0.6
1984/3/19,1.9,3.1,1.1
1984/3/20,4.2,8.8,1.6
1984/3/21,2.8,5.7,0.5
1984/3/22,2.9,6.1,-1.2
1984/3/23,4.0,10.4,-3.0
1984/3/24,7.2,11.9,4.4
1984/3/25,7.0,13.5,3.0
1984/3/26,5.1,8.9,-0.3
1984/3/27,5.8,13.8,-1.6
1984/3/28,6.2,11.4,2.7
1984/3/29,10.0,16.9,2.6
1984/3/30,11.7,20.1,3.7
1984/3/31,7.8,10.1,6.2
1984/4/1,6.8,8.9,4.9
1984/4/2,6.4,11.9,1.6
1984/4/3,12.1,17.1,1.3
1984/4/4,13.4,18.7,9.7
1984/4/5,12.9,21.0,9.8
1984/4/6,7.6,10.9,2.6
1984/4/7,5.5,11.2,0.3
1984/4/8,5.2,10.4,0.2
1984/4/9,9.9,17.8,-0.3
1984/4/10,11.9,16.3,8.3
1984/4/11,9.1,11.7,5.4
1984/4/12,7.9,12.8,3.1
1984/4/13,9.5,18.3,1.6
1984/4/14,8.9,16.3,1.5
1984/4/15,13.8,20.9,5.6
1984/4/16,12.8,14.4,10.8
1984/4/17,18.4,24.5,10.4
1984/4/18,15.5,25.1,9.5
1984/4/19,9.1,10.1,7.9
1984/4/20,8.6,9.7,7.5
1984/4/21,9.2,11.2,7.3
1984/4/22,9.1,11.6,5.0
1984/4/23,8.4,15.5,2.3
1984/4/24,12.0,20.6,2.7
1984/4/25,15.8,23.1,7.3
1984/4/26,17.4,25.7,10.9
1984/4/27,16.3,24.4,9.9
1984/4/28,15.8,22.1,9.8
1984/4/29,18.3,25.0,10.0
1984/4/30,15.1,18.4,11.9
1984/5/1,14.6,20.8,9.7
