ダウンロードした時刻：2017/07/24 15:45:45

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/1/1,2.7,5.3,1.4
2015/1/2,3.0,5.9,1.8
2015/1/3,4.3,8.9,1.5
2015/1/4,6.7,13.0,0.1
2015/1/5,7.6,12.1,2.8
2015/1/6,8.6,12.8,6.1
2015/1/7,6.8,10.1,4.7
2015/1/8,6.0,9.3,3.8
2015/1/9,6.8,10.1,4.8
2015/1/10,7.1,9.6,5.2
2015/1/11,7.1,11.4,2.9
2015/1/12,5.5,7.9,3.6
2015/1/13,6.0,9.5,1.9
2015/1/14,5.6,8.8,1.3
2015/1/15,7.3,8.7,5.8
2015/1/16,7.9,10.6,5.1
2015/1/17,6.2,10.0,4.2
2015/1/18,5.3,10.1,1.2
2015/1/19,7.0,10.0,2.2
2015/1/20,6.9,11.1,2.0
2015/1/21,6.6,8.6,4.3
2015/1/22,7.7,10.1,5.9
2015/1/23,7.1,9.7,3.0
2015/1/24,6.0,11.8,-0.5
2015/1/25,7.2,11.7,2.8
2015/1/26,7.7,9.9,5.3
2015/1/27,10.7,15.1,5.9
2015/1/28,4.6,7.5,2.8
2015/1/29,3.2,6.1,-0.7
2015/1/30,4.6,7.1,1.5
2015/1/31,4.4,7.8,1.5
2015/2/1,3.4,7.6,0.1
2015/2/2,4.3,8.2,-0.1
2015/2/3,5.6,8.3,2.8
2015/2/4,5.5,9.8,0.4
2015/2/5,5.9,8.9,3.9
2015/2/6,5.4,9.3,1.9
2015/2/7,4.8,10.5,-0.3
2015/2/8,4.7,11.2,-0.1
2015/2/9,1.3,4.3,-0.6
2015/2/10,5.5,8.5,1.4
2015/2/11,8.0,12.7,2.4
2015/2/12,7.5,12.3,2.8
2015/2/13,4.1,7.3,2.0
2015/2/14,5.8,10.7,-0.1
2015/2/15,8.7,13.1,4.5
2015/2/16,6.9,9.6,3.6
2015/2/17,8.6,14.3,5.7
2015/2/18,7.5,11.3,5.2
2015/2/19,6.3,10.4,4.3
2015/2/20,6.2,10.3,2.5
2015/2/21,5.8,10.3,-0.5
2015/2/22,10.8,15.1,6.9
2015/2/23,11.7,14.9,8.0
2015/2/24,8.8,13.9,4.8
2015/2/25,8.6,12.7,4.6
2015/2/26,8.4,9.7,6.8
2015/2/27,6.9,10.0,2.4
2015/2/28,5.8,10.9,0.7
2015/3/1,7.4,8.2,6.4
2015/3/2,7.7,12.4,4.1
2015/3/3,5.7,8.2,1.7
2015/3/4,8.9,12.9,4.9
2015/3/5,6.1,9.7,2.9
2015/3/6,5.9,8.4,2.0
2015/3/7,6.6,7.1,6.0
2015/3/8,9.5,14.2,7.1
2015/3/9,7.6,9.0,5.9
2015/3/10,3.6,8.1,0.5
2015/3/11,5.6,9.0,1.1
2015/3/12,8.2,12.3,3.2
2015/3/13,8.4,15.2,0.3
2015/3/14,8.8,13.2,6.5
2015/3/15,8.3,10.2,7.2
2015/3/16,10.2,15.2,8.0
2015/3/17,10.6,17.7,5.6
2015/3/18,12.2,16.3,8.6
2015/3/19,13.9,16.4,11.2
2015/3/20,13.5,18.8,10.5
2015/3/21,12.6,18.8,8.6
2015/3/22,13.5,20.1,6.8
2015/3/23,10.5,14.5,6.6
2015/3/24,7.7,12.5,4.2
2015/3/25,7.4,11.7,2.7
2015/3/26,8.0,15.3,1.5
2015/3/27,10.6,17.8,2.8
2015/3/28,14.2,21.2,8.0
2015/3/29,13.1,18.0,10.5
2015/3/30,13.7,20.2,8.3
2015/3/31,15.7,23.0,8.2
2015/4/1,16.1,20.2,13.5
2015/4/2,14.8,18.8,11.7
2015/4/3,17.2,22.4,13.5
2015/4/4,16.5,19.2,13.8
2015/4/5,17.8,21.9,15.0
2015/4/6,15.5,18.0,11.5
2015/4/7,10.3,11.6,9.2
2015/4/8,8.1,12.2,5.3
2015/4/9,9.9,13.1,7.0
2015/4/10,10.9,11.7,10.3
2015/4/11,13.4,18.9,10.2
2015/4/12,12.8,16.8,7.5
2015/4/13,12.8,14.7,11.1
2015/4/14,14.1,18.2,9.7
2015/4/15,13.0,16.7,8.7
2015/4/16,17.6,23.5,10.9
2015/4/17,15.6,20.6,11.4
2015/4/18,14.8,21.0,7.3
2015/4/19,16.0,19.1,13.8
2015/4/20,18.4,21.9,14.1
2015/4/21,14.4,19.0,11.1
2015/4/22,15.2,22.1,8.4
2015/4/23,17.6,23.9,10.8
2015/4/24,18.1,24.6,11.0
2015/4/25,18.1,24.4,12.1
2015/4/26,18.0,24.6,10.9
2015/4/27,19.6,26.8,12.7
2015/4/28,18.8,23.6,14.1
2015/4/29,19.1,23.5,16.3
2015/4/30,18.8,23.5,13.7
2015/5/1,20.4,27.6,13.7
